XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
551076525,"12x32 Essentials Binocular","",,,,,"12x32 binocular is tough and powerful. Features designed to please the spectator in all of us. Multi-coated optics with a large field of view. Includes case and strap. Essentials binoculars fit the bill for all of your adventures- from a remote camping trip to a Sunday drive.",,"http://media.asicdn.com/images/jpgb/24110000/24113293.jpg",,"BINOCULARS,Sports Equipment & Access.-Fishing & Hunting",,"Gray","","","","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"",,,"1",,,,,,,,,,"43.95",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551076633,"8x42 Essentials Binocular","",,,,,"Full size, roof prism binoculars with a large field of view. Fully coated optics and twist-up eyecups. Rugged weather design. Includes case and strap. Essentials binoculars fit the bill for all of your adventures- from a remote camping trip to a Sunday drive.",,"http://media.asicdn.com/images/jpgb/24110000/24113297.jpg",,"BINOCULARS,Sports Equipment & Access.-Fishing & Hunting",,"Gray","","","","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"",,,"1",,,,,,,,,,"59.45",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551076286,"8x21 Brown Camo Binocular","",,,,,"8x21 binocular features outstanding compact performance. Rugged rubber armor for hiking, backpacking or hunting. Multi-coated optics with large field of view. Includes case and strap. Essentials binoculars fit the bill for all your adventures- from a remote camping trip to a Sunday drive.",,"http://media.asicdn.com/images/jpgb/24110000/24113205.jpg",,"BINOCULARS,Sports Equipment & Access.-Fishing & Hunting",,"Brown Camouflage","","","","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"",,,"1",,,,,,,,,,"18.95",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551076556,"7x35 Essentials Binocular","",,,,,"7x35 full size binocular is most versatile and all purpose. Multi-coated optics with an impressive 470 feet field of view. Built with a tough, weather-resistant design. Includes case and strap. Essentials feature multi-coated optics for a bright, clear view. And they'll go anywhere you do thanks to a tough, weather-resistant design.",,"http://media.asicdn.com/images/jpgb/24110000/24113251.jpg",,"BINOCULARS,Sports Equipment & Access.-Fishing & Hunting",,"Gray","","","","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"",,,"1",,,,,,,,,,"52.95",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551076570,"8-24x25 Essentials Binocular","",,,,,"These binoculars boast impressive power and a little extra zoom to get you in tight. Includes case and strap. Essentials feature multi-coated optics for a bright, clear view. And they'll go anywhere that you do, thanks to a tough, weather-resistant design.",,"http://media.asicdn.com/images/jpgb/24110000/24113296.jpg",,"BINOCULARS,Sports Equipment & Access.-Fishing & Hunting",,"Gray","","","","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"",,,"1",,,,,,,,,,"55.45",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551076233,"4x30 Essentials Monocular","",,,,,"Mid-size binocular features multi-coated optics for a bright, clear view. Large field of view at 650 degrees. Includes case and strap. Built with compact, roof-prism design.",,"http://media.asicdn.com/images/jpgb/24110000/24113268.jpg",,"BINOCULARS,Sports Equipment & Access.-Fishing & Hunting",,"Gray","","","","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"",,,"1",,,,,,,,,,"12.45",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551076262,"10x25mm, BK Rubber, CPT Bino","",,,,,"Wicked setup rapids downstream. Warn your buddies and let them know. Reading the river is a far stretch easier through high-performance binoculars. And the best news is, you don't have to work overtime to own a pair. Features full coated optics. 10x magnification is great for long range viewing. Includes neck strap and carrying case.",,"http://media.asicdn.com/images/jpgb/24110000/24113178.jpg",,"BINOCULARS,Sports Equipment & Access.-Fishing & Hunting",,"Black","","","","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"",,,"1",,,,,,,,,,"17.45",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5364108,"Chicken Stock Shape Magnet","",,,,,"From livestock keeping to cooking, these chicken shaped magnets have a variety of uses on fridge fronts far and wide. Each USA made non-toxic magnet measures 2 3/4'' x 2 7/8'' and can be completely customized to include your organization's name, logo and message in either process color or 1 spot color imprinting for a look that truly matches your brand. From budding 4-H kids to budding cooks, these magnets are sure to please",,"http://media.asicdn.com/images/jpgb/6170000/6173138.jpg",,"Magnets-Memo Holder",,"White","magnetic","Dimension","Length:2 3/4:in;Width:2 7/8:in;Height:35 mil:in,Length:2 3/4:in;Width:2 7/8:in;Height:20 mil:in","Chicken",,,"CHINA",,,,,,,"Process Color Print, Spot Color Print",,"","0000, 0185, 0186, 0873, 0877, 1110, 1120, 1130, 1140, 1150, 1160, 1240, 1250, 1320, 1340, 1350, 1410, 1420, 1430, 1440, 1450, 1510, 1520, 1540, 1560, 1580, 1590, 2000, 5100, 5110, 5150, 5160, 8850, 8860, 8870, 8880","","",".75"" x 1.25""","",,,"Y",,"7","Y","1:	",,"","","","20 mil - 10:lbs",,"35 mil - 17 lbs","N","",,,,,,"7 business days, 2 3/4 "" x 2 7/8 "" x 20",,,"500","1000","1500","2500","5000","10000",,,,,"0.49","0.28","0.22","0.18","0.13","0.12",,,,,"R","R","R","R","R","R",,,,,,"Process Color",,"USD",,"List","Spot Color Print, Process Color Print (Full Color Process)","IMMD:Spot Color Print, Process Color Print (Full Color Process)",,"Imprint Method Charge","Per Order","Required","1",,,,,,,,,,"40.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6845358,"Compact Binocular","",,,,,"Your clients will always have your brand name in sight with it imprinted on our handy binoculars. Compact in design, this uniquely-shaped binocular features 3X (3x28mm) power magnification, ruby-coated lenses, a dial for focus and a push button to pop up the lens. Also comes with a travel case and lens cleaner. A great corporate gift idea or employee incentive, customize with an imprint of your brand name and hand out at your next event!",,"http://media.asicdn.com/images/jpgb/7360000/7368821.jpg",,"BINOCULARS",,"","Titanium","Dimension","Length:3 1/2:in;Width:2 1/4:in;Height:7/8:in","",,,"CHINA",,,,,,,"Printed, Unimprinted",,"Art Services, Paper Proof, Pre-production Proof, Virtual Proof","","Y","Y","1 1/2"" x 1/2"", 1"" x 1 3/4""","",,,"Y",,"5","Y","1:	",,"Packed in gift box 50 pcs/ctn","","","",,"","N","",,,,,,"Compact Binocular",,,"5","10","25","50",,,,,,,"35.00","34.00","33.00","32.00",,,,,,,"R","R","R","R",,,,,,,,"1 color, 1 location imprint",,"USD",,"List","Printed, Unimprinted","IMMD:Printed, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"55.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6845358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art Services, Paper Proof, Pre-production Proof, Virtual Proof","ARTW:Art Services, Paper Proof, Pre-production Proof, Virtual Proof",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"37.50",,,,,,,,,,"Z",,,,,,,,,,"Email proof (including revisions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
