XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
6115780,"Grand Tin with Dog Bone Snack Treats","",,,,,"Grand Tin with Dog Bones treats in a silver tin.  Dog biscuit snack treats for the unconditional love our dogs give us.  Best dog bones value in the industry. Multi color. 1 13/16L"" x 6 11/16""W",,"http://media.asicdn.com/images/jpgb/21410000/21412822.jpg",,"PET ITEMS",,"MULTI","","Dimension","Length:1 13/16:in;Width:6 11/16:in","",,,"CHINA",,,,,,,"Direct Imprint, Four Color Process",,"","","","Y","6"" dia.","",,,"Y",,"7","Y","1:,5:	",,"","25:per Carton","17.625:in;15.125:in;16.625:in","30:lbs",,"","N","",,,,,,"Grand Tin with Dog Bones/Treats/Snacks",,,"50","100","250",,,,,,,,"9.75","9.70","9.65",,,,,,,,"R","R","R",,,,,,,,,"4 color process laminated decal or 1 color direct imprint.",,"USD",,"List","Four Color Process, Direct Imprint","IMMD:Four Color Process, Direct Imprint",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6114860,"Dog Bone Bag with Treats and Snacks","",,,,,"Dog Bones treats in a clear header bag. These biscuit snack treats for the unconditional love our dog give us.  Best dog bones value in the industry.  Overall size: 4"" x 3"".",,"http://media.asicdn.com/images/jpgb/6870000/6875869.jpg",,"PET ITEMS",,"Clear","","Dimension","Length:4:in;Width:3:in","",,,"CHINA",,,,,,,"Four Color Process",,"","Any Color, Black, Blue, Brown, Dark Blue, dark green, Gold, Green, Grey, light blue, Maroon, Orange, Red, Silver, Teal, voilet, White, Yellow","","Y","5.75"" W x 4"" H","",,,"Y",,"7","Y","1:,5:	",,"","500:per Carton","14:in;14:in;14:in","39:lbs",,"","N","",,,,,,"Doggie Bag With Dog Bones/Treats/Snacks",,,"250","500","1000",,,,,,,,"1.65","1.60","1.55",,,,,,,,"R","R","R",,,,,,,,,"4-color process decal.",,"USD",,"List","Four Color Process","IMMD:Four Color Process",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"60.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6115767,"Grand Tin with Dog Bones/Treats/Snacks","",,,,,"Grand Tin with Dog Bones, treats in a gold tin.  Bog bones, biscuits, or snack treats for the unconditional love our dogs give us.  Best  value in the industry.",,"http://media.asicdn.com/images/jpgb/21410000/21412821.jpg",,"PET ITEMS",,"MULTI","","Dimension","Length:1 13/16:in;Width:6 11/16:in","",,,"CHINA",,,,,,,"Four Color Process, Printed",,"","","","Y","5"", 6""","",,,"Y",,"7","Y","1:,5:	",,"","25:per Carton","17.625:in;15.125:in;16.625:in","30:lbs",,"","N","",,,,,,"Grand Tin with Dog Bones/Treats/Snacks",,,"50","100","250",,,,,,,,"9.75","9.70","9.65",,,,,,,,"R","R","R",,,,,,,,,"4 color process laminated decal or 1 color direct imprint.",,"USD",,"List","Four Color Process, Printed","IMMD:Four Color Process, Printed",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6115069,"Ultimate Doggie Bag with Dog Bones","",,,,,"Ultimate Doggie Bag with Dog Bone treats in a clear mug stuffer bag. These biscuit snack treats for the unconditional love our dogs give us. Size: 6"" x 2"" x 1 1/2"".",,"http://media.asicdn.com/images/jpgb/6870000/6875871.jpg",,"PET ITEMS",,"Clear","","Dimension","Length:6:in;Width:2:in;Height:1 1/2:in","",,,"CHINA",,,,,,,"Four Color Process",,"","","","Y","1.6929""","",,,"Y",,"7","Y","1:,5:	",,"","125:per Carton","14:in;14:in;14:in","20:lbs",,"","N","",,,,,,"Ultimate Doggie Bag with Dog Bones",,,"250","500","1000",,,,,,,,"2.25","2.20","2.15",,,,,,,,"R","R","R",,,,,,,,,"4 color process laminated decal.",,"USD",,"List","Four Color Process","IMMD:Four Color Process",,"Imprint Method Charge","Other","Required","1",,,,,,,,,,"60.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6115079,"Golden Rim Box with Dog Bone Treat Snacks","",,,,,"Dog Bones in a clear gold rimmed box. These biscuit snack treats for the unconditional love our dogs give us. Overall size: 1 1/2"" x 3"" x 6"".",,"http://media.asicdn.com/images/jpgb/7650000/7657027.jpg",,"PET ITEMS",,"MULTI","","Dimension","Length:1 1/2:in;Width:3:in;Height:6:in","",,,"CHINA",,,,,,,"Direct Imprint",,"","","","Y","2"" x 4""","",,,"Y",,"7","Y","1:,5:	",,"","48:per Carton","14:in;14:in;14:in","22:lbs",,"","N","",,,,,,"Golden Rim Box with Dog Bones/Treats/Snacks",,,"250","500","1000",,,,,,,,"3.95","3.90","3.85",,,,,,,,"R","R","R",,,,,,,,,"1-color direct imprint.",,"USD",,"List","Direct Imprint","IMMD:Direct Imprint",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"30.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6114957,"White Large Tin with Dog Bones Snack Treats","",,,,,"Dog Bones treats in a large white tin. These biscuit snack treats for the unconditional love our dogs give us.  Overall size: 2 3/8"" x 3 7/8"" x 3/4"".  The tin is made in China and the dog treat is made and filled in the USA.",,"http://media.asicdn.com/images/jpgb/6870000/6875870.jpg",,"PET ITEMS",,"White","","Dimension","Length:2.73:in;Width:3.87:in;Height:0.75:in","",,,"CHINA",,,,,,,"Direct Imprint, Four Color Process",,"","Any Color","","Y","3.079"" x 1.908"", 3.622"" x 2.441""","",,,"Y",,"7","Y","1:,5:	",,"","200:per Carton","","50:lbs",,"","N","",,,,,,"White Large Tin with Dog Bones/Treats/Snacks",,,"250","500","1000",,,,,,,,"1.90","1.85","1.80",,,,,,,,"R","R","R",,,,,,,,,"4-color process decal or 1 color direct imprint.",,"USD",,"List","Four Color Process, Direct Imprint","IMMD:Four Color Process, Direct Imprint",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"60.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6114919,"Silver Large Tin with Dog Bones/Treats/Snacks","",,,,,"Dog Bones treats in a large silver tin. These biscuit snack treats for the unconditional love our dogs give us. Overall size: 2 3/8"" x 3 7/8"" x 3/4"".  The tin is made in China and the dog treat is made and filled in the USA.",,"http://media.asicdn.com/images/jpgb/6870000/6875870.jpg",,"PET ITEMS",,"Silver","","Dimension","Length:2.73:in;Width:3.87:in;Height:0.75:in","",,,"CHINA",,,,,,,"Direct Imprint, Four Color Process",,"","Any Color","","Y","3.079"" x 1.908"", 3.622"" x 2.441""","",,,"Y",,"7","Y","1:,5:	",,"","200:per Carton","","50:lbs",,"","N","",,,,,,"Silver Large Tin with Dog Bones/Treats/Snacks",,,"250","500","1000",,,,,,,,"1.90","1.85","1.80",,,,,,,,"R","R","R",,,,,,,,,"4-color process decal or 1 color direct imprint.",,"USD",,"List","Four Color Process, Direct Imprint","IMMD:Four Color Process, Direct Imprint",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"60.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6115778,"Grand Tin with Dog Bone Snack Treats","",,,,,"Grand Tin with Dog Bones treats.  Dog biscuit snack treats for the unconditional love our dogs give us.  Best dog bones value in the industry. Multi color. 1 13/16""L x 6 11/16""W",,"http://media.asicdn.com/images/jpgb/21410000/21412807.jpg",,"PET ITEMS",,"MULTI","","Dimension","Length:1 13/16:in;Width:6 11/16:in","",,,"CHINA",,,,,,,"Four Color Process, Printed",,"","","","Y","5"", 6""","",,,"Y",,"7","Y","1:,5:	",,"","25:per Carton","17.625:in;15.125:in;16.625:in","30:lbs",,"","N","",,,,,,"Grand Tin with Dog Bones/Snacks/Treats",,,"50","100","250",,,,,,,,"9.75","9.70","9.65",,,,,,,,"R","R","R",,,,,,,,,"4 color process laminated decal or 1 color direct imprint.",,"USD",,"List","Four Color Process, Printed","IMMD:Four Color Process, Printed",,"Imprint Method Charge","Other","Required","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6115090,"Grand Tin with Dog Bones/Treats/Snacks","",,,,,"Grand Tin with Dog Bones, treats in a blue tin.  Cookie and snack treats for the unconditional love our dogs give us.  Best value in the industry.",,"http://media.asicdn.com/images/jpgb/21410000/21412809.jpg",,"PET ITEMS",,"MULTI","","Dimension","Length:1 13/16:in;Width:6 11/16:in","",,,"CHINA",,,,,,,"Four Color Process, Printed",,"","","","Y","5"", 6""","",,,"Y",,"7","Y","1:,5:	",,"","25:per Carton","17.625:in;15.125:in;16.625:in","30:lbs",,"","N","",,,,,,"Grand Tin with Dog Bones/Treats/Snacks",,,"50","100","250",,,,,,,,"9.75","9.70","9.65",,,,,,,,"R","R","R",,,,,,,,,"4 color process laminated decal or 1 color direct imprint.",,"USD",,"List","Four Color Process, Printed","IMMD:Four Color Process, Printed",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6114968,"Promo Pack with Dog Bones","",,,,,"Promo Pack with Dog Bones treats in a clear promo pack.  Cookie and snack treats for the unconditional love our dogs give us. Overall size: 2"" x 3.5"".",,"http://media.asicdn.com/images/jpgb/6870000/6875872.jpg",,"PET ITEMS,PROMOTIONS",,"Clear","","Dimension","Length:2:in;Width:3.5:in","",,,"CHINA",,,,,,,"Four Color Process",,"","","","Y","2.35"" x 1.61""","",,,"Y",,"7","Y","1:,5:	",,"","500:per Carton","14:in;14:in;14:in","30:lbs",,"","N","",,,,,,"Promo Pack with Dog Bones",,,"300","600","1200",,,,,,,,"1.10","1.08","1.05",,,,,,,,"R","R","R",,,,,,,,,"4 color process laminated decal.",,"USD",,"List","Four Color Process","IMMD:Four Color Process",,"Imprint Method Charge","Other","Required","1",,,,,,,,,,"30.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
