XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
550587356,"Fajita Cast Iron Gift Set","",,,,,"Cast iron fajita skillet. Durable and dependable with original non stock pan. It's incredible heat retention makes it a perfect cooking tool for the oven or barbecue. This Fajita gift set includes cast iron skillet, wood tray, handle mitt and fajita seasoning recipe box.",,"http://media.asicdn.com/images/jpgb/22360000/22368258.jpg",,"Food Gifts-Assortments,Food Gifts-Gourmet,Food Gifts-Salsa,GIFT BASKETS & SETS",,"Black","Cast Iron Skittle","","","",,,"CHINA",,,,,,,"",,"","","","Y","","",,,"Y",,"7,10","Y","",,"","","","",,"Shipping and Handling Not included. Handling fees will apply even with a a third party shipper number.","N","",,,,,,"Fajita Cast Iron Gift Set",,,"36",,,,,,,,,,"56.667",,,,,,,,,,"R",,,,,,,,,,,"Fajita Cast iron Gift Set",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550691507,"Cast Aluminum Grill Pan","",,,,,"Family size reversible grill and griddle! This cast aluminum grill pan has a non-stick coating for easy release, simple cleaning and healthier cooking in general, deep ridges on the grill side to give an authentic taste to your meats while locking in juices, and is built with heavy gauge aluminum construction to ensure quick and even heating. The large flat griddle side has a slender lip to contain liquids but allow easy access with a spatula and accommodates multiple servings.",,"http://media.asicdn.com/images/jpgb/22730000/22739901.jpg",,"COOKWARE,GRILLS",,"Black","Cast Aluminum","Dimension","Length:18:in;Width:9:in;Height:.75:in","",,,"CHINA",,,,,,,"Laser Engraved, Unimprinted",,"Art Services (Graphic Services), Paper Proof (There is no charge for the first two paper proofs on new orders.), Virtual Proof (Emailed confirmation and paper proof for every order at no charge.)","","Y","",".75""W x .75""H, 3""w x .75""h","Engraving on Corner (Non-Ridged side), Engraving on Top Center (Non-Ridged side)",,,"Y",,"7,10","","",,"Color Gift Box","12:per Case","22:in;12:in;17:in","",,"","N","",,,,,,"Engraved Aluminum Grill Pan",,,"50","100","250","500",,,,,,,"23.75","21.55","20.05","18.65",,,,,,,"R","R","R","R",,,,,,,,"a one-position engraving on grill. (Engraving removes non-stick coating)",,"USD",,"List","Laser Engraved, Unimprinted","IMMD:Laser Engraved, Unimprinted",,"Set-up Charge","Other","Required","1",,,,,,,,,,"35.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550691507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Product Sample","SMPL:Product Sample",,"Sample Charge","Other","Optional","1",,,,,,,,,,"10.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550691507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art Services (Graphic Services), Paper Proof (There is no charge for the first two paper proofs on new orders.), Virtual Proof (Emailed confirmation and paper proof for every order at no charge.)","ARTW:Art Services (Graphic Services), Paper Proof (There is no charge for the first two paper proofs on new orders.), Virtual Proof (Emailed confirmation and paper proof for every order at no charge.)",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"30.00",,,,,,,,,,"Z",,,,,,,,,,"each additional proof. You may order less than the minimum quantity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550775410,"Cast Aluminum Stake Plaques","",,,,,"Cast Aluminum Stake Plaques are available in Silver.  The Silver Plaque has a Silver plate that engraves black. Used for Cemetery Markers, Botanical Plaques, Dedication Plaques, Historical Plaques, etc.  Edges have a raised double border.  The main plaque area is recessed.  A 24"" steel stake attaches to back of plaque.",,"http://media.asicdn.com/images/jpgb/23050000/23052904.jpg",,"Plaques-Laser Engraved,Plaques-General",,"Silver","Cast Aluminum","Dimension","Length:8:in;Width:6:in,Length:10:in;Width:8:in,Length:6:in;Width:4:in","",,,"CHINA",,,,,,,"Laser Engraving",,"","Black","","Y","","",,,"Y",,"10","Y","",,"Bulk","","","",,"","N","",,,,,,"4"" x 6"" Silver Stake Plaque",,,"1","3","6","12","24","50","100",,,,"91.17","87.03","69.58","69.23","66.97","66.63","66.29",,,,"R","R","R","R","R","R","R",,,,,"a laser engraved Silver Plate with black engraving.",,"USD",,"List","Laser Engraving","IMMD:Laser Engraving",,"Set-up Charge","Other","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550775341,"Cast Aluminum Stake Plaques","",,,,,"Cast Aluminum Stake Plaques are available in Bronze.  The Bronze Plaque has a Gold plate that engraves black. Used for Cemetery Markers, Botanical Plaques, Dedication Plaques, Historical Plaques, etc.  Edges have a raised double border.  The main plaque area is recessed.  A 24"" steel stake attaches to back of plaque.",,"http://media.asicdn.com/images/jpgb/23050000/23052759.jpg",,"Plaques-Laser Engraved,Plaques-General",,"Gold,Bronze","Cast Aluminum","Dimension","Length:8:in;Width:6:in,Length:10:in;Width:8:in,Length:6:in;Width:4:in","",,,"CHINA",,,,,,,"Laser Engraving",,"","Black","","Y","","",,,"Y",,"10","Y","",,"Bulk","","","",,"","N","",,,,,,"4"" x 6"" Bronze Stake Plaque",,,"1","3","6","12","24","50","100",,,,"118.29","112.92","88.15","87.70","85.34","84.91","84.48",,,,"R","R","R","R","R","R","R",,,,,"a laser engraved Gold Plate with black engraving.",,"USD",,"List","Laser Engraving","IMMD:Laser Engraving",,"Set-up Charge","Other","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550775333,"Cast Aluminum Plaques","",,,,,"Cast Aluminum Plaques are available in Bronze.  The Bronze Plaque has a Gold plate that engraves black. Used for wall plaques, bench plaques, dedication plaques, historical plaques, etc.  Edges have a raised double border.  The main plaque area is recessed. 3"" x 9"" Plaques come unassembled because the screw holes are under the engraved plate.",,"http://media.asicdn.com/images/jpgb/23050000/23052736.jpg",,"Plaques-Laser Engraved,Plaques-General",,"Gold,Bronze","Cast Aluminum","Dimension","Length:8:in;Width:6:in,Length:10:in;Width:8:in,Length:9:in;Width:3:in,Length:6:in;Width:4:in","",,,"CHINA",,,,,,,"Laser Engraving",,"","Black","","Y","","",,,"Y",,"10","Y","",,"Bulk","","","",,"","N","",,,,,,"3"" x 9"" Bronze Plaque",,,"1","3","6","12","24","48",,,,,"115.85","110.58","86.20","83.84","83.42","83.00",,,,,"R","R","R","R","R","R",,,,,,"a laser engraved Gold Plate with black engraving.",,"USD",,"List","Laser Engraving","IMMD:Laser Engraving",,"Set-up Charge","Other","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550775225,"Cast Aluminum Plaques","",,,,,"Cast Aluminum Plaques are available in Silver.  The Silver Plaque has a Silver plate that engraves black. Used for wall plaques, bench plaques, dedication plaques, historical plaques, etc.  Edges have a raised double border.  The main plaque area is recessed. 3"" x 9"" Plaques come unassembled because the screw holes are under the engraved plate.",,"http://media.asicdn.com/images/jpgb/23050000/23052719.jpg",,"Plaques-Laser Engraved,Plaques-General",,"Silver","Cast Aluminum","Dimension","Length:8:in;Width:6:in,Length:10:in;Width:8:in,Length:9:in;Width:3:in,Length:6:in;Width:4:in","",,,"CHINA",,,,,,,"Laser Engraving",,"","Black","","Y","","",,,"Y",,"10","Y","",,"Bulk","","","",,"","N","",,,,,,"3"" x 9"" Silver Plaque",,,"1","3","6","12","24","48",,,,,"88.88","84.84","67.64","65.37","65.04","64.71",,,,,"R","R","R","R","R","R",,,,,,"a laser engraved Silver Plate with black engraving.",,"USD",,"List","Laser Engraving","IMMD:Laser Engraving",,"Set-up Charge","Other","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550769884,"Die Cast Metal Fireman with Child Plaque Mounts","",,,,,"Antique Gold Finish Die Cast Fireman with Child Plaque Mounts are designed to be attached to Plaques.  Available only in one size.",,"http://media.asicdn.com/images/jpgb/23030000/23032280.jpg",,"PLAQUE ACCESSORIES,Plaques-Laser Engraved,Plaques-With Metal/Plastic Insert,Plaques-With Multiple Plates,Plaques-General",,"Antique Gold","Die Cast","Dimension","Length:4 1/4:in;Width:5 1/2:in","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"10","Y","",,"Bulk","","","",,"","N","",,,,,,"Die Cast Metal Fireman with Child Plaque Mounts",,,"1","2","3","6","12","24","48","100","250",,"49.46","47.43","45.17","33.07","32.90","32.73","32.57","32.40","32.23",,"R","R","R","R","R","R","R","R","R",,,"installation on plaque.",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5748199,"Cast Stone 4","",,,,,"Molded black cast stone slanted top diamond shape award.",,"http://media.asicdn.com/images/jpgb/6300000/6301281.jpg",,"Awards-General",,"Black","Stone","Dimension","Length:4 3/16:in;Width:7:in;Height:4 3/16:in","Diamond",,,"CHINA",,,,,,,"Engraving, Etched",,"","","","","","",,,"Y",,"","","",,"White corrugated box.","","","2 3/4:lbs",,".","N","",,,,,,"Cast Stone 4",,,"1","4","10","25","50",,,,,,"127.00","115.00","106.00","96.00","91.00",,,,,,"R","R","R","R","R",,,,,,,"engravings, one standard color fill.",,"USD",,"List","Engraving, Etched","IMMD:Engraving, Etched",,"Set-up Charge","Other","Required","1",,,,,,,,,,"100.00",,,,,,,,,,"Z",,,,,,,,,,"stock piece set up",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
