XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
550842316,"Poppin Peepers Chicken","",,,,,"Poppin Peepers ChickenHand Held fun creatures for all.  Guanranteed to make you giggleChickenEye Popping Fun",,,,"Toys-General",,"","","","","",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","","","",,,"Y",,"","","",,"","","","",,"We provide free shipping to all ASI members with in the 48 contiguous states with no minimum purchase required.","N","",,,,,,"",,,"24",,,,,,,,,,"4.527",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551077477,"Chicken of the Sea Tuna Salad Cups","",,,,,"2 - 2.8 oz tuna salad in sealed plastic cup. 80 calories per cup. Ready to eat. Wild caught. Dolphin safe. Ingredients light tuna water sugar cucumber pickle salt modified food starch onion lemon powder mustard paste salt black pepper mustard flour egg white powder titanium dioxide food color garlic powder onion powder xanthan gum.",,,,"Food Gifts-Meat",,"","","","","",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","","","",,,"Y",,"","","",,"","","","",,"We provide free shipping to all ASI members with in the 48 contiguous states with no minimum purchase required.","N","",,,,,,"",,,"16",,,,,,,,,,"8.873",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7404928,"Custom LED Sign - Fried Chicken - 23"" x 14""","",,,,,"Custom LED sign. Steady and flashing modes. High quality long-lasting LEDs. 3mm thick acrylic face that won't yellow over time. CE and UL approved power supply. This is an example of a custom sign. All signs are manufactured according to your specifications. Image and pricing are for reference only and will vary depending on your individual requirements.",,,,"ENVIRONMENTALLY FRIENDLY PRODUCTS,GLOW PRODUCTS,LED PRODUCTS,Lights-Flashing,Signs & Displays-Electric",,"","","Dimension","Length:23:in;Width:14:in","",,,"CHINA",,,,,,,"Pad Print",,"","","","Y","","",,,"Y",,"50","","",,"","","","",,"","N","",,,,,,"Custom LED Sign - Fried Chicken - 23"" x 14""",,,"100","250","500",,,,,,,,"52.81","52.18","51.53",,,,,,,,"R","R","R",,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551179793,"Chicken/Rooster(Zodiac)Keychain","",,,,,"This metal rooster keychain is perfect giveaways to show your company image on the trade show.",,,,"Key Holders-With Animal Novelty",,"Yellow,Black","Alloy","Dimension","Length:2:in;Width:1 1/2:in","Chicken",,,"CHINA",,,,,,,"Laser Engraved",,"Virtual Proof, Pre-production Proof","","","","Customized","",,,"Y",,"30","","",,"Poly Bag","1000:per Carton","","60:lbs",,"","N","",,,,,,"",,,"2000","5000","8000","10000","15000",,,,,,"1.35","1.19","1.13","1.10","1.05",,,,,,"R","R","R","R","R",,,,,,,"1 color and 1location",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550248274,"Chicken shaped USB heater","",,,,,"Keep hot drinks warm. Small and light weight, easy to take away. Keep temp between 60 and 70 degree. USB port, easy to use.",,,,"HEATERS,HEATING PADS,PROMOTIONS,USB/FLASH DRIVES,WARMERS",,"Assorted","Iron-ABS","","","",,,"CHINA",,,,,,,"Silkscreen",,"","","","Y","3x1 CM","",,,"Y",,"25","Y","",,"","120:per Carton","59.5 cm:in;43.5 cm:in;45 cm:in","19.5:kg",,"All products ship from China, but pricing is based on shipping from any 1 Port anywhere in the USA (ie: FOB L.A. or FOB: Miami)","N","",,,,,,"Chicken shaped USB heater",,,"500","1000","1500","2000","2500",,,,,,"5.595","5.118","4.395","3.89","3.53",,,,,,"R","R","R","R","R",,,,,,,"No imprint",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
200214913,"Custom JumboPlush Chicken","",,,,,"Custom plush jumbo stuffed toys. Promote in a BIG way! These gentle giants are perfect for your store displays, fund raising, employee incentives, raffles and more. Sizes available from 24"" to 5'. Minimum of 50 pieces. We specialize in creating your exact character or mascot. ASTM, CPSIA & Prop 65 compliant.",,,,"CUSTOM PRODUCTS-GENERAL,STUFFED ANIMALS & TOYS",,"White-Yellow,Custom s","","","","Chicken,Custom",,,"CHINA",,,,,,,"",,"Art Services","","","","","",,,"Y",,"45,60","Y","",,"","","","",,"","N","",,,,,,"Custom JumboPlush Chicken",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List","Product Sample","SMPL:Product Sample",,"Sample Charge","Other","Optional","1",,,,,,,,,,"129.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7415438,"Custom LED Sign - Fried Chicken - 23"" x 14""","",,,,,"Custom LED sign. Steady and flashing modes. High quality long-lasting LEDs. 3mm thick acrylic face that won't yellow over time. CE and UL approved power supply. This is an example of a custom sign. All signs are manufactured according to your specifications. Image and pricing are for reference only and will vary depending on your individual requirements.",,,,"ENVIRONMENTALLY FRIENDLY PRODUCTS,GLOW PRODUCTS,LED PRODUCTS,Lights-Flashing,Signs & Displays-Electric",,"","","Dimension","Length:23:in;Width:14:in","",,,"CHINA",,,,,,,"Pad Print",,"","","","Y","","",,,"Y",,"50","","",,"","","","",,"","N","",,,,,,"Custom LED Sign - Fried Chicken - 23"" x 14""",,,"100","250","500",,,,,,,,"52.81","52.18","51.53",,,,,,,,"R","R","R",,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550133191,"Rhinestone, Sequin or Spangle Transfer","",,,,,"Rhinestone, Sequin or Spangle transfer, Chicken 3 x 4.5 inches. This is a stock design to reflect our capabilities, but most orders are custom, and we can match nearly any supplied artwork.  Lowest minimums in the marketplace, with most custom designs as low as 6-piece minimum.  Because each item is custom priced, please call for quote.  Pricing varies based on size, number of rhinestones, etc.",,,,"HEAT TRANSFERS",,"","Rhinestone","","","",,,"CHINA",,,,,,,"transfer",,"","","","","","",,,"Y",,"3","","",,"","","","",,"","N","",,,,,,"Rhinestone, Sequin or Spangle Transfer",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4152951,"Chef Award","",,,,,"Chicken chef serving covered meal atop a black base with wood post fence.These awards are sure to make you peck for more while acknowledging a top seller or loyal client! These chicken chef shaped awards with serving tray & fence are sure to get the attention that you and your recipient are looking for. Each acrylic, custom chicken  can be personalized to include your recipient's name and message in digitally printed full color process or silkscreen imprinting on the surface for a true reflection of both your brand and their achievements! Order now!",,,,"Awards-Acrylic,Awards-Corporate,Awards-Recognition Plaques,Awards-Sculptures & Figurines,Custom Awards",,"Clear,Red,Brown,Black","Acrylic","","","Chef",,,"CHINA",,,,,,,"Digitally Printed, Full Color Process, Unimprinted",,"","","Y","Y","","",,,"Y",,"7","Y","",,"White box with silk paper","1:per Box","","",,"","N","",,,,,,"Chef Award",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550580422,"Compressed T-shirt","",,,,,"Chicken tray package shap compressed t-shirt. Pricing based on a White Gildan G5000 shirt custom printed 1c, Compressed  and packaged with one full color process insert card.  Fashion/ Concert Style tees such as Bella/Canvas, Next Level, 50/50 Dry Blend T-shirt also available for compression.  Please call for Fashion T-shirt pricing.",,,,"Shirts-General,T-Shirts-Unisex",,"White,Assorted","Blend: Polyester/Cotton (50/50),Cotton","","","",,,"CHINA",,,,,,,"Spot Color",,"","","","","","",,,"Y",,"15","Y","1:	",,"","40:per Case","12:in;12:in;12:in","25:lbs",,"","N","",,,,,,"T-Shirt Compressed",,,"144","288","500","1000","3000",,,,,,"10.50","9.50","7.65","6.08","5.65",,,,,,"R","R","R","R","R",,,,,,,"White Gildan G5000 with 1c imprint, compressed with 1 top insert card & Meat tray",,"USD",,"List","Spot Color","IMMD:Spot Color",,"Set-up Charge","Other","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
