XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
200138658,"Tyvek (R) 1"" Bar Code Wristband","",,,,,"Tyvek (R) 1"" Bar Code Wristband features space for custom barcoding when extra security is needed. The provided white surface includes special coating for higher quality barcode.",,"http://media.asicdn.com/images/jpgb/6240000/6243061.jpg",,"Wristbands-General",,"","Tyvek (R)","Dimension","Length:10:in;Width:1:in","",,,"CHINA",,,,,,,"Full Color, Printed",,"","Black","","","2.75"" x .875""","",,,"Y",,"5","Y","",,"","","","",,"","N","",,,,,,"Tyvek (R) 1"" Bar Code Wristband",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
200178692,"QR Code Custom Guitar Picks","",,,,,"Custom, white delrin guitar picks with a one color (black) imprint on two sides. First side can be any single color graphic (full color also available). Second side includes a QR code (black print option only) to be used with Smart Phones. A creative way to promote your next event! Perfect for concert/compact disc promotion, gift to your customers, or as a trade show giveaway.",,"http://media.asicdn.com/images/jpgb/6530000/6539511.jpg",,"Musical Specialties-Instruments",,"White","Delrin","","","",,,"CHINA",,,,,,,"Full Color Process, Printed",,"","Black","","","","",,,"Y",,"10","Y","5:	",,"","","","",,"","N","",,,,,,"QR Code Custom Guitar Picks",,,"1000","5000","10000","25000","50000","100000",,,,,"0.31","0.28","0.26","0.24","0.22","0.20",,,,,"R","R","R","R","R","R",,,,,,"One color (black) print on one side and QR code on other side.",,"USD",,"List","Printed, Full Color Process","IMMD:Printed, Full Color Process",,"Set-up Charge","Other","Required","1",,,,,,,,,,"30.00",,,,,,,,,,"Z",,,,,,,,,,"Full bleed to edge of pick, Full bleed to edge of pick",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6426774,"Channellock Bottle Opener Code Blue","",,,,,"This bottle opener is made of hardened steel for maximum beverage openabillity. High torque, 3 sided Code Blue grips. Made in China to the highest quality standards.",,"http://media.asicdn.com/images/jpgb/7020000/7029541.jpg",,"Openers-Bottle",,"","Steel","","","",,,"CHINA",,,,,,,"Laser Engraving",,"","","","","","",,,"Y",,"10","Y","",,"","","","",,"","N","",,,,,,"Bottle Opener Code Blue",,,"50","300","600","800","1000",,,,,,"6.63","6.38","6.15","5.52","5.33",,,,,,"R","R","R","R","R",,,,,,,"1 Location Engraving",,"USD",,"List","Laser Engraving","IMMD:Laser Engraving",,"Set-up Charge","Other","Required","1",,,,,,,,,,"62.50",,,,,,,,,,"Z",,,,,,,,,,"per location",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550607070,"Polyester Lanyard Swivel J-Hook w/ QR-Code","",,,,,"Polyester Lanyard Swivel J-Hook w/ QR-Code. Measuring 3/8"", 1/2"", 5/8"", 3/4"", or 1"" W x 35"" L. Your business logo, name or design can be imprinted for maximum brand exposure. Swivel hook and thumb trigger are available.",,"http://media.asicdn.com/images/jpgb/22420000/22427677.jpg",,"LANYARDS",,"White,Blue,Black,Purple,Red,Yellow,Orange,Green,Pink,Navy Blue,Light Blue","Polyester","Dimension","Length:35:in;Width:3/8:in,Length:35:in;Width:5/8:in,Length:35:in;Width:3/4:in,Length:35:in;Width:1:in","",,,"CHINA",,,,,,,"Heat Transfer, Silkscreen, Unimprinted",,"Virtual Proof, Art Services","Black, Blue, Green, Orange, Purple, Red, White, Yellow","Y","Y","","One location",,,"Y",,"10,20","Y","7:	",,"Bulk, Individual Poly Bag","1000:per Box","35:in;3/8:in","46:lbs",,"Overseas, Shipping by FedEx IP/IE, DHL: 3-7 working days; Shipping by Sea: 30 working days.","N","",,,,,,"Polyester Lanyard Swivel J-Hook w/ QR-Code",,,"500","2500","5000","10000","25000",,,,,,"0.88","0.85","0.82","0.79","0.77",,,,,,"R","R","R","R","R",,,,,,,"oneo color, one side imprint, w/ swivel J-Hook",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551208473,"T shirt shape Code Lock","",,,,,"This T shirt shape code lock is made of zinc alloy coming with 3 lock wheels. It can be used for home, office, luggage, suitcase, gym locker and interior door. Its logo can be customized.",,"http://media.asicdn.com/images/jpgb/24830000/24838117.jpg",,"Clocks-General,PHONE ACCESSORIES",,"Blue,White,Pink,Yellow","Alloy","Dimension","Length:2 1/8:in;Width:1 1/2:in;Height:3/8:in","Rectangle Shapes",,,"CHINA",,,,,,,"Silkscreen",,"Art Services (For free, within 24 hours ), Paper Proof (For free, within 24 hours ), Pre-production Proof (For free, within 24 hours )","PMS# Custom","","","3/4"" x 3/4""","",,,"Y",,"17,22","Y","15:,18:	",,"Individual Poly Bag","360:per Carton","14:in;13:in;15:in","40:lbs",,"1pc/poly bag, 200pcs / carton, 6 to 7 days' shipping time","N","",,,,,,"",,,"500","1000","2000","3000","5000",,,,,,"1.571","1.329","1.271","1.257","1.214",,,,,,"R","R","R","R","R",,,,,,,"1 color, 1 side, 1 location imprint, Freight to door",,"USD",,"List","Silkscreen","IMMD:Silkscreen",,"Imprint Method Charge","Per Order","Required","1",,,,,,,,,,"60.00",,,,,,,,,,"Z",,,,,,,,,,"Artwork silkscreen set-up charge / order",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550644058,"Billboard Pen Surf QR code","",,,,,"Ballpoint Pen with huge imprint area is good to show your customer your logo and information. Get the pen with the most visible imprint. Available in a variety of colors.",,"http://media.asicdn.com/images/jpgb/22550000/22554585.jpg",,"Pens-Ballpoint-General",,"Pink,Green,Yellow,Blue","Plastic","Dimension","Length:5.8:in;Width:0.4:in","",,,"CHINA",,,,,,,"Silkscreen",,"","","","Y","","",,,"Y",,"15","","",,"Case","","","",,"","N","",,,,,,"Billboard Pen Surf QR code",,,"3000","5000","10000","30000","50000",,,,,,"0.25","0.21","0.19","0.14","0.12",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List","Silkscreen","IMMD:Silkscreen",,"Imprint Method Charge","Other","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550861461,"QR Code Scan Pen with Stylus","",,,,,"QR Scan Code Pen with stylus. Metallic colored barrel and silver colored trims.",,"http://media.asicdn.com/images/jpgb/23390000/23398983.jpg",,"Mobile Accessories-General,PALMS/PDA ACCESSORIES,Pens-Ballpoint-Stylus,PHONE ACCESSORIES",,"Blue,Red,Green,Orange,Black","Plastic","Dimension","Length:5 9/16:in;Width:1/4:in","",,,"CHINA",,,,,,,"Screen Print",,"","","","","2 3/8 x 3/16, 5/8 x 3/4","",,,"Y",,"5","","",,"","1000:per Case","","17:lbs",,"","N","",,,,,,"QR Code Scan Pen with Stylus",,,"250","500","1000","2500","5000","10000",,,,,"0.587","0.55","0.532","0.466","0.455","0.44",,,,,"R","R","R","R","R","R",,,,,,"1 color, 1 location imprint",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551208356,"Sweat heart Code Lock","",,,,,"This couple red heart code lock is made of zinc alloy coming with 3 lock wheels. It can be used for home, office, luggage, suitcase, gym locker and interior door",,"http://media.asicdn.com/images/jpgb/24830000/24837802.jpg",,"Clocks-General,PHONE ACCESSORIES",,"Red","Alloy","Dimension","Length:3 1/8:in;Width:1 1/2:in;Height:3/8:in,Length:2 1/8:in;Width:1 1/2:in;Height:3/8:in","",,,"CHINA",,,,,,,"Silkscreen",,"Art Services (For free, within 24 hours ), Paper Proof (For free, within 24 hours ), Pre-production Proof (For free, within 24 hours )","PMS# Custom","","","3/4"" x 3/4""","",,,"Y",,"17,22","Y","15:,18:	",,"Individual Poly Bag","360:per Carton","14:in;13:in;15:in","36.4:lbs",,"1pc/poly bag, 200pcs / carton, 6 to 7 days' shipping time","N","",,,,,,"3 1/8 "" x 1 1/2 "" x 3/8 """,,,"500","1000","2000","3000","5000",,,,,,"1.714","1.60","1.571","1.543","1.529",,,,,,"R","R","R","R","R",,,,,,,"1 color, 1 side, 1 location imprint, Freight to door",,"USD",,"List","Silkscreen","IMMD:Silkscreen",,"Imprint Method Charge","Per Order","Required","1",,,,,,,,,,"60.00",,,,,,,,,,"Z",,,,,,,,,,"Artwork silkscreen set-up charge / order",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551035104,"QR Code Ballpoint Pen","",,,,,"New QR Code Ballpoint Pen with Fold Design, 2016 latest style, larger space for your logo imprint, it looks unique, simply scan it and quick to reach content.",,"http://media.asicdn.com/images/jpgb/23900000/23905812.jpg",,"Pens-Ballpoint-General",,"Black,Purple,Blue,Light Blue,Green,Yellow,Red","Plastic","Dimension","Length:5.43:in;Width:0.77:in","",,,"CHINA",,,,,,,"Pad Print",,"Virtual Proof","Custom Color","","","","",,,"Y",,"15","","",,"Individual Poly Bag","500:per Carton","22.83:in;6.5:in;10.23:in","15.43:lbs",,"","N","",,,,,,"",,,"200","1000","5000","10000","20000",,,,,,"1.143","0.736","0.447","0.371","0.35",,,,,,"R","R","R","R","R",,,,,,,"1 color 1 location imprint, shipping",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550962218,"Print two-dimensional code Sticker","",,,,,"Now, two-dimesinal code is popular for  people carrying phone, which is easy method to get the link about  companies' websites and promotion projects. This sticker is good as adversting gifts for you. Which is made of 80 g high quality paper, smooth in writing. If you want to custom the size, color, print and the shape, welcome to inquriy.",,"http://media.asicdn.com/images/jpgb/23750000/23754421.jpg",,"NOTEBOOKS",,"Blue,Purple,Black,White,Multi color","Paper","Dimension","Length:2.95:in;Width:2.95:in","",,,"CHINA",,,,,,,"Offset printing",,"","","","","","",,,"Y",,"10","","",,"","400:per Carton","32 cm:in;32 cm:in;32 cm:in","19:kg",,"","N","",,,,,,"",,,"1000","2500","5000","10000","50000",,,,,,"1.05","0.98","0.86","0.77","0.36",,,,,,"R","R","R","R","R",,,,,,,"1 location 1 color logo,Shipping fee",,"USD",,"List","Offset printing","IMMD:Offset printing",,"Imprint Method Charge","Other","Required","1",,,,,,,,,,"70.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
