XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
550027451,"Comp - Custom","",,,,,"The COMP short provides the perfect balance of form and function. Our upgraded PRO version is constructed using premium performance fabrics from Switzerland and Italy. Optional standard and PRO fabric packages. Adjustable waist drawstring. Flatlock stitching for improved comfort and durability. Finished Edge Power Band grippers. E.I.T. Super Tri Chamois from Italy. Reflective elements for low light visibility.",,"http://media.asicdn.com/images/jpgb/22860000/22867745.jpg",,"Clothing-General,PERFORMANCE APPAREL,SHORTS,Uniforms-Sports",,"White","Kolon","Standard & Numbered","2XS,XS,S,M,L,XL,2XL,3XL,4XL,5XL","",,,"CHINA",,,,,,,"Digital Sublimation, Full Color Process",,"","Assorted, Black, Blue, Brown, Burgundy, Clear, Gold, Gray, Green, light blue, Maroon, Multi Color, Navy blue, Orange, Other, Pink, Purple, Red, Royal Blue, Silver, Teal, White, Yellow","","Y","Entire Area","Entire Area",,,"Y",,"16","Y","10:	",,"All items are individually packed in polybags, labeled with Style number and sizing, then packed in cartons for shipping","50:per Other (box)","","",,"FedEX 3 Day Intl Priority","N","",,,,,,"XXS - 2XL",,,"6","25","50","100","250",,,,,,"74.00","64.00","58.00","52.00","44.00",,,,,,"R","R","R","R","R",,,,,,,"FREE Custom Design with 2 edit cycles, no setup fees, sublimation print, polybagged with label.",,"USD",,"List","10 business days","RUSH:10",,"Rush Service Charge","Other","Required","",,,,,,,,,,"QUR",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4876510,"Stock R/W/B Status Comp Basketball","",,,,,"Stock Status Comp game basketball in red, white, and blue with a wide channel design. TC composite leather cover for superior grip and feel. Indoor use only.",,"http://media.asicdn.com/images/jpgb/7020000/7028742.jpg",,"BASKETBALLS",,"Red-White-Blue","Composite Leather","Dimension","Length:29.5:in,Length:28.5:in","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"Stock R/W/B Status Comp Basketball",,,"1","24",,,,,,,,,"35.95","32.95",,,,,,,,,"R","R",,,,,,,,,,"blank product.",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4876523,"Custom Status Comp Game Basketball","",,,,,"Our Status Comp basketball meets or exceeds NCAA, NAIA, and NFHS specifications and comes embossed with NFHS logo. For indoor use only. New pinhole valve. 2-year unconditional warranty. Minimum order 36, packaged 4 per carton",,"http://media.asicdn.com/images/jpgb/7020000/7028736.jpg",,"BASKETBALLS",,"","","Dimension","Length:29.5:in,Length:28.5:in,Length:27:in,Length:24:in","",,,"CHINA",,,,,,,"Embossing",,"","","","","","",,,"Y",,"90","","",,"Carton quantity is 4. Shipped inflated.","","","",,"","N","",,,,,,"Custom Status Comp Game Basketball",,,"36","72",,,,,,,,,"49.929","45.643",,,,,,,,,"R","R",,,,,,,,,,"2-color/1-location embossed logo.",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4876509,"Stock Status Comp Game Basketball","",,,,,"Stock Status Comp game basketball with wide channel design. TC composite leather cover for superior grip and feel. Meets or exceeds NCAA, NAIA, and NFHS specifications. Embossed with NFHS logo on Men's and Women's sizes. Indoor use only.",,"http://media.asicdn.com/images/jpgb/7020000/7028741.jpg",,"BASKETBALLS",,"","Composite Leather","Dimension","Length:29.5:in,Length:28.5:in,Length:27:in,Length:24:in","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","Y","",,"","","","",,"","N","",,,,,,"Stock Status Comp Game Basketball",,,"1","24",,,,,,,,,"42.78","39.95",,,,,,,,,"R","R",,,,,,,,,,"blank product.",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550873214,"UA TAC HeatGear (R) COMP V","",,,,,"Tac Heatgear (R) men's comp v. Made of 83% polyester/17% elastane. Compression HeatGear (R) fabric. 4-way stretch fabrication. Signature moisture transport system wicks sweat away from the body. ArmourBlock (R) UPF 30+. Smooth, chafe-free flatlock seam construction.",,"http://media.asicdn.com/images/jpgb/24030000/24035254.jpg",,"PERFORMANCE APPAREL,SUN PROTECTION PRODUCTS,T-Shirts-Mens",,"Black-Clear,White-Clear","Blend: Polyester/Elastane (83/17)","Standard & Numbered","S,M,L,XL,2XL,3XL","",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"UA TAC HeatGear COMP V",,,"1",,,,,,,,,,"24.167",,,,,,,,,,"R",,,,,,,,,,,"Blank product",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550874266,"Women's Heatgear (R) Comp Tee","",,,,,"Women's fitted comp tee made of 84% polyester/16% Elastane. Lightweight, anti-pick, anti-pill fabric. Signature moisture transport system. ArmourBlock (R).",,"http://media.asicdn.com/images/jpgb/24030000/24036056.jpg",,"PERFORMANCE APPAREL,T-Shirts-Womens",,"Black-Black","Blend: Polyester/Elastane (84/16)","Standard & Numbered","XS,S,M,L,XL,2XL","",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"Women's Heatgear (R) Comp Tee",,,"1",,,,,,,,,,"24.167",,,,,,,,,,"R",,,,,,,,,,,"Blank product",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550829829,"UA TAC HeatGear (R) COMP T","",,,,,"Tac Heatgear (R) comp tee. Made of 83% polyester/17% elastane. Compression HeatGear (R) fabric. 4-way stretch fabrication. Signature moisture transport system wicks sweat away from the body. ArmourBlock (R) UPF 30+. Smooth, chafe-free flatlock seam construction.",,"http://media.asicdn.com/images/jpgb/23310000/23319497.jpg",,"PERFORMANCE APPAREL,SUN PROTECTION PRODUCTS,T-Shirts-Mens",,"Black-Clear,White-White,Desert Sand-Clear,Marine OD Green-Clear","Blend: Polyester/Elastane (83/17)","Standard & Numbered","S,M,L,XL,2XL,3XL","",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"UA TAC HeatGear COMP T",,,"1",,,,,,,,,,"24.167",,,,,,,,,,"R",,,,,,,,,,,"Blank product",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550586326,"PX4 Comp/Full IWB Right Handed Holster","",,,,,"PX4 Comp/Full IWB Right Handed Holster. Comfortable and concealable. Bulletproof construction. Fits Px4 Full Size and Px4 Compact. Adjustable for ride depth and cant. Corrosion proof Steel-Clip clips. Quick and easy positioning on belt. Fits trouser belt only. Ventilated premium grade leather. Premium grade leather backing. Micro holes for improving ventilation. Mounting spacers for easier tucking. Steel mounting hardware included. 11.25"" x 7.25"" x 1.25"", 0.36 lbs.",,"http://media.asicdn.com/images/jpgb/22360000/22363087.jpg",,"HOLSTERS",,"","","Dimension","Length:11.25:in;Width:7.25:in;Height:1.25:in","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","","",,"Display ready branded packaging","","","",,"","N","",,,,,,"PX4 Comp/Full IWB Right Handed Holster",,,"1",,,,,,,,,,"65.00",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551189528,"Mizuno Comp Men's Polo","",,,,,"Traditional style polo with lightweight performance polyester with Mizuno DryLite Technology that transports excess moisture away from the body.Set-in sleeve construction.Silver piping on shoulders.Silver Mizuno Runbird logo embroidered on left chest.Material: 100% DryLite Polyester.",,"http://media.asicdn.com/images/jpgb/24770000/24771574.jpg",,"Golf/Polo Shirts-Mens,PERFORMANCE APPAREL",,"Black,White,Red,Cardinal,Forest,Navy,Royal,Purple,Grey","DryLite Polyester","Standard & Numbered","S,M,L,XL,2XL,3XL,4XL","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"",,,"1","10","25","50","100",,,,,,"34.99","34.99","34.99","34.99","34.99",,,,,,"R","R","R","R","R",,,,,,,"Blank Product.",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551074916,"Designer Text Hard Cover Comp. notebook - 100 sheets","",,,,,"Designer Text Hard Cover Printed DogsCats Marble Composition Notebook100 sheets9.75 x 7.25Extra Heavy weight hard cover and back cover stocksewn center bindingtape reinforcedinside covers printed with class schedule and math conversion tablesVery Good quality paperWide Ruled blue ink with red ink margin line.",,"http://media.asicdn.com/images/jpgb/24420000/24428220.jpg",,"NOTEBOOKS",,"","","","","",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","","","",,,"Y",,"","","",,"","","","",,"We provide free shipping to all ASI members with in the 48 contiguous states with no minimum purchase required.","N","",,,,,,"",,,"48",,,,,,,,,,"2.727",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
