XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
551103636,"Reusable Cool Neckwear","",,,,,"Reusable Coolneckwear releases cold moisture onto the skin, water activated cooling product that holds cold temperatures by using ice or refrigeration keeping you cool helping you beat the heat. Made in the U.S.A. Activated with water and Ice to keep you cool. Best used as promotional item at outdoor events or hot climates and environments where you like to keep everyone cool while promoting your event or organization.The must have Item for any cool promotion especially with your guests at the event. Keeps you cool. A personal cooling device. As you wear it, you rotate it around your neck every 5 minutes. Once the product is activated with regular room temp water it will be between 20 to 30 degrees cooler than the outside ambient air temperature before any ice or refrigeration.",,,,"Caps & Hats-General,EXERCISE CLOTHES,INCENTIVE PROGRAMS,Party Favors-General,Uniforms-Restaurant/Hospitality",,"Yellow","Cotton","Dimension","Length:38:in;Width:38:in;Height:2:in","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Art Services, Paper Proof","Black, Blue, Green, Orange, Other, Purple, Red, Teal, White, Yellow","Y","","2"" x 14""","",,,"Y",,"7","","",,"","1200:per Box","16:in;16:in;16:in","48:lbs",,"For every 100 cooling scarfs the shipping weight is 4lbs. 
For every 1200 Cooling Scarfs is the shipping weight is 48lbs
Product is sealed plastic in 100 Packs","N","",,,,,,"Yellow",,,"48","250","500","1000","2500","5000","10000","25000",,,"3.50","3.07","2.92","2.86","2.81","2.70","2.20","1.85",,,"R","R","R","R","R","R","R","R",,,,"a one color imprint on yellow in one location with optional extra imprint colors",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551103418,"Cool Neck Wear","",,,,,"Cool Neck Wear used to keep you cool from hot weather temperatures.It's a water activated cooling product by using water ice or refrigeration keeping you cool helping you beat the heat. Made in the U.S.A. Activated with water and Ice to keep you cool. Best used as promotional item at outdoor events or hot climates and environments where you like to keep everyone cool while promoting your event or organization.The must have Item for any cool promotion especially with your guests at the event. Keeps you cool. A personal cooling device. As you wear it, you rotate it around your neck every 5 minutes. Once the product is activated with regular room temp water it will be between 20 to 30 degrees cooler than the outside ambient air temperature before any ice or refrigeration.",,,,"Cheering Accessories-General,CUSTOM PRODUCTS-GENERAL,PERFORMANCE APPAREL,PROMOTIONS,Sports Equipment & Access.-Racing/Competition",,"Royal Blue","Cotton","Dimension","Length:38:in;Width:38:in;Height:2:in","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Art Services, Paper Proof","Black, Blue, Green, Orange, Other, Purple, Red, Teal, White, Yellow","Y","","2"" x 14""","",,,"Y",,"7","","",,"","1200:per Box","16:in;16:in;16:in","48:lbs",,"For every 100 cooling scarfs the shipping weight is 4lbs. 
For every 1200 Cooling Scarfs is the shipping weight is 48lbs
Product is sealed plastic in 100 Packs","N","",,,,,,"Blue",,,"48","250","500","1000","2500","5000","10000","25000",,,"3.50","3.07","2.92","2.86","2.81","2.70","2.20","1.85",,,"R","R","R","R","R","R","R","R",,,,"a one color imprint on blue material in one location with optional extra imprint colors",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551101314,"Cool Neck Wear","",,,,,"Cool Neck Wear used to keep you cool from hot weather temperatures.It's a water activated cooling product by using water ice or refrigeration keeping you cool helping you beat the heat. Made in the U.S.A. Activated with water and Ice to keep you cool. Best used as promotional item at outdoor events or hot climates and environments where you like to keep everyone cool while promoting your event or organization.The must have Item for any cool promotion especially with your guests at the event. Keeps you cool. A personal cooling device. As you wear it, you rotate it around your neck every 5 minutes. Once the product is activated with regular room temp water it will be between 20 to 30 degrees cooler than the outside ambient air temperature before any ice or refrigeration.",,,,"Cheering Accessories-General,CUSTOM PRODUCTS-GENERAL,PERFORMANCE APPAREL,PROMOTIONS,Sports Equipment & Access.-Racing/Competition",,"Red","Cotton","Dimension","Length:38:in;Width:38:in;Height:2:in","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Art Services, Paper Proof","Black, Blue, Green, Orange, Other, Purple, Red, Teal, White, Yellow","Y","","2"" x 14""","",,,"Y",,"7","","",,"","1200:per Box","16:in;16:in;16:in","48:lbs",,"For every 100 cooling scarfs the shipping weight is 4lbs. 
For every 1200 Cooling Scarfs is the shipping weight is 48lbs
Product is sealed plastic in 100 Packs","N","",,,,,,"Red",,,"48","250","500","1000","2500","5000","10000","25000",,,"3.50","3.05","2.87","2.81","2.76","2.70","2.25","1.80",,,"R","R","R","R","R","R","R","R",,,,"a one color imprint on red in one location with optional extra imprint colors",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551102756,"Cool Neck Wear","",,,,,"Cool Neck Wear used to keep you cool from hot weather temperatures.It's a water activated cooling product by using water ice or refrigeration keeping you cool helping you beat the heat. Made in the U.S.A. Activated with water and Ice to keep you cool. Best used as promotional item at outdoor events or hot climates and environments where you like to keep everyone cool while promoting your event or organization.The must have Item for any cool promotion especially with your guests at the event. Keeps you cool. A personal cooling device. As you wear it, you rotate it around your neck every 5 minutes. Once the product is activated with regular room temp water it will be between 20 to 30 degrees cooler than the outside ambient air temperature before any ice or refrigeration.",,,,"Cheering Accessories-General,CUSTOM PRODUCTS-GENERAL,PERFORMANCE APPAREL,PROMOTIONS,Sports Equipment & Access.-Racing/Competition",,"Light Gray","Cotton","Dimension","Length:38:in;Width:38:in;Height:2:in","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Art Services, Paper Proof","Black, Blue, Green, Orange, Other, Purple, Red, Teal, White, Yellow","Y","","2"" x 14""","",,,"Y",,"7","","",,"","1200:per Box","16:in;16:in;16:in","48:lbs",,"For every 100 cooling scarfs the shipping weight is 4lbs. 
For every 1200 Cooling Scarfs is the shipping weight is 48lbs
Product is sealed plastic in 100 Packs","N","",,,,,,"Light Gray",,,"48","250","500","1000","2500","5000","10000","25000",,,"3.50","3.077","2.92","2.86","2.81","2.70","2.20","1.85",,,"R","R","R","R","R","R","R","R",,,,"a one color imprint on light gray material in one location with optional extra imprint colors",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551102728,"Cool Neck Wear","",,,,,"Cool Neck Wear used to keep you cool from hot weather temperatures.It's a water activated cooling product by using water ice or refrigeration keeping you cool helping you beat the heat. Made in the U.S.A. Activated with water and Ice to keep you cool. Best used as promotional item at outdoor events or hot climates and environments where you like to keep everyone cool while promoting your event or organization.The must have Item for any cool promotion especially with your guests at the event. Keeps you cool. A personal cooling device. As you wear it, you rotate it around your neck every 5 minutes. Once the product is activated with regular room temp water it will be between 20 to 30 degrees cooler than the outside ambient air temperature before any ice or refrigeration",,,,"Cheering Accessories-General,CUSTOM PRODUCTS-GENERAL,PERFORMANCE APPAREL,PROMOTIONS,Sports Equipment & Access.-Racing/Competition",,"Orange","Cotton","Dimension","Length:38:in;Width:38:in;Height:2:in","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Art Services, Paper Proof","Black, Blue, Green, Orange, Other, Purple, Red, Teal, White, Yellow","Y","","2"" x 14""","",,,"Y",,"7","","",,"","1200:per Box","16:in;16:in;16:in","48:lbs",,"For every 100 cooling scarfs the shipping weight is 4lbs. 
For every 1200 Cooling Scarfs is the shipping weight is 48lbs
Product is sealed plastic in 100 Packs","N","",,,,,,"Orange",,,"48","250","500","1000","2500","5000","10000","25000",,,"3.60","3.07","2.92","2.86","2.81","2.70","2.20","1.80",,,"R","R","R","R","R","R","R","R",,,,"a one color imprint on orange material in one location with optional extra imprint colors",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551101469,"Cool Neck Wear","",,,,,"Cool Neck Wear used to keep you cool from hot weather temperatures.It's a water activated cooling product by using water ice or refrigeration keeping you cool helping you beat the heat. Made in the U.S.A. Activated with water and Ice to keep you cool. Best used as promotional item at outdoor events or hot climates and environments where you like to keep everyone cool while promoting your event or organization.The must have Item for any cool promotion especially with your guests at the event. Keeps you cool. A personal cooling device. As you wear it, you rotate it around your neck every 5 minutes. Once the product is activated with regular room temp water it will be between 20 to 30 degrees cooler than the outside ambient air temperature before any ice or refrigeration.",,,,"Cheering Accessories-General,CUSTOM PRODUCTS-GENERAL,PERFORMANCE APPAREL,PROMOTIONS,Sports Equipment & Access.-Racing/Competition",,"Pink","Cotton","Dimension","Length:38:in;Width:38:in;Height:2:in","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Art Services, Paper Proof","Black, Blue, Green, Orange, Other, Purple, Red, Teal, White, Yellow","Y","","2"" x 14""","",,,"Y",,"7","","",,"","1200:per Box","16:in;16:in;16:in","48:lbs",,"For every 100 cooling scarfs the shipping weight is 4lbs. 
For every 1200 Cooling Scarfs is the shipping weight is 48lbs
Product is sealed plastic in 100 Packs","N","",,,,,,"Pink",,,"48","250","500","1000","2500","5000","10000","25000",,,"3.50","3.07","2.92","2.86","2.81","2.70","2.20","1.85",,,"R","R","R","R","R","R","R","R",,,,"a one color imprint on pink in one location with optional extra imprint colors",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551101404,"Cool Neck Wear","",,,,,"Cool Neck Wear used to keep cool from hot weather temperatures. It's a water activated cooling product by using water ice or refrigeration keeping you cool helping you beat the heat. Made in the USA. Activated with water and ice to keep you cool. Best used as a promotional item at outdoor events or hot climates and endowments where you like to keep everyone cool while promoting your event or organization. The must have item for any cool promotion especially with your guests at the event. Keeps you cool. A personal cooling device. As you wear it, you rotate it wound your neck every 5 minutes. Once the product is activated with regular room temp water it will be between 20-30 degrees cooler then the outside ambient air temperature before any ice or refrigeration.",,,,"Cheering Accessories-General,CUSTOM PRODUCTS-GENERAL,PERFORMANCE APPAREL,PROMOTIONS,Sports Equipment & Access.-Racing/Competition",,"Navy Blue","Cotton","Dimension","Length:38:in;Width:38:in;Height:2:in","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Art Services, Paper Proof","Black, Blue, Green, Orange, Other, Purple, Red, Teal, White, Yellow","Y","","2"" x 14""","",,,"Y",,"7","","",,"","1200:per Box","16:in;16:in;16:in","48:lbs",,"For every 100 cooling scarfs the shipping weight is 4lbs. 
For every 1200 Cooling Scarfs is the shipping weight is 48lbs
Product is sealed plastic in 100 Packs","N","",,,,,,"Navy",,,"48","250","500","1000","2500","5000","10000","25000",,,"3.507","3.07","2.92","2.863","2.817","2.708","2.20","1.85",,,"R","R","R","R","R","R","R","R",,,,"a one color imprint on navy in one location with optional extra imprint colors",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551101240,"Cool Neck Wear","",,,,,"Cool Neck Wear used to keep you cool from hot weather temperatures.It's a water activated cooling product by using water ice or refrigeration keeping you cool helping you beat the heat. Made in the U.S.A. Activated with water and Ice to keep you cool. Best used as promotional item at outdoor events or hot climates and environments where you like to keep everyone cool while promoting your event or organization.The must have Item for any cool promotion especially with your guests at the event. Keeps you cool. A personal cooling device. As you wear it, you rotate it around your neck every 5 minutes. Once the product is activated with regular room temp water it will be between 20 to 30 degrees cooler than the outside ambient air temperature before any ice or refrigeration.",,,,"Cheering Accessories-General,CUSTOM PRODUCTS-GENERAL,PERFORMANCE APPAREL,PROMOTIONS,Sports Equipment & Access.-Racing/Competition",,"White","Cotton","Dimension","Length:38:in;Width:38:in;Height:2:in","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Art Services, Paper Proof","Black, Blue, Green, Orange, Other, Purple, Red, Teal, White, Yellow","Y","","2"" x 14""","",,,"Y",,"7","","",,"","1200:per Box","16:in;16:in;16:in","48:lbs",,"For every 100 cooling scarfs the shipping weight is 4lbs. 
For every 1200 Cooling Scarfs is the shipping weight is 48lbs
Product is sealed plastic in 100 Packs","N","",,,,,,"Black",,,"48","250","500","1000","2500","5000","10000","25000",,,"3.50","3.07","2.923","2.862","2.816","2.707","2.20","1.85",,,"R","R","R","R","R","R","R","R",,,,"a one color imprint on black material in one location with optional extra imprint colors",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551103771,"Reusable Cool Neckwear","",,,,,"Reusable Coolneckwear releases cold moisture onto the skin, water activated cooling product that holds cold temperatures by using ice or refrigeration keeping you cool helping you beat the heat. Made in the U.S.A. Activated with water and Ice to keep you cool. Best used as promotional item at outdoor events or hot climates and environments where you like to keep everyone cool while promoting your event or organization.The must have Item for any cool promotion especially with your guests at the event. Keeps you cool. A personal cooling device. As you wear it, you rotate it around your neck every 5 minutes. Once the product is activated with regular room temp water it will be between 20 to 30 degrees cooler than the outside ambient air temperature before any ice or refrigeration.",,,,"Caps & Hats-General,EXERCISE CLOTHES,INCENTIVE PROGRAMS,Party Favors-General,Uniforms-Restaurant/Hospitality",,"Camouflage","Cotton","Dimension","Length:38:in;Width:38:in;Height:2:in","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Art Services, Paper Proof","Black, Blue, Green, Orange, Other, Purple, Red, Teal, White, Yellow","Y","","1""x 2"", 1""x 5"", 2"" x 16""","Center or any location of the item",,,"Y",,"7","","",,"","1200:per Box","16:in;16:in;16:in","48:lbs",,"For every 100 cooling scarfs the shipping weight is 4lbs. 
For every 1200 Cooling Scarfs is the shipping weight is 48lbs
Product is sealed plastic in 100 Packs","N","",,,,,,"Desert Camouflage",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"a one color imprint on camouflage material in one location with optional extra imprint colors",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551102763,"Cool Neck Wear","",,,,,"Cool Neck Wear used to keep you cool from hot weather temperatures.It's a water activated cooling product by using water ice or refrigeration keeping you cool helping you beat the heat. Made in the U.S.A. Activated with water and Ice to keep you cool. Best used as promotional item at outdoor events or hot climates and environments where you like to keep everyone cool while promoting your event or organization.The must have Item for any cool promotion especially with your guests at the event. Keeps you cool. A personal cooling device. As you wear it, you rotate it around your neck every 5 minutes. Once the product is activated with regular room temp water it will be between 20 to 30 degrees cooler than the outside ambient air temperature before any ice or refrigeration.",,,,"Cheering Accessories-General,CUSTOM PRODUCTS-GENERAL,PERFORMANCE APPAREL,PROMOTIONS,Sports Equipment & Access.-Racing/Competition",,"White","Cotton","Dimension","Length:38:in;Width:38:in;Height:2:in","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Art Services, Paper Proof","Black, Blue, Green, Orange, Other, Purple, Red, Teal, White, Yellow","Y","","2"" x 14""","",,,"Y",,"7","","",,"","1200:per Box","16:in;16:in;16:in","48:lbs",,"For every 100 cooling scarfs the shipping weight is 4lbs. 
For every 1200 Cooling Scarfs is the shipping weight is 48lbs
Product is sealed plastic in 100 Packs","N","",,,,,,"White",,,"48","250","500","1000","2500","5000","10000","25000",,,"3.29","2.76","2.60","2.54","2.49","2.25","1.99","1.70",,,"R","R","R","R","R","R","R","R",,,,"a one color imprint on white material in one location with optional extra imprint colors",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
