XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
550224252,"Clear Plastic Cup with Chocolate Chip Cookies","",,,,,"Clear plastic cup with lid and chocolate chip cookies.  Perfect travel cup for your clients to take your logo, their favorite drink and cookies on the road.   Promote on the go with this creative cup with cookies and four color process. Assorted colors. Overall size: 4"" width x 6"" height.",,"http://media.asicdn.com/images/jpgb/20880000/20887474.jpg",,"Cups-Plastic,Food Gifts-Bakery Items",,"Assorted","Plastic","Dimension","Length:4:in;Width:6:in","Cup",,,"CHINA",,,,,,,"4 color card insert",,"","","","Y","5.5"" x 3.5""","Four color card insert on cup",,,"Y",,"7","Y","1:,5:	",,"Case","34:per Case","20.0625:in;11.375:in;12.75:in","14:lbs",,"Please call for shipping information on clear plastic cup with lid and chocolate chip cookies.","N","",,,,,,"Clear plastic cup with lid and chocolate chip cookies",,,"75","150","300",,,,,,,,"5.95","5.75","5.49",,,,,,,,"R","R","R",,,,,,,,,"Clear plastic cup with lid and chocolate chip cookies",,"USD",,"List","4 color card insert","IMMD:4 color card insert",,"Set-up Charge","Other","Required","1",,,,,,,,,,"30.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
200350567,"Tissue Cup Container","",,,,,"Pop this unique tissue cup container in your car's cup holder and tissues stay clean and within reach even on the longest road trip. The large laminated decal area makes our tissue cup an outstanding value. Price includes four color card insert.  Great tissue cup container value. 5.25""L x 2"" dia",,"http://media.asicdn.com/images/jpgb/7920000/7927360.jpg",,"Cups-General,Dispensers-Tissue,TISSUES",,"Assorted","","Dimension","Length:5.25:in;Width:2:in","Cup",,,"CHINA",,,,,,,"Printed",,"","","","Y","9"" x 3.75""","",,,"Y",,"7","Y","1:,5:	",,"","","","",,"","N","",,,,,,"Tissue Cup Container",,,"250","500","1000",,,,,,,,"1.95","1.85","1.75",,,,,,,,"R","R","R",,,,,,,,,"4 color card insert",,"USD",,"List","Printed","IMMD:Printed",,"Set-up Charge","Other","Required","1",,,,,,,,,,"65.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7116468,"The Cup (TM)","",,,,,"Sip to success with The Cup (TM). Made from Tri-Edge (TM) polypropylene material, this sturdy and reusable cup holds up to 16 oz. of your favorite beverage. Great for tailgating, parties, company picnics, and much more, this BPA free, double wall insulated drinkware is sure to make a lasting impression. This product is proudly made in the USA and meets all FDA requirements. With an imprint of your logo on the front, customers will thank you for a great time!",,"http://media.asicdn.com/images/jpgb/24980000/24987418.jpg",,"Cups-Plastic,ENVIRONMENTALLY FRIENDLY PRODUCTS",,"BLACK WITH WHITE,LIGHT BLUE    WITH WHITE,FOREST GREEN WITH WHITE,METALLIC BLUE WITH WHITE,METALLIC GRAY WITH WHITE,METALLIC GREEN WITH WHITE,METALLIC RED WITH WHITE,METALLIC BURNT ORANGE WITH WHITE,MAROON WITH WHITE,NAVY BLUE WITH WHITE,NEON GREEN WITH WHITE,NEON ORANGE WITH WHITE,NEON PINK WITH WHITE,PINK WITH WHITE,PURPLE WITH WHITE,Red with White,ROYAL WITH WHITE,WHITE WITH WHITE,YELLOW WITH WHITE","Polypropylene","Volume/Weight","16:oz","",,,"CHINA",,,,,,,"Silkscreen",,"Art Services (Art Charges will be assessed according to time, difficulty and amount of materials used. NOTE: All artwork received will be maxed out to our imprint area unless otherwise specified on your artwork and P.O.), Paper Proof (Paper Proofs will be Faxed unless otherwise noted on purchase order. Production begins after receipt of written proof approval.), Virtual Proof, Product Proof, Electronic Proofs will be Emailed unless otherwise noted on purchase order. Production begins after receipt of written proof approval.","Athletic Gold, Black, Brown, Burgundy, Forest Green, Gold, Gray, Kelly Green, Light Blue, Lime Green, Maroon, Navy Blue, Orange, Pink, Process Blue, Purple, Red, Royal Blue, Silver, Tan, Teal, White, Yellow","","Y","3"" x 2"", 5"" x 2""","",,,"Y",,"3,10","Y","",,"Poly Bag, When special packaging is specified, an additional charge will be levied.  Please identify your customs brokers.","100:per Box","19.00:in;15.00:in;15.00:in","18:lbs",,"Lids Packed Separately And Unassembled","N","",,,,,,"",,,"100","200","500","1000","2500",,,,,,"3.48","3.03","2.63","2.29","1.99",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List","Silkscreen","IMMD:Silkscreen",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"40.00",,,,,,,,,,"Z",,,,,,,,,,"Per Location, Per Piece",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550520141,"The Plastic Party Cup","",,,,,"This 16 oz. double-wall insulated plastic party cup is BPA Free and great for tailgating, parties and company picnics. Made from Tri-edge (TM) polypropylene material and meet all FDA requirements. These stadium cups are sturdy and reusable, hand wash recommended, and now come in a variety of colors!  Optional slide-action lid is available and they are made in USA!",,"http://media.asicdn.com/images/jpgb/22190000/22192433.jpg",,"Cups-Plastic,ENVIRONMENTALLY FRIENDLY PRODUCTS,Glasses-Drinking-Tumbler,STADIUM CUPS",,"Red,Black,White,Forest Green,Royal Blue,Yellow,Navy Blue,Carolina Blue,Maroon,Pink,Purple,Neon Green,Neon Orange,Neon Pink,Metallic Blue,Metallic Gray,Metallic Green,METALLIC RED,Metallic Taxas Orange,Translucent Clear","Polypropylene","Volume/Weight","16:oz","",,,"CHINA",,,,,,,"Silkscreen imprint on plastic party cups",,"Paper Proof","","","Y","3"" W x 2"" H, 5"" W x 2"" H","Silkscreen imprint on plastic party cups, Wraparound Silkscreen imprint on plastic party cups",,,"Y",,"7","","",,"","100:per Case","19:in;15:in;15:in","18:lbs",,"100 per box. (100 per Box.).  Please call for additional shipping information","N","",,,,,,"The Plastic Party Cup",,,"100","200","500","1000","2500",,,,,,"3.48","3.03","2.63","2.29","1.99",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List","Silkscreen imprint on plastic party cups","IMMD:Silkscreen imprint on plastic party cups",,"Imprint Method Charge","Other","Required","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550520141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Paper Proof","ARTW:Paper Proof",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"15.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6840348,"Pink 16 oz. Light Up Glow Cup","",,,,,"Light up the night with a blast of color with our 16 oz. glow cup! This versatile cup can be used to hold virtually anything while keeping your logo or message highly visible on the outside. A colorful, cost-effective, promotional product that works hard for your business. Great for concerts, fundraisers, sporting events. A real crowd-pleaser at birthdays, graduation parties & wedding receptions. Please Note: Glow items by nature are a 1 time use only.",,"http://media.asicdn.com/images/jpgb/6910000/6910061.jpg",,"BAR ACCESSORIES,Cups-General,Glasses-Drinking-Lighted,GLOW PRODUCTS,Light Up Novelties-Barware",,"Pink","","Volume/Weight","16:oz","",,,"CHINA",,,,,,,"Pad Print, Unimprinted",,"","","Y","Y","2 1/4"" x 2""","",,,"Y",,"5","","",,"","","","",,"","N","",,,,,,"Pink 16 oz. Light Up Glow Cup",,,"200","500","1000",,,,,,,,"3.00","2.95","2.90",,,,,,,,"R","R","R",,,,,,,,,"1 color imprint in 1 location",,"USD",,"List","Pad Print, Unimprinted","IMMD:Pad Print, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"55.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7258734,"17 oz Color Changing Stadium Cup","",,,,,"Impress gusts with the 17 oz. color changing stadium up! This unique cup changes color when ice-cold beverages are added. Proudly made in the USA, this sturdy and reusable cup meets FDA requirements and is BPA free. In a variety of colors to choose from, an imprint of your logo or company name will stand out amongst the crowd. A great giveaway for tradeshows, fundraisers, corporate picnics, parties, and much more, make this stadium cup your next successful marketing tool!",,"http://media.asicdn.com/images/jpgb/24080000/24084829.jpg",,"ENVIRONMENTALLY FRIENDLY PRODUCTS,STADIUM CUPS",,"Frost Blue,FROST GREEN,Frost Orange,FROST PINK,Frost Purple,FROST RED,FROST YELLOW","","Volume/Weight","17:oz","",,,"CHINA",,,,,,,"Silkscreen",,"Art Services (Art Charges will be assessed according to time, difficulty and amount of materials used. NOTE: All artwork received will be maxed out to our imprint area unless otherwise specified on your artwork and P.O.), Paper Proof (Paper Proofs will be Faxed unless otherwise noted on purchase order. Production begins after receipt of written proof approval.), Virtual Proof, Product Proof, Electronic Proofs will be Emailed unless otherwise noted on purchase order. Production begins after receipt of written proof approval.","Athletic Gold, Black, Brown, Burgundy, Forest Green, Gold, Gray, Kelly Green, Light Blue, Lime Green, Maroon, Navy Blue, Orange, Pink, Process Blue, Purple, Red, Royal Blue, Silver, Tan, Teal, White, Yellow","","Y","3"" x 2"", 6"" x 2""","",,,"Y",,"3,10","Y","",,"When special packaging is specified, an additional charge will be levied.  Please identify your customs brokers.","500:per Box","18.00:in;19.00:in;15.00:in","28:lbs",,"","N","",,,,,,"",,,"100","250","500","1000","2500","5000",,,,,"1.47","1.28","1.11","0.97","0.84","0.73",,,,,"R","R","R","R","R","R",,,,,,"N/A",,"USD",,"List","Silkscreen","IMMD:Silkscreen",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"0.30",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5532945,"22 oz Stadium Cup","",,,,,"Introducing our stadium cup! This cup is made from a BPA free food grade polypropylene and is both CPSIA and FDA certified. Designed to fit into most car cup holders. Makes a great souvenir from any event. This stadium cup is ideal for promoting sporting events, bars, restaurants, corporate picnics, and fund raisers. Product is 5 1/2"" h x 3 5/8"" diameter in dimension. Available in 3 translucent colors and 9 solid colors! Made in the USA. Up to 3 assorted colors available at no additional charge.",,"http://media.asicdn.com/images/jpgb/22550000/22553863.jpg",,"ENVIRONMENTALLY FRIENDLY PRODUCTS,STADIUM CUPS",,"Translucent Green,White,Black,Royal Blue,Red,Yellow,Purple,Kelly Green,Orange,Translucent Blue,Translucent Red","Polypropylene","Volume/Weight","22:oz","",,,"CHINA",,,,,,,"Screen Print, Unimprinted",,"Pre-production Proof (Ground freight included), Virtual Proof","Black, Brown, Burgundy, Dark Blue, Dark Green, Gold, Gray, Green, Ivory, Neon Pink, Orange, Pink, Process Blue, Purple, Red, Reflex Blue, Royal Blue, Silver, Teal, White, Yellow","Y","Y","2 1/2""H x 9""W, 3 1/2""h x 3""w","each side, wraparound",,,"Y",,"5","Y","",,"","500:per Carton","22:in;18:in;13:in","36:lbs",,"","N","",,,,,,"22 oz Stadium Cup",,,"150","250","500","1000","2500",,,,,,"0.78","0.69","0.65","0.63","0.62",,,,,,"R","R","R","R","R",,,,,,,"1-color imprint only on one side, two sides or full wrap",,"USD",,"List","Screen Print, Unimprinted (Sold Unimprinted)","IMMD:Screen Print, Unimprinted (Sold Unimprinted)",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"55.00",,,,,,,,,,"Z",,,,,,,,,,"per colorYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5532945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Product Sample","SMPL:Product Sample",,"Sample Charge","Other","Optional","1",,,,,,,,,,"65.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5532945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pre-production Proof (Ground freight included), Virtual Proof","ARTW:Pre-production Proof (Ground freight included), Virtual Proof",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
