XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
5878131,"Aluminum Dog Tag","",,,,,"Your customers will identify with your brand when you pass along this aluminum dog tag at your next event. A great way to enhance your brand and increase recognition, this customizable dog tag offers versatile wearing options such as a necklace or a keychain. Add your company name and logo using custom etched, printed or sublimation imprinting methods to make a great impression at your next event.",,"http://media.asicdn.com/images/jpgb/6510000/6517863.jpg",,"Tags-Dog/Military Identification",,"","Aluminum","","","",,,"CHINA",,,,,,,"Etched, Printed, Sublimation",,"Virtual Proof","","","Y","","",,,"Y",,"10","Y","4:,7:	",,"","","","",,"","N","",,,,,,"Aluminum Dog Tag",,,"50","75","100","250","500","1000","2500","5000",,,"7.15","4.94","3.77","2.21","2.08","2.08","1.872","1.794",,,"R","R","R","R","R","R","R","R",,,,"shipping, set-up",,"USD",,"List","Sublimation, Printed, Etched","IMMD:Sublimation, Printed, Etched",,"Imprint Method Charge","Other","Required","1",,,,,,,,,,"100.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5878131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virtual Proof","ARTW:Virtual Proof",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5878131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 business days,7 business days","RUSH:4,7",,"Rush Service Charge","Other","Required","",,,,,,,,,,"QUR",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4885238,"Dog Tag","",,,,,"Your brand will be barking up all the right trees when it's imprinted on these customizable keepsake dog tags! Offered in an array of classic colors, reinforce your company image using these fashionable accessories around the necks of your customers. Made of anondized aluminum, these durable and long-lasting tags hang off a 34"" beaded chain. A creative and versatile giveaway at any promotional event!",,"http://media.asicdn.com/images/jpgb/6480000/6483561.jpg",,"Tags-Dog/Military Identification",,"Blue,Red,Silver","","Dimension","Length:2.13:in;Width:1.13:in;Height:0.04:in","",,,"CHINA",,,,,,,"1 Color 1 Location, Laser, Unimprinted",,"","185 Red, 186 Red, 189 Pink, 211 Pink, 300 Blue, 469 Brown, 478 Brown, 485 Red, Black, Burgundy, Dark Blue/Navy, Forest Green, Gold, Gold Metallic, Gray, Kelly Green, light blue, Lime Green, Medium Blue, Orange, Process Blue, Purple, Reflex Blue, Rhodamine Red, Royal Blue, Rubine Red, Silver Metallic, Tan, Teal, Violet, Warm Red, White, Yellow","Y","","0.875"" X 1.5""","",,,"Y",,"1,8","Y","1:	",,"","1000:per Other","15:in;10:in;8:in","25:lbs",,"","N","",,,,,,"Laser",,,"250","500","1000","2500","5000",,,,,,"1.04","0.94","0.89","0.84","0.79",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List","Laser, 1 Color 1 Location, Unimprinted","IMMD:Laser, 1 Color 1 Location, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4887947,"Dog Tag","",,,,,"Recipients will be able to easily identify your brand name on this dog tag! With an overall size of 2"" x 1 1/4"", this tag features a colorful silicone border and a 28"" ball chain. It makes a great conversation piece! Perfect for trade shows, conventions, charity events and gift shops,choose from several border colors and have your company name or logo imprinted on the surface for maximum brand visibility!",,"http://media.asicdn.com/images/jpgb/24200000/24203168.jpg",,"Tags-Dog/Military Identification",,"Black,Royal Blue","","Dimension","Length:2:in;Width:1 1/4:in","",,,"CHINA",,,,,,,"Laser Engraved, Pad Print",,"Art Services (Art Charges will be assessed according to time, difficulty and amount of materials used. NOTE: All artwork received will be maxed out to our imprint area unless otherwise specified on your artwork and P.O.), Paper Proof (Paper Proofs will be Faxed unless otherwise noted on purchase order. Production begins after receipt of written proof approval), Pre-production Proof, Virtual Proof, Product Proof Pad Print, Product Proof Laser Engrave, Electronic Proofs will be Emailed unless otherwise noted on purchase order. Production begins after receipt of written proof approval","Athletic Gold, Black, Brown, Burgundy, Forest Green, Gold, Gray, Kelly Green, light blue, Lime Green, Maroon, Navy blue, Orange, Pink, Process Blue, Purple, Red, Royal Blue, Silver, Tan, Teal, White, Yellow","","Y","1"" x 5/8"", 1"" x 7/16""","",,,"Y",,"3,10","Y","",,"Special  - When special packaging is specified, an additional charge will be levied.  Please identify your customs brokers., Poly Bag","250:per Box","17.00:in;12.00:in;5.00:in","10:lbs",,"","N","",,,,,,"",,,"250","500","1000","2500","5000",,,,,,"1.66","1.45","1.26","1.09","0.95",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List","Laser Engraved, Pad Print","IMMD:Laser Engraved, Pad Print",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"0.10",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4833857,"Dog tags with chain","",,,,,"Stand at attention to these stylish products! Our designer dog tag is made of anodized aluminum and features a 23 3/4"" chain that is bagged separately. Choose from 6 different colors and customize with an imprint on a 1 1/4"" x 3/4"" surface area. Great gift for a friend or family member serving in the military. An ideal promotional product for any business or foundation that is trying to promote endurance and perseverance to its clients and employees.",,"http://media.asicdn.com/images/jpgb/20500000/20504679.jpg",,"Tags-Dog/Military Identification",,"Pink","Aluminum","","","",,,"CHINA",,,,,,,"Pad Print, Unimprinted",,"","Black, Bronze, Brown, Burgundy, Cool Gray, Dark Blue, dark green, Gold, light blue, light green, Navy, Orange, Pink, Purple, Red, Royal Blue, Silver, Teal, White, Yellow","Y","Y","1 1/4"" x 3/4""","",,,"Y",,"1,5","","",,"Individual Poly Bag","","","",,"","N","",,,,,,"1-5 business days",,,"250","500","1000","2500",,,,,,,"0.98","0.93","0.89","0.85",,,,,,,"R","R","R","R",,,,,,,,"One Color Imprint",,"USD",,"List","Pad Print, Unimprinted","IMMD:Pad Print, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550205424,"Aluminum Pet Tag","",,,,,"Flower shaped colorful and fun metal pet tag. Also can be used as key tag, name plate and ID tag. Ultra Durable! Just choose your anodized tag color and logo color. The dog tags on this item can be custom laser engraved to create a product to match the unique needs of your event or promotion. The perfect finishing touch to any event or project! Come with or without variety necklace to choose. Custom shape are welcomed. Oversea production.",,"http://media.asicdn.com/images/jpgb/20820000/20823695.jpg",,"Key Holders-Aluminum,PET ITEMS,Tags-Dog/Military Identification",,"Purple,Black,Blue,Green,Red,Silver,Yellow,White,Orange,Pink,Burgundy,Gold,Camouflage","Aluminum","Dimension","Length:1 3/8:in;Width:1 1/4:in","Tree,Flower",,,"CHINA",,,,,,,"Laser Engraved, Unimprinted",,"","","Y","Y","3/4"" x 3/4""","",,,"Y",,"","","",,"Individual Poly Bag","","","",,"","N","",,,,,,"BLANK, 9 weeks production",,,"2500","5000",,,,,,,,,"0.20","0.19",,,,,,,,,"R","R",,,,,,,,,,"1 COLOR / LOCATION IMPRINT",,"USD",,"List","Laser Engraved, Unimprinted","IMMD:Laser Engraved, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"40.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550205412,"Aluminum Pet Tag","",,,,,"Classic military-style colorful and fun metal pet tag. Also can be used as key tag, name plate and ID tag. Ultra Durable! Just choose your anodized tag color and logo color. The dog tags on this item can be custom laser engraved to create a product to match the unique needs of your event or promotion. The perfect finishing touch to any event or project! Come with or without variety necklace to choose. Custom shape are welcomed. Oversea production.",,"http://media.asicdn.com/images/jpgb/20820000/20823653.jpg",,"Key Holders-Aluminum,PET ITEMS,Tags-Dog/Military Identification",,"Purple,Black,Blue,Green,Red,Silver,Yellow,White,Orange,Pink,Burgundy,Gold,Camouflage","Aluminum","Dimension","Length:1 1/8:in;Width:2:in","Rectangle",,,"CHINA",,,,,,,"Laser Engraved, Unimprinted",,"","","Y","Y","1 1/4"" x 3/4""","",,,"Y",,"","","",,"Individual Poly Bag","","","",,"","N","",,,,,,"BLANK, 9 weeks production",,,"2500","5000",,,,,,,,,"0.20","0.19",,,,,,,,,"R","R",,,,,,,,,,"1 COLOR / LOCATION IMPRINT",,"USD",,"List","Laser Engraved, Unimprinted","IMMD:Laser Engraved, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"40.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5807245,"Durable Stainless Steel Dog Tag","",,,,,"This durable stainless steel dog tag provides a fashionable way to promote your business at a low cost. Measuring 2"" x 1 3/8"" with a 24"" length, this tag is photo etched with soft enamel to ensure that your logo stands out with authority. Perfect for tradeshows, seminars and conferences, this customizable dog tag can be imprinted with your company name and logo to make a lasting impact among your valued customer base.",,"http://media.asicdn.com/images/jpgb/7580000/7584690.jpg",,"Tags-Dog/Military Identification",,"Silver","Stainless Steel","Dimension","Length:24:in;Width:2:in;Height:1 3/8:in","",,,"CHINA",,,,,,,"Photo Etch",,"Art Services (Custom art), Virtual Proof (Digital proof (no charge))","","","Y","","",,,"Y",,"15","","",,"Individual Poly Bag","","","",,"","N","",,,,,,"Dog Tag",,,"100","250","500","1000","2500",,,,,,"2.98","2.81","2.34","2.07","2.00",,,,,,"R","R","R","R","R",,,,,,,"4 Soft enamel colors on 1 side with PMS color matching, digital proof, individually poly bagged",,"USD",,"List","Photo Etch","IMMD:Photo Etch",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"100.00",,,,,,,,,,"Z",,,,,,,,,,"For 4 colors on 1 side, soft enamel",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5807245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art Services (Custom art), Virtual Proof (Digital proof (no charge))","ARTW:Art Services (Custom art), Virtual Proof (Digital proof (no charge))",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"37.50",,,,,,,,,,"Z",,,,,,,,,,"per 1/2 hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
