XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
551200978,"Waterproof Dust Rain Backpack Cover","",,,,,"Waterproof and dustproof, prevent your bag from rain and keep clean. Suitable for school bag, backpack, trolley bag, etc. Bring your travelling, hiking, camping and other outdoor sports more convenient and comfortable.",,,,"Covers-General",,"Red,Green,Black,Blue,Orange","Nylon","","","",,,"CHINA",,,,,,,"Silkscreen",,"","","","","assorted size","",,,"Y",,"20","Y","15:	",,"Poly Bag","600:per Carton","75 cm:in;50 cm:in;55 cm:in","42:kg",,"","N","",,,,,,"",,,"600","1200","1800","2400","3000",,,,,,"2.086","2.058","1.775","1.763","1.75",,,,,,"R","R","R","R","R",,,,,,,"1 color 1 location imprint, FOB LA",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550092740,"Pop-a-Doo Computer Dusty Brush","",,,,,"Combine cute and computers flawlessly with the charming Pop-a-Doo computer dust brush. A broad, too cute smile adds some cheer and humor to the utility of a retractable static-free dust brush. Choose from four different color configurations and add your single color imprint to the barrel opposite the smiley face. And, since playful take on tech tools stands upright, it makes an excellent desktop display that recipients will love! Invest in your brand and protect valuable electronics with this fun promo today!",,,,"BRUSHES",,"Black-Yellow,Red-Silver,Gray-White","","Dimension","Length:1.87:in;Width:4.12:in;Height:1.5:in","",,,"CHINA",,,,,,,"Pad Print, Unimprinted",,"Art Services (Free), Pre-production Proof (Revisions charged as a new proof.), Virtual Proof (No Charge), Fax/Email","Black, Brown, Burgundy, Dark Blue, Dark Green, Dark Yellow, Fire Red, Gray, light blue, Light Red, Maroon, Medium Blue, Medium Green, Medium Yellow, Metallic Gold, Orange, Pantone Green, PANTONE Yellow, Pink, Process Blue, Purple, Reflex Blue, Silver, Teal, White","Y","Y","3/4"" x 2 1/4""","",,,"Y",,"3,5","Y","1:	",,"","","",":lbs",,"","N","",,,,,,"Pop-a-Doo Computer Dusty Brush",,,"200",,,,,,,,,,"1.35",,,,,,,,,,"R",,,,,,,,,,,"1 color/1 position pad print.",,"USD",,"List","Pad Print, Unimprinted","IMMD:Pad Print, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"55.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550092740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Product Sample","SMPL:Product Sample",,"Sample Charge","Other","Optional","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"Per color/position. Plus the cost of the item and shipping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550092740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art Services (Free), Pre-production Proof (Revisions charged as a new proof.), Virtual Proof (No Charge), Fax/Email","ARTW:Art Services (Free), Pre-production Proof (Revisions charged as a new proof.), Virtual Proof (No Charge), Fax/Email",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550557486,"Leather Attache Case","",,,,,"Send them on their way with everything they need for sales pitches, presentations, boardroom appearances and more with the upscale, elegant look of this leather attache case. It's made using genuine leather and features a piano hinge closure, nickel hardware, a removable portfolio with file organization and a non-woven dust cover designed with a drawstring closure to keep out dust and dirt. Combination locks ensure that confidential documents and files are always secure. This is an excellent executive gift, employee milestone award and so much more.",,,,"ATTACHE CASES",,"Black","Leather","Dimension","Length:18:in;Width:13:in;Height:4:in","",,,"CHINA",,,,,,,"Debossed",,"Art Services (Mechanical Art), Paper Proof","","","Y","2"" x 2""","W x H/Top front center,",,,"Y",,"","","",,"","5:per Case","","39:lbs",,"","N","",,,,,,"Leather Attache Case",,,"3","25","50","100",,,,,,,"436.97","433.12","429.38","422.98",,,,,,,"R","R","R","R",,,,,,,,"one location Deboss.",,"USD",,"List","Debossed","IMMD:Debossed",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"100.00",,,,,,,,,,"Z",,,,,,,,,,"Up to 9 square inches in 1 locationYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550557486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art Services (Mechanical Art), Paper Proof","ARTW:Art Services (Mechanical Art), Paper Proof",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"60.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5015134,"Computer Duster Letter Opener","",,,,,"Brush up on brand awareness with this cool marketing tool. This computer duster letter opener cleans screens, dust keyboards and opens letters! Add your company logo and information to this product to create a fantastic office giveaway. What a unique opportunity to promote your business! Tradeshows, conferences and conventions are a few choices to distribute this gift. Be on the minds of many while they dust off their daily device!",,,,"BRUSHES,Letter Openers-Razor",,"Red,Smoke,Green,Blue Frost","","Dimension","Length:2 1/2:in;Width:2:in","",,,"CHINA",,,,,,,"Printed",,"","Black, Burgundy, Dark Green, Gray, Light Green, Metallic Gold, Metallic Silver, Navy Blue, Orange, Pink, Process Blue, Purple, Red, Reflex Blue, Royal Blue, Teal, White, Yellow","","","2"" x 3/4""","",,,"Y",,"5","Y","",,"Bulk, Polybag, Gift Box","","","30:lbs",,"/500 pieces","N","",,,,,,"Computer Duster Letter Opener",,,"100","250","500","1000","2500",,,,,,"1.20","1.15","1.10","1.05","1.00",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List","Printed","IMMD:Printed",,"Set-up Charge","Other","Required","1",,,,,,,,,,"48.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
3475267,"Personal ionic air refresher with neck cord","",,,,,"Fight back against dust and pollution with our new personal ionic air refresher with metallic silver finish.  Negative ions produced by this air cleaning machine act like magnets to eliminate pollen, dust, bacteria and other allergens from indoor air.  A bright green LED signals you that the unit's ionizer is operating!  Includes easel back for standing on countertops and a nylon cord for hanging around your neck.  Operates on two AA batteries not included.",,,,"DEODORIZERS",,"","","Dimension","Length:2 5/8:in;Width:3 1/4:in;Height:1 1/4:in","",,,"CHINA",,,,,,,"Pad Print, Unimprinted",,"","","Y","","1 1/2"" x 1""","",,,"Y",,"7","Y","",,"","","","60/ctn: 22:lbs",,"","N","",,,,,,"Personal ionic air refresher with neck cord",,,"50","100","250","500","1000",,,,,,"8.39","7.49","6.99","6.69","6.39",,,,,,"R","R","R","R","R",,,,,,,"one color one location imprint",,"USD",,"List","Pad Print, Unimprinted (Sold Unimprinted)","IMMD:Pad Print, Unimprinted (Sold Unimprinted)",,"Set-up Charge","Other","Required","1",,,,,,,,,,"40.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550263728,"Luxurious Microfiber Sunglasses Bag","",,,,,"4"" x 7"" Soft 160 gsm microfiber sunglass bag is ideal to protect and clean your glasses or sunglasses. Use the microfiber bag to hold and protect your glasses from dust and scratches and also use it to easily to remove smudges, and fingerprints without any use of chemicals. Construction of the individual fibers mean you're able to pick up and hold more dust, dirt and liquid than with traditional cotton or disposable cleaning cloths. Includes full color dye sublimation imprint on both sides.",,,,"EYEGLASS CASES & HOLDERS,EYEGLASS CLEANERS,MICROFIBER CLOTHS",,"White","Polyester","Dimension","Length:4:in;Width:7:in","",,,"CHINA",,,,,,,"Full Color",,"","","","","4"" x 7""","front",,,"Y",,"10,12","","",,"Poly Bag","100:per Case","","2:lbs",,"Free shipping to 1 location within 48 states","N","",,,,,,"Luxurious Microfiber Sunglasses Bag - 4x7 inch",,,"250","500","1000","2500","5000",,,,,,"2.88","2.56","2.35","2.10","1.99",,,,,,"R","R","R","R","R",,,,,,,"Free setup, Free full color imrpint, Free virtual proof, Free shipping to 1 location within 48 state",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550263293,"Deluxe Microfiber Sunglasses Bag","",,,,,"4"" x 7"" Soft 170 gsm microfiber sunglass bag is ideal to protect and clean your glasses or sunglasses. Use the microfiber bag to hold and protect your glasses from dust and scratches and also use it to easily to remove smudges, and fingerprints without any use of chemicals. Construction of the individual fibers mean you're able to pick up and hold more dust, dirt and liquid than with traditional cotton or disposable cleaning cloths. Includes full color dye sublimation imprint on both sides.",,,,"EYEGLASS CASES & HOLDERS,EYEGLASS CLEANERS,MICROFIBER CLOTHS",,"White","Polyester","Dimension","Length:4:in;Width:7:in","",,,"CHINA",,,,,,,"Full Color",,"","","","","4"" x 7""","front",,,"Y",,"10,12","","",,"Poly Bag","100:per Case","","2:lbs",,"Free shipping to 1 location within 48 states","N","",,,,,,"Deluxe Microfiber Sunglasses Bag - 4x7 inch",,,"250","500","1000","2500","5000",,,,,,"2.45","2.24","2.07","1.87","1.74",,,,,,"R","R","R","R","R",,,,,,,"Free setup, Free full color imrpint, Free virtual proof, Free shipping to 1 location within 48 state",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
