XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
7128640,"Red Sequin Cowboy Hat","",,,,,"Blank. Red sequin cowboy hat with red LED brim. Unleash the cowboy or girl within without losing your flair. Light up the rodeo with the red sequin cowboy hat with red LED brim. The black sequin cowboy hat with white LED brim will boot scoot boogie into the night! So if you like, you love it, and you want some more if it, don't hesitate to own the Red Cowboy sequin hat with red LED brim now.",,"http://media.asicdn.com/images/jpgb/7680000/7689789.jpg",,"Caps & Hats-Western,COSTUMES & ACCESSORIES",,"Red","","Dimension","Length:15:in;Width:9.5:in;Height:5:in","",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","Y","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"Red Sequin Cowboy Hat",,,"12","48","96","240",,,,,,,"6.88","6.73","6.58","6.43",,,,,,,"R","R","R","R",,,,,,,,"blank product.",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7128637,"Black Sequin Cowboy Hat","",,,,,"Blank. Black sequin cowboy hat with white LED brim. Unleash the cowboy or girl within without losing your flair. Light up the rodeo with the black sequin cowboy hat with white LED brim. The black sequin cowboy hat with white LED brim will boot scoot boogie into the night! So if you like, you love it, and you want some more if it, don't hesitate to own the Black Cowboy sequin hat with white LED brim now.",,"http://media.asicdn.com/images/jpgb/21420000/21421800.jpg",,"Caps & Hats-Western,COSTUMES & ACCESSORIES",,"Black","","Dimension","Length:15:in;Width:9.5:in;Height:5:in","",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","Y","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"Black Sequin Cowboy Hat",,,"12","48","96","240",,,,,,,"6.88","6.73","6.58","6.43",,,,,,,"R","R","R","R",,,,,,,,"blank product.",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550219137,"PREORDER NOW! LED Blue Fedora Animal Print Party Hats","",,,,,"LED Blue Fedora Animal Print Party Hats are hot, hot, hot! Wear this super stylish light up fedora to any event, from New Years to Halloween, during Pride, to the nightclub, zoo, bar, anywhere where you can really show off! To activate the LEDs press the button located on the battery pack inside the light up fedora. Set the hat on a random light flash, blink or steady light. Blue Fedora Animal Print Party Hats come with an awesome black and blue leopard pattern all over.",,"http://media.asicdn.com/images/jpgb/20860000/20866479.jpg",,"CAP & HAT ACCESSORIES,Caps & Hats-Fedora,Caps & Hats-General,LED PRODUCTS",,"Blue","","","","",,,"CHINA",,,,,,,"",,"","","","Y","","",,,"Y",,"","","",,"Bulk, Case","24:per Case","21:in;12:in;15:in","24:lbs",,"","N","",,,,,,"LED Blue Fedora Animal Print Party Hats - Blank",,,"12","48","96","240",,,,,,,"8.98","8.68","8.38","8.08",,,,,,,"R","R","R","R",,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7128639,"Blue Sequin Cowboy Hat","",,,,,"Blank. Blue sequin cowboy hat with blue LED brim. Unleash the cowboy or girl within without losing your flair. Light up the rodeo with the blue sequin cowboy hat with blue LED brim. The blue sequin cowboy hat with blue LED brim will boot scoot boogie into the night! So if you like, you love it, and you want some more if it, don't hesitate to own the Blue Cowboy sequin hat with blue LED brim now.",,"http://media.asicdn.com/images/jpgb/7680000/7689788.jpg",,"Caps & Hats-Western,COSTUMES & ACCESSORIES",,"Blue","","Dimension","Length:15:in;Width:9.5:in;Height:5:in","",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","Y","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"Blue Sequin Cowboy Hat",,,"12","48","96","240",,,,,,,"6.88","6.73","6.58","6.43",,,,,,,"R","R","R","R",,,,,,,,"blank product.",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4792342,"Custom Hat Clip - Iron, Double Layers","",,,,,"Get your brand name to stick with this iron hat clip with magnet! Featuring a double layer, this item measures up to 1 3/4"" in length and 1 1/2"" in width. A great golf tournament giveaway, die struck imprinting is offered for your to customize this clip with your company logo or design. Our production and rush time is business days and includes shipping time and customs clearance time. Use this custom hat clip for charities, fundraising events, pro shops and more!",,"http://media.asicdn.com/images/jpgb/5470000/5472140.jpg",,"CAP & HAT ACCESSORIES",,"Multi color","Iron","","","",,,"CHINA",,,,,,,"Die Struck",,"","","","Y","","",,,"Y",,"15","","",,"Individual Poly Bag","","","",,"","N","",,,,,,"Custom Hat Clip - Iron, Double Layers",,,"100","300","500","1000","3000","5000",,,,,"3.76","2.98","2.33","2.20","2.02","1.92",,,,,"R","R","R","R","R","R",,,,,,"N/A",,"USD",,"List","Die Struck","IMMD:Die Struck",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"150.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4577236,"Custom Hat Clip - Iron, Single Layer","",,,,,"Your brand is bound to get noticed on this iron hat clip (without magnet). Featuring a single layer, this item measures up to 1 3/4"" in length and 1 1/2"" in width. A great golf tournament giveaway, die struck imprinting is offered for your to customize this clip with your company logo or design. Our production and rush time is business days and includes shipping time and customs clearance time. Use this custom hat clip for charities, fundraising events, pro shops and more!",,"http://media.asicdn.com/images/jpgb/4990000/4995102.jpg",,"CAP & HAT ACCESSORIES",,"Multi color","Iron","","","",,,"CHINA",,,,,,,"Die Struck",,"","","","Y","","",,,"Y",,"15","","",,"Individual Poly Bag","","","",,"","N","",,,,,,"Custom Hat Clip - Iron, Single Layer",,,"100","300","500","1000","3000","5000",,,,,"2.98","2.16","1.65","1.55","1.38","1.28",,,,,"R","R","R","R","R","R",,,,,,"4 Colors.",,"USD",,"List","Die Struck","IMMD:Die Struck",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"150.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550255483,"Green Sequin Cowboy Hat with Jade LED Brim","",,,,,"Green Sequin Cowboy Hat with Jade LED Brim. Unleash the cowboy or girl within without losing your flair. Light up the rodeo with the Green Sequin Cowboy Hat with Jade LED Brim. The Green Sequin Cowboy Hat with Jade LED Brim will boot scoot boogie.",,"http://media.asicdn.com/images/jpgb/20970000/20976566.jpg",,"Caps & Hats-Western,COSTUMES & ACCESSORIES",,"Green","","Dimension","Length:15:in;Width:9.5:in;Height:5:in","",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","Y","","",,,"Y",,"","","",,"Bulk, Case","12:per Case","16:in;12:in;12:in","12:lbs",,"","N","",,,,,,"Blue Sequin Cowboy Hat",,,"12","48","96","240","480",,,,,,"6.89","6.74","6.59","6.44","6.29",,,,,,"R","R","R","R","R",,,,,,,"blank product.",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4792378,"Custom Hat Clip - Brass, Double Layers","",,,,,"This brass hat clip makes a great golf tournament giveaway! Featuring a double layer, this item measures up to 1 3/4"" in length and 1 1/2"" in width. Die struck imprinting is offered for your to customize this one of a kind clip with your company logo or design. Our production and rush time is business days and includes shipping time and customs clearance time. Use this custom hat clip for charities, fundraising events, pro shops and more!",,"http://media.asicdn.com/images/jpgb/5470000/5472141.jpg",,"CAP & HAT ACCESSORIES",,"Multi color","Brass","","","",,,"CHINA",,,,,,,"Die Struck",,"","","","Y","","",,,"Y",,"15","","",,"Individual Poly Bag","","","",,"","N","",,,,,,"Custom Hat Clip - Brass, Double Layers",,,"100","300","500","1000","3000","5000",,,,,"4.20","3.38","2.67","2.52","2.32","2.22",,,,,"R","R","R","R","R","R",,,,,,"4 Colors.",,"USD",,"List","Die Struck","IMMD:Die Struck",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"150.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550304680,"Green Sequin Cowboy Hat with Jade LED Brim - 15 Day","",,,,,"Green Sequin Cowboy Hat with Jade LED Brim. Unleash the cowboy or girl within without losing your flair. Light up the rodeo with the Green Sequin Cowboy Hat with Jade LED Brim. The Green Sequin Cowboy Hat with Jade LED Brim will boot scoot boogie.",,"http://media.asicdn.com/images/jpgb/21120000/21129525.jpg",,"Caps & Hats-Western,COSTUMES & ACCESSORIES",,"Green","","Dimension","Length:15:in;Width:9.5:in;Height:5:in","",,,"CHINA",,,,,,,"Pad Print, Unimprinted",,"","","Y","Y","3"" x 0.6""","",,,"Y",,"15","","",,"Bulk, Case","12:per Case","16:in;12:in;12:in","12:lbs",,"","N","",,,,,,"Blue Sequin Cowboy Hat",,,"240","480","960",,,,,,,,"7.57","7.32","7.07",,,,,,,,"R","R","R",,,,,,,,,"blank product.",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550237523,"Light Up Mardi Gras King Crown Hat","",,,,,"Light Up Mardi Gras King Crown Hat will make you the King of Bourbon Street, even if you are nowhere near New Orleans. Have a royally great time at your next party with these soft, plushy crowns. Perfect for Mardi Gras celebrations and more!To activate your Mardi Gras Crown, press the small grey button the side of the hat and activate one of THREE functions: Fast Flash, Slow Flash, Steady Light.",,"http://media.asicdn.com/images/jpgb/20920000/20923591.jpg",,"CAP & HAT ACCESSORIES,TIARAS & CROWNS",,"Purple,Gold,Green","","","","",,,"CHINA",,,,,,,"",,"","","","Y","","",,,"Y",,"","","",,"Case, Bulk","24:per Case","20:in;12:in;15:in","17:lbs",,"","N","",,,,,,"Light Up Mardi Gras King Crown Hat",,,"12","48","96","240",,,,,,,"7.79","7.64","7.50","7.49",,,,,,,"R","R","R","R",,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
