XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
200003896,"4.5 Inch Mova Globe Silver/Navy Metallic","",,,,,"The MOVA globe quietly comes to life when touched by light, without wires or batteries. The globe floats at a point of perfect balance between buoyant forces and gravitational forces, and slowly turns as it feels the force of the earth magnetic field and energy carried in light. Its perpetual, quiet motion brings a tranquil point of focus to a room.",,"http://media.asicdn.com/images/jpgb/5630000/5634750.jpg",,"ENVIRONMENTALLY FRIENDLY PRODUCTS,Globes-Authentic,Globes-Decorative",,"Silver-Navy","","","","",,,"CHINA",,,,,,,"Laser Engraving, Pad Print",,"","","","Y","1"" x 5/8""","",,,"Y",,"10","Y","",,"Color Tuck Box","","","Standard Pack: 25:lbs",,"/ 8pcs","N","",,,,,,"4.5 Inch Mova Globe Silver/Navy Metallic",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"one color imprint.",,"USD",,"List","Pad Print, Laser Engraving","IMMD:Pad Print, Laser Engraving",,"Imprint Method Charge","Other","Required","100",,,,,,,,,,"0.44",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
200340155,"Lens Kit","",,,,,"Add a special touch to your promotions with this Lens kit for your mobile phone. The kit includes 3 different photo lenses that clip to your mobile phone or tablet to enhance and create special visual effects in your photos. Wide Angle lens: provides a larger field of view when you cannot move farther away from the scene to photograph it. Macro lens: provides 10X magnification for photographing small objects at close distances.",,"http://media.asicdn.com/images/jpgb/7910000/7918282.jpg",,"Kits-General,Mobile Accessories-General,PHONE ACCESSORIES",,"Black","Plastic","","","",,,"CHINA",,,,,,,"pad print",,"","","","Y","2 3/8"" x 19/32""","",,,"Y",,"15","","",,"Black Case with EVA foam","","","",,"15Lbs / 100pcs","N","",,,,,,"Lens Kit",,,"100","300","500",,,,,,,,"23.28","22.72","21.95",,,,,,,,"R","R","R",,,,,,,,,"N/A",,"USD",,"List","pad print","IMMD:pad print",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"43.75",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
200202181,"Safety Light","",,,,,"These red bicycle LED lights have the best imprinting area for your logo! It is the perfect promotional item for industries with recreational and outdoor activities. This gadget comes with a clip that can go on a runner shirt and a velcro strap for his wrist. Add the rubber strap to the clip to wrap the light around the bar or post of a bicycle!",,"http://media.asicdn.com/images/jpgb/6750000/6754060.jpg",,"BICYCLE ACCESSORIES,ENVIRONMENTALLY FRIENDLY PRODUCTS,LED PRODUCTS,Lights-General,Sports Equipment & Access.-General,USB/FLASH DRIVES",,"Clear","Plastic","","","",,,"CHINA",,,,,,,"Pad Print",,"","","","Y","1 9/16"" x 21/32""","",,,"Y",,"25","","",,"White Tuck Box","","","",,"13Lbs / 62pcs","N","",,,,,,"Safety Light",,,"500",,,,,,,,,,"6.72",,,,,,,,,,"R",,,,,,,,,,,"One Color Imprint",,"USD",,"List","Pad Print","IMMD:Pad Print",,"Set-up Charge","Per Order","Required","",,,,,,,,,,"QUR",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4918612,"Leather USB Drive 200","",,,,,"This sleek and slender drive features an unusual sliding closure, the cap is removable, and secures to the drive much like a belt. It maintains a futuristic yet rugged appeal.",,"http://media.asicdn.com/images/jpgb/5530000/5534545.jpg",,"COMPUTER ACCESSORIES,USB/FLASH DRIVES",,"Black,Brown","Leather","","","",,,"CHINA",,,,,,,"Deboss, laser engraving, pad print",,"","","","Y","1 1/4"" x 7/16"", 1 3/8"" x 7/16""","",,,"Y",,"10","","",,"Bulk","","","Bulk: 10:lbs",,"/ 100pcs","N","",,,,,,"256MB",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"one color imprint.",,"USD",,"List","pad print, laser engraving, Deboss","IMMD:pad print, laser engraving, Deboss",,"Imprint Method Charge","Other","Required","100",,,,,,,,,,"0.44",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
200131806,"4.5 Inch Mova Globe Natural Earth","",,,,,"The MOVA globe quietly comes to life when touched by light, without wires or batteries. The globe floats at a point of perfect balance between buoyant forces and gravitational forces, and slowly turns as it feels the force of the earth magnetic field and energy carried in light. Its perpetual, quiet motion brings a tranquil point of focus to a room.",,"http://media.asicdn.com/images/jpgb/6150000/6151056.jpg",,"ENVIRONMENTALLY FRIENDLY PRODUCTS,Globes-Decorative",,"Multi","","","","",,,"CHINA",,,,,,,"Laser Engraving, Pad Print",,"","","","Y","1"" x 5/8""","",,,"Y",,"7","","",,"Color Tuck Box","","","Standard Pack: 25:lbs",,"/ 8pcs","N","",,,,,,"4.5 Inch Mova Globe Natural Earth",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List","Pad Print, Laser Engraving","IMMD:Pad Print, Laser Engraving",,"Imprint Method Charge","Other","Required","100",,,,,,,,,,"0.44",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6194455,"Golf Combo Packs in Resealable Bags","",,,,,"Choose a ""Bag Full of Tees"" with markers and/or fixer with low minimum quantities. Included are 20 tees and 2 quarter-size golf ball markers.",,"http://media.asicdn.com/images/jpgb/6770000/6779983.jpg",,"Golf Accessories-Ball Markers,GOLF TEES",,"White,Red,Natural,Yellow,Citrus Green,Orange,Black,Citrus Orange,Citrus Pink,Mallard,Pink,Silver,Neon Green,Purple,Neon Orange,Fushsia Red,gold","","","","",,,"CHINA",,,,,,,"Printed, Unimprinted",,"","Black, Burgundy, Dark Blue, Dark Green, Light Green, Orange, Pink, Process Blue, Purple, Red, ROYAL BLUE, Silver, Teal, White, Yellow","Y","Y","1/2"" x 1 3/4"", 3/4""","",,,"Y",,"","Y","",,"Poly Bags","","","7:lbs",,"/per 100","N","",,,,,,"Golf Combo Packs in Resealable Bags",,,"100","250","500","1000",,,,,,,"3.60","3.30","3.10","3.00",,,,,,,"R","R","R","R",,,,,,,,"one color imprint on all item in poly bag",,"USD",,"List","Printed, Unimprinted (Sold Unimprinted)","IMMD:Printed, Unimprinted (Sold Unimprinted)",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"30.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6628014,"32MB Stick USB Flash Drive","",,,,,"32MB aluminum stick drive 2.0 USB flash drive with plastic trim. Pricing includes up to 4 PMS Spot Colors on 2 sides OR Laser Engraving, FREE Set Up, NO Run Charge, FREE PMS Match, FREE Virtual Proof, FREE White Gift Box. All memory sizes available: 32MB, 64MB, 128MB, 256MB, 512MB, 1GB, 2GB, 4GB, 8GB, 16GB. High Speed USB 2.0. PC/Mac/Linux Compatible. RoHS Compliant, FCC, CE, ISO Certified. Updated & Confirmed Pricing Tuesday-Friday. 5 Star ASI Supplier!",,"http://media.asicdn.com/images/jpgb/20470000/20475277.jpg",,"COMPUTER ACCESSORIES,USB/FLASH DRIVES",,"Black,Blue,Red,Green,Yellow,All s","ABS,Aluminum","","","",,,"CHINA",,,,,,,"Debossed, Full Color, Laser Engraved, Silkscreen",,"","","","","","",,,"Y",,"10","Y","7:	",,"","","","",,"","N","",,,,,,"32MB Stick USB Flash Drive",,,"100","250","500","1000","2500","5000","10000","50000",,,"3.20","3.00","2.71","2.50","2.41","2.33","2.30","2.09",,,"R","R","R","R","R","R","R","R",,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6510290,"8GB Stick USB Flash Drive","",,,,,"8GB USB flash drive made from aluminum & ABS plastic. Pricing includes up to 4 PMS Spot Colors on 2 sides OR Laser Engraving, FREE Set Up, NO Run Charge, FREE PMS Match, FREE Virtual Proof, FREE White Gift Box. All memory sizes available: 32MB, 64MB, 128MB, 256MB, 512MB, 1GB, 2GB, 4GB, 8GB, 16GB. High Speed USB 2.0. PC/Mac/Linux Compatible. RoHS Compliant, FCC, CE, ISO Certified. Updated & Confirmed Pricing Tuesday-Friday. 5 Star ASI Supplier!",,"http://media.asicdn.com/images/jpgb/20470000/20475710.jpg",,"COMPUTER ACCESSORIES,USB/FLASH DRIVES",,"Black,All s,Red,Blue,Green,Yellow,Silver","ABS,Aluminum","","","",,,"CHINA",,,,,,,"Debossed, Full Color, Laser Engraved, Silkscreen",,"","","","","","",,,"Y",,"10","Y","7:	",,"","","","",,"","N","",,,,,,"8GB Stick USB Flash Drive",,,"100","250","500","1000","2500","5000","10000","50000",,,"6.98","6.95","6.75","6.48","6.48","6.45","6.42","6.35",,,"R","R","R","R","R","R","R","R",,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6510296,"256MB Stick USB Flash Drive","",,,,,"256MB USB flash drive made from aluminum & ABS plastic. Pricing includes up to 4 PMS Spot Colors on 2 sides OR Laser Engraving, FREE Set Up, NO Run Charge, FREE PMS Match, FREE Virtual Proof, FREE White Gift Box. All memory sizes available: 32MB, 64MB, 128MB, 256MB, 512MB, 1GB, 2GB, 4GB, 8GB, 16GB. High Speed USB 2.0. PC/Mac/Linux Compatible. RoHS Compliant, FCC, CE, ISO Certified. Updated & Confirmed Pricing Tuesday-Friday. 5 Star ASI Supplier!",,"http://media.asicdn.com/images/jpgb/20470000/20475705.jpg",,"COMPUTER ACCESSORIES,USB/FLASH DRIVES",,"Black,All s,Red,Blue,Green,Yellow,Silver","ABS,Aluminum","","","",,,"CHINA",,,,,,,"Debossed, Full Color, Laser Engraved, Silkscreen",,"","","","","","",,,"Y",,"10","Y","7:	",,"","","","",,"","N","",,,,,,"256MB Stick USB Flash Drive",,,"100","250","500","1000","2500","5000","10000","50000",,,"3.87","3.66","3.43","3.22","3.12","3.04","2.99","2.79",,,"R","R","R","R","R","R","R","R",,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6510398,"4GB Swivel USB Flash Drive","",,,,,"4GB USB flash drive (swivel drive). Pricing includes up to 4 PMS Spot Colors on 2 sides OR Laser Engraving, FREE Set Up, NO Run Charge, FREE PMS Match, FREE Virtual Proof, FREE White Gift Box. All memory sizes available: 32MB, 64MB, 128MB, 256MB, 512MB, 1GB, 2GB, 4GB, 8GB, 16GB. High Speed USB 2.0. PC/Mac/Linux Compatible. RoHS Compliant, FCC, CE, ISO Certified. Updated & Confirmed Pricing Tuesday-Friday. 5 Star ASI Supplier!",,"http://media.asicdn.com/images/jpgb/20470000/20474969.jpg",,"COMPUTER ACCESSORIES,USB/FLASH DRIVES",,"Red,Black,All s,Blue","ABS,Aluminum","","","",,,"CHINA",,,,,,,"Debossed, Full Color, Laser Engraved, Silkscreen",,"","","","","","",,,"Y",,"10","Y","7:	",,"","","","",,"","N","",,,,,,"4GB Swivel USB Flash Drive",,,"100","250","500","1000","2500","5000","10000","50000",,,"6.38","6.32","6.17","5.90","5.90","5.87","5.83","5.77",,,"R","R","R","R","R","R","R","R",,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
