XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
5829203,"Small Hit Sports Pack","",,,,,"Whether you're outfitting an athletic team with something that's perfect for any away game or you want to offer corporate employees something that's perfect for a trip to the gym and beyond, this Small Hit Sports Pack is here for you. This 14"" x 18"" pack is made using 210 denier polyester materials and is available in a wide variety of color options to suit your corporate aesthetic, team colors and more. Add an imprint of your team's mascot, corporate logo or other advertising message and get started with your promotional effort today!",,"http://media.asicdn.com/images/jpgb/6460000/6461544.jpg",,"BACKPACKS,Bags-Drawstring",,"Black, Blue, Forest Green, Lime Green, Orange, Pink, Purple, Red, Yellow, camo","Polyester","Dimension","Length:14:in;Width:18:in","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"","","Y","","9.5"" x 8""","",,,"Y",,"10","Y","",,"Packed 100 per box","","","",,"","N","",,,,,,"10 day production time",,,"100","250","500","1000","2500",,,,,,"2.52","2.19","2.04","1.82","1.60",,,,,,"R","R","R","R","R",,,,,,,"one color imprint only.",,"USD",,"List","Silkscreen, Unimprinted (Sold Unimprinted)","IMMD:Silkscreen, Unimprinted (Sold Unimprinted)",,"Imprint Method Charge","Per Order","Required","1",,,,,,,,,,"49.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4888321,"Hit-Dry Cap","",,,,,"The Hit-Dry cap is sure to be a perfect fit for your next marketing campaign! Ideal for your active clientele, this high-performance hat is made of 100% lightweight polyester and has six panels, a low profile, an unstructured crown and a pre-curved visor. There's no top button and it also features four jersey mesh vents for breathability, a sweatband made of woven water-repellant polyester and a Velcro (R) closure with a clear PVC pull tag for easy adjusting. It is available in several colors and can be customized with a brand imprint of your choosing.",,"http://media.asicdn.com/images/jpgb/24980000/24988649.jpg",,"Baseball Caps-Six Panel,PERFORMANCE APPAREL",,"Black,BLACK WITH RED,BLUE WITH BLACK,GRAY WITH BLACK,NAVY WITH GREY,WHITE WITH BLUE","Polyester","","","",,,"CHINA",,,,,,,"Embroidered, Unimprinted",,"Art Services (Art Charges will be assessed according to time, difficulty and amount of materials used. NOTE: All artwork received will be maxed out to our imprint area unless otherwise specified on your artwork and P.O.), Paper Proof (Paper Proofs will be Faxed unless otherwise noted on purchase order. Production begins after receipt of written proof approval.), Virtual Proof, Electronic proof (Electronic Proof)","Army Green, Athletic Gold, Baby Blue, Black, Blue Ink, Brick Red, Bright Green, Bright Turquoise, Bright Yellow/Process Yellow, Cardinal/Maroon/Burgundy, Charcoal, Colonial Blue, Colonial Green, Cool Gray, Copper, Country blue, Cucumber, Dark Brown, Dark Charcoal, Dark Coral, Dark Fuchsia, Dark Gray, Dark Green/Hunter, Dark Kelly Green, Dark khaki, Dark Navy, Dark Purple, Dark Rose, Dark Rust, Dark Straw, Dark Teal, Dark Teal Green, Deep Gold, Deep Pink, Dusty Blue, Electric Blue, Faux Gold, Fluorescent Green, Fluorescent Orange, Fluorescent Yellow, Golden Khaki/Light Straw, Goldenrod Yellow Gold, Grape, Grass Green, Green, Hot Pink, Karat Gold, Kelly Green, Khaki/Tan, Lavender, Light Amber Flesh, Light Blue/Carolina, Light Brown, Light Coral, Light Gray, Light Green, Light kelly Green, Light Khaki/Stone/Cream, Light Pink, Light Purple, Light Rust, Light Teal Green, Light Turquoise, Lime Green, medium blue, Melon Green, Metallic Gold, Metallic Silver, Midnight Navy, Military Green, Mint Green, Moss Green, Nascar Red, Natural, Navy Blue, Nile Green, Off White, Old Gold, Olive Green, Orange, Organic Brown, Pale Blue, Pale Gold, Pale Olive, Pale Purple, Pale Yellow, Pantone Violet, Pink, Process Blue, Pumpkin, Red, Reddish Brown, Reflex Blue, Royal Blue, Rubine Red, Rust, Shell Pink, Sienna, Silver, Silver/Gray, Sky Blue, Spring Green, Sunset Orange, Sunshine Gold, Surf Blue, Teal, Teal/Blue, Tropic Blue, Turquoise, Vegas Gold, Veggie Green, Very Dark Brown, Very Dark Green, Warm Red, White, Woodland, Xmas Red, Yellow/Green","Y","Y","4 1/2"" x 2 1/8""","",,,"Y",,"3,10","Y","",,"Bulk, Special  - When special packaging is specified, an additional charge will be levied.  Please identify your customs brokers.","48:per Box","19.00:in;15.00:in;12.00:in","9:lbs",,"","N","",,,,,,"Embroidered",,,"48","96","144","288","576","1008",,,,,"13.58","11.81","10.27","8.93","7.76","6.75",,,,,"R","R","R","R","R","R",,,,,,"N/A",,"USD",,"List","Embroidered, Unimprinted","IMMD:Embroidered, Unimprinted",,"Imprint Method Charge","Per Order","Required","1",,,,,,,,,,"100.00",,,,,,,,,,"Z",,,,,,,,,,"Per Color, Per PieceYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4915279,"Hit-Dry Cap","",,,,,"Your customers will be able to head out in style with help from the Hit-Dry cap. Perfect for your active clientele, this high-performance hat is made of 100% polyester and features six panels, a medium profile, an unstructured crown and a pre-curved visor. It also has a sweatband made of woven water-repellant polyester and a Velcro (R) closure with a clear PVC pull tag for easy adjusting. It is available in several colors and can be customized with a brand imprint to maximize corporate visibility.",,"http://media.asicdn.com/images/jpgb/24100000/24108512.jpg",,"Baseball Caps-Six Panel,PERFORMANCE APPAREL",,"Black,Navy Blue,Royal Blue,White","Polyester","","","",,,"CHINA",,,,,,,"Embroidered, Unimprinted",,"Art Services (Art Charges will be assessed according to time, difficulty and amount of materials used. NOTE: All artwork received will be maxed out to our imprint area unless otherwise specified on your artwork and P.O.), Paper Proof (Paper Proofs will be Faxed unless otherwise noted on purchase order. Production begins after receipt of written proof approval.), Virtual Proof, Electronic proof (Electronic Proof)","Army Green, Athletic Gold, Baby Blue, Black, Blue Ink, Brick Red, Bright Green, Bright Turquoise, Bright Yellow/Process Yellow, Cardinal/Maroon/Burgundy, Charcoal, Colonial Blue, Colonial Green, Cool Gray, Copper, Country blue, Cucumber, Dark Brown, Dark Charcoal, Dark Coral, Dark Fuchsia, Dark Gray, Dark Green/Hunter, Dark Kelly Green, Dark khaki, Dark Navy, Dark Purple, Dark Rose, Dark Rust, Dark Straw, Dark Teal, Dark Teal Green, Deep Gold, Deep Pink, Dusty Blue, Electric Blue, Faux Gold, Fluorescent Green, Fluorescent Orange, Fluorescent Yellow, Golden Khaki/Light Straw, Goldenrod Yellow Gold, Grape, Grass Green, Green, Hot Pink, Karat Gold, Kelly Green, Khaki/Tan, Lavender, Light Amber Flesh, Light Blue/Carolina, Light Brown, Light Coral, Light Gray, Light Green, Light kelly Green, Light Khaki/Stone/Cream, Light Pink, Light Purple, Light Rust, Light Teal Green, Light Turquoise, Lime Green, medium blue, Melon Green, Metallic Gold, Metallic Silver, Midnight Navy, Military Green, Mint Green, Moss Green, Nascar Red, Natural, Navy Blue, Nile Green, Off White, Old Gold, Olive Green, Orange, Organic Brown, Pale Blue, Pale Gold, Pale Olive, Pale Purple, Pale Yellow, Pantone Violet, Pink, Process Blue, Pumpkin, Red, Reddish Brown, Reflex Blue, Royal Blue, Rubine Red, Rust, Shell Pink, Sienna, Silver, Silver/Gray, Sky Blue, Spring Green, Sunset Orange, Sunshine Gold, Surf Blue, Teal, Teal/Blue, Tropic Blue, Turquoise, Vegas Gold, Veggie Green, Very Dark Brown, Very Dark Green, Warm Red, White, Woodland, Xmas Red, Yellow/Green","Y","Y","4 1/2"" x 2 1/8""","",,,"Y",,"3,10","Y","",,"Bulk, Special  - When special packaging is specified, an additional charge will be levied.  Please identify your customs brokers.","48:per Box","19.00:in;15.00:in;12.00:in","9:lbs",,"","N","",,,,,,"Embroidered",,,"48","96","144","288","576","1008",,,,,"15.07","13.10","11.39","9.91","8.61","7.49",,,,,"R","R","R","R","R","R",,,,,,"N/A",,"USD",,"List","Embroidered, Unimprinted","IMMD:Embroidered, Unimprinted",,"Imprint Method Charge","Per Order","Required","1",,,,,,,,,,"100.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4888314,"Hit-Dry Mesh Back Visor","",,,,,"Don't keep your company under wraps! Advertise on the Hit-Dry Mesh Back Visor for maximum exposure! The hat is made of a 60% cotton, 40% polyester blend and features a pre-curved visor, mesh sides and a Velcro (R) closure with elastic pull tag for easy adjusting. The sweatband on this promotional wearable is made from woven water repellent polyester. It is sold as an unimprinted product or you can customize it for your company using embroidery. Air out your brand to gain a few new customers!",,"http://media.asicdn.com/images/jpgb/24050000/24056975.jpg",,"PERFORMANCE APPAREL,Sun Visors-Head",,"Black,Navy Blue,White","Blend: Cotton/Polyester (60/40)","","","",,,"CHINA",,,,,,,"Embroidered, Unimprinted",,"Paper Proof (Paper Proofs will be Faxed unless otherwise noted on purchase order. Production begins after receipt of written proof approval.), Virtual Proof, Art Services (Art Charges will be assessed according to time, difficulty and amount of materials used. NOTE: All artwork received will be maxed out to our imprint area unless otherwise specified on your artwork and P.O.), Electronic proof (Electronic Proof)","Army Green, Athletic Gold, Baby Blue, Black, Blue Ink, Brick Red, Bright Green, Bright Turquoise, Bright Yellow/Process Yellow, Cardinal/Maroon/Burgundy, Charcoal, Colonial Blue, Colonial Green, Cool Gray, Copper, Country blue, Cucumber, Dark Brown, Dark Charcoal, Dark Coral, Dark Fuchsia, Dark Gray, Dark Green/Hunter, Dark Kelly Green, Dark khaki, Dark Navy, Dark Purple, Dark Rose, Dark Rust, Dark Straw, Dark Teal, Dark Teal Green, Deep Gold, Deep Pink, Dusty Blue, Electric Blue, Faux Gold, Fluorescent Green, Fluorescent Orange, Fluorescent Yellow, Golden Khaki/Light Straw, Goldenrod Yellow Gold, Grape, Grass Green, Green, Hot Pink, Karat Gold, Kelly Green, Khaki/Tan, Lavender, Light Amber Flesh, Light Blue/Carolina, Light Brown, Light Coral, Light Gray, Light Green, Light kelly Green, Light Khaki/Stone/Cream, Light Pink, Light Purple, Light Rust, Light Teal Green, Light Turquoise, Lime Green, medium blue, Melon Green, Metallic Gold, Metallic Silver, Midnight Navy, Military Green, Mint Green, Moss Green, Nascar Red, Natural, Navy Blue, Nile Green, Off White, Old Gold, Olive Green, Orange, Organic Brown, Pale Blue, Pale Gold, Pale Olive, Pale Purple, Pale Yellow, Pantone Violet, Pink, Process Blue, Pumpkin, Red, Reddish Brown, Reflex Blue, Royal Blue, Rubine Red, Rust, Shell Pink, Sienna, Silver, Silver/Gray, Sky Blue, Spring Green, Sunset Orange, Sunshine Gold, Surf Blue, Teal, Teal/Blue, Tropic Blue, Turquoise, Vegas Gold, Veggie Green, Very Dark Brown, Very Dark Green, Warm Red, White, Woodland, Xmas Red, Yellow/Green","Y","Y","4 1/2"" x 1 3/8""","",,,"Y",,"3,10","Y","",,"Bulk, Special  - When special packaging is specified, an additional charge will be levied.  Please identify your customs brokers. (","48:per Box","19.00:in;15.00:in;12.00:in","10:lbs",,"","N","",,,,,,"Embroidered",,,"48","96","144","288","576","1008",,,,,"11.85","10.30","8.96","7.79","6.77","5.89",,,,,"R","R","R","R","R","R",,,,,,"N/A",,"USD",,"List","Embroidered, Unimprinted","IMMD:Embroidered, Unimprinted",,"Imprint Method Charge","Per Order","Required","1",,,,,,,,,,"100.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4924169,"Hit Sports Pack With Front Zipper","",,,,,"For a giveaway that's sure to be a hit with your clients, this hit sports pack will do the trick! Measuring 13 1/2"" x 18"" and available in several colors, this versatile bag is made of 210-denier polyester and features a drawstring closure, a large front zippered pocket, reinforced eyelets and a built-in slot for earbuds. Spot clean/air dry. Rush service is available at standard pricing. Customize with an imprint of your company name and logo to create a gift or incentive that will increase your brand's exposure.",,"http://media.asicdn.com/images/jpgb/24990000/24990526.jpg",,"BACKPACKS,Bags-Drawstring",,"Athletic Gold,BLACK,Light Blue,FOREST GREEN,LIME,Maroon,NAVY BLUE,Orange,Pink,Purple,RED,Royal Blue","Polyester","Dimension","Length:13 1/2:in;Width:18:in","",,,"CHINA",,,,,,,"SILKSCREEN, UNIMPRINTED",,"Art Services (Art Charges will be assessed according to time,difficulty and amount of materials used. NOTE: All artwork received will be maxed out to our imprint area unless otherwise specified on your artwork and P.O.), Paper Proof (Paper Proofs will be Faxed unless otherwise noted on purchase order. Production begins after receipt of written proof approval. NO CREDIT WILL BE ISSUED FOR ANY ART ERRORS AFTER APPROVAL.), Virtual Proof, Product Proof (Product proof), Electronic Proofs - Electronic Proofs will be Emailed unless otherwise noted on purchase order. Production begins after receipt of written proof approval.","Athletic Gold, Black, Brown, Burgundy, Forest Green, Gold, Gray, Kelly Green, Light Blue, Lime Green, Maroon, Navy Blue, Orange, Pink, Process Blue, Purple, Red, Royal Blue, Silver, Tan, Teal, White, Yellow","Y","Y","9"" x 4 1/2""","",,,"Y",,"3,10","Y","",,"Bulk, Special  - When special packaging is specified, an additional charge will be levied.  Please identify your customs brokers.","100:per Box","19.00:in;15.00:in;12.00:in","16:lbs",,"","N","",,,,,,"Silk-Screen",,,"100","250","500","1000","2500",,,,,,"3.41","2.97","2.58","2.24","1.95",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List","SILKSCREEN, UNIMPRINTED","IMMD:SILKSCREEN, UNIMPRINTED",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"Per Color, Per PieceYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4887932,"Hit Elite Cap","",,,,,"For a classic promotional giveaway that's sure to be a hit with your customers, look no further than this Hit Elite cap! Made of 100% brushed cotton, this cool cap can be customized to your liking - include an embroidered imprint of your company name and logo to make a lasting brand impression. It features six panels, a medium profile, a structured crown, a pre-curved trimmed visor, trim color under the visor that matches the eyelets, a top button and an adjustable self-material strap with Velcro (R) closure. Knock this promotion out of the park!",,"http://media.asicdn.com/images/jpgb/24940000/24948261.jpg",,"Baseball Caps-Six Panel",,"BLACK WITH RED,BLACK WITH WHITE,GRAY WITH WHITE,FOREST GREEN WITH WHITE,KHAKI WITH BLACK,KHAKI WITH GREEN,KHAKI WITH NAV,KHAKI WITH RED,KHAKI WITH ROYAL BLUE,NAVY BLUE WITH WHITE,ROYAL WITH WHITE,WHITE WITH BLACK,WHITE WITH NAVY BLUE,WHITE WITH ROYAL BLUE","Cotton","","","",,,"CHINA",,,,,,,"3D EMBROIDERED, EMBROIDERED, UNIMPRINTED",,"Art Services (Art Charges will be assessed according to time, difficulty and amount of materials used. NOTE: All artwork received will be maxed out to our imprint area unless otherwise specified on your artwork and P.O.), Paper Proof (Paper Proofs will be Faxed unless otherwise noted on purchase order. Production begins after receipt of written proof approval.), Virtual Proof, Electronic Proof","Army Green, Athletic Gold, Baby Blue, Black, Blue Ink, Brick Red, Bright Green, Bright Turquoise, Bright Yellow/Process Yellow, Cardinal/Maroon/Burgundy, Charcoal, Colonial Blue, Colonial Green, Cool Gray, Copper, Country Blue, Cucumber, Dark Brown, Dark Charcoal, Dark Coral, Dark Fuchsia, Dark Gray, Dark Green/Hunter, Dark Kelly Green, Dark khaki, Dark Navy, Dark Purple, Dark Rose, Dark Rust, Dark Straw, Dark Teal, Dark Teal Green, Deep Gold, Deep Pink, Dusty Blue, Electric Blue, Faux Gold, Fluorescent Green, Fluorescent Orange, Fluorescent Yellow, Golden Khaki/Light Straw, Goldenrod Yellow Gold, Grape, Grass Green, Green, Hot Pink, Karat Gold, Kelly Green, Khaki/Tan, Lavender, Light Amber Flesh, Light Blue/Carolina, Light Brown, Light Coral, Light Gray, Light Green, Light Kelly Green, Light Khaki/Stone/Cream, Light Pink, Light Purple, Light Rust, Light Teal Green, Light Turquoise, Lime Green, Medium Blue, Melon Green, Metallic Gold, Metallic Silver, Midnight Navy, Military Green, Mint Green, Moss Green, Nascar Red, Natural, Navy Blue, Nile Green, Off White, Old Gold, Olive Green, Orange, Organic Brown, Pale Blue, Pale Gold, Pale Olive, Pale Purple, Pale Yellow, Pantone Violet, Pink, Process Blue, Pumpkin, Red, Reddish Brown, Reflex Blue, Royal Blue, Rubine Red, Rust, Shell Pink, Sienna, Silver, Silver/Gray, Sky Blue, Spring Green, Sunset Orange, Sunshine Gold, Surf Blue, Teal, Teal/Blue, Tropic Blue, Turquoise, Vegas Gold, Veggie Green, Very Dark Brown, Very Dark Green, Warm Red, White, Woodland, Xmas Red, Yellow/Green","Y","Y","4 1/2"" x 2 1/8""","",,,"Y",,"3,10","Y","",,"Bulk, Special  - When special packaging is specified, an additional charge will be levied.  Please identify your customs brokers.","48:per Box","19.00:in;15.00:in;12.00:in","9:lbs",,"","N","",,,,,,"Blank",,,"144","288","576","1008",,,,,,,"3.42","2.98","2.59","2.25",,,,,,,"R","R","R","R",,,,,,,,"N/A",,"USD",,"List","EMBROIDERED, 3D EMBROIDERED, UNIMPRINTED","IMMD:EMBROIDERED, 3D EMBROIDERED, UNIMPRINTED",,"Imprint Method Charge","Per Order","Required","1",,,,,,,,,,"100.00",,,,,,,,,,"Z",,,,,,,,,,"Per Color, Per PieceYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5829218,"Small Hit Sports Pack","",,,,,"Create something that's equal parts eye catching and practical with the practical performance of this Color Splash drawstring sports pack. It's made using 600 denier polyester and measures 14""W x 18""H and can be customized with an imprint of your organization's name, logo and advertising message. Add your team's mascot, corporate logo or university seal to complete the promotional look. No matter what kind of event you're planning for, this pack is sure to make an impression.",,"http://media.asicdn.com/images/jpgb/6460000/6461544.jpg",,"BACKPACKS,Bags-Drawstring",,"Black, Blue, Forest Green, Lime Green, Orange, Pink, Purple, Red, Yellow, camo","Polyester","Dimension","Length:14:in;Width:18:in","",,,"CHINA",,,,,,,"Color Splash, Unimprinted",,"","","Y","","9.5"" x 8""","",,,"Y",,"10","","",,"Packed 100 per box","","","",,"","N","",,,,,,"Small Hit Sports Pack",,,"250","500","1000","2500",,,,,,,"3.45","3.30","3.08","2.86",,,,,,,"R","R","R","R",,,,,,,,"one location color splash imprint.",,"USD",,"List","Color Splash, Unimprinted (Sold Unimprinted)","IMMD:Color Splash, Unimprinted (Sold Unimprinted)",,"Set-up Charge","Other","Required","1",,,,,,,,,,"49.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4924173,"Two-Tone Hit Sports Pack","",,,,,"If you're going for an adventurous tone during your next marketing campaign, then look no further than this two-tone hit sports pack! Measuring 14"" x 18"" and available in several two-tone color schemes, this handy item is made of 210-denier polyester and features a drawstring closure, a large front zippered pocket and a built-in slot for earbuds. Spot clean/air dry. Rush service is available at standard pricing. For heightened brand exposure on a product that will get plenty of use, customize with an imprint of your brand logo.",,"http://media.asicdn.com/images/jpgb/24940000/24949066.jpg",,"BACKPACKS,Bags-Drawstring",,"BLACK WITH BLACK,FOREST GREEN WITH BLACK,LIME WITH BLACK,ORANGE WITH BLACK,PURPLE WITH BLACK,RED WITH BLACK,ROYAL BLUE WITH BLACK","Polyester","Dimension","Length:14:in;Width:18:in","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Art Services (Art Charges will be assessed according to time,difficulty and amount of materials used. NOTE: All artwork received will be maxed out to our imprint area unless otherwise specified on your artwork and P.O.), Paper Proof (Paper Proofs will be Faxed unless otherwise noted on purchase order. Production begins after receipt of written proof approval. NO CREDIT WILL BE ISSUED FOR ANY ART ERRORS AFTER APPROVAL.), Virtual Proof, Product Proof (Product proof), Electronic Proofs - Electronic Proofs will be Emailed unless otherwise noted on purchase order. Production begins after receipt of written proof approval.","Athletic Gold, Black, Brown, Burgundy, Forest Green, Gold, Gray, Kelly Green, Light Blue, Lime Green, Maroon, Navy Blue, Orange, Pink, Process Blue, Purple, Red, Royal Blue, Silver, Tan, Teal, White, Yellow","Y","Y","9"" x 4 1/2""","",,,"Y",,"3,10","Y","",,"Bulk, Special  - When special packaging is specified, an additional charge will be levied.  Please identify your customs brokers.","50:per Box","19.00:in;15.00:in;12.00:in","12:lbs",,"","N","",,,,,,"Silk-Screen",,,"100","250","500","1000","2500",,,,,,"4.36","3.79","3.29","2.86","2.49",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List","Silkscreen, Unimprinted","IMMD:Silkscreen, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6031601,"Non-Woven Two-Tone Hit Sports Pack","",,,,,"This non-woven two-tone hit sports pack is a versatile bag fit for numerous occasions! This handy bag is made of 80-gram non-woven, coated water-resistant polypropylene and features a drawstring closure, a large front zipper pocket and a built-in slot for earbuds. Spot clean/air dry. Rush service is available at standard pricing. It measures 13 1/2"" x 17 3/4"", is available in several colors (all with black trim) and can be customized with an imprint of your brand logo.",,"http://media.asicdn.com/images/jpgb/24990000/24990199.jpg",,"Bags-Drawstring",,"BLACK WITH BLACK,FOREST GREEN WITH BLACK,LIME WITH BLACK,NAVY WITH BLACK,ORANGE WITH BLACK,RED WITH BLACK,ROYAL BLUE WITH BLACK,YELLOW WITH BLACK","Non-Woven Polypropylene","Dimension","Length:13 1/2:in;Width:17 3/4:in","",,,"CHINA",,,,,,,"SILKSCREEN, UNIMPRINTED",,"Art Services (Art Charges will be assessed according to time,difficulty and amount of materials used. NOTE: All artwork received will be maxed out to our imprint area unless otherwise specified on your artwork and P.O.), Paper Proof (Paper Proofs will be Faxed unless otherwise noted on purchase order. Production begins after receipt of written proof approval. NO CREDIT WILL BE ISSUED FOR ANY ART ERRORS AFTER APPROVAL.), Virtual Proof, Product Proof (Product proof), Electronic Proofs - Electronic Proofs will be Emailed unless otherwise noted on purchase order. Production begins after receipt of written proof approval.","Athletic Gold, Black, Brown, Burgundy, Forest Green, Gold, Gray, Kelly Green, Light Blue, Lime Green, Maroon, Navy Blue, Orange, Pink, Process Blue, Purple, Red, Royal Blue, Silver, Tan, Teal, White, Yellow","Y","Y","9"" x 4 1/2""","",,,"Y",,"3,10","Y","",,"Bulk, Special  - When special packaging is specified, an additional charge will be levied.  Please identify your customs brokers.","150:per Box","25.00:in;17.00:in;13.00:in","23:lbs",,"","N","",,,,,,"Silk-Screen",,,"100","250","500","1000","2500",,,,,,"3.48","3.03","2.63","2.29","1.99",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List","SILKSCREEN, UNIMPRINTED","IMMD:SILKSCREEN, UNIMPRINTED",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"0.50",,,,,,,,,,"Z",,,,,,,,,,"Per Color, Per PieceYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4887872,"Small Non-Woven Reflective Hit Sports Pack","",,,,,"Reflect the personality of your active clientele by handing out this small non-woven reflective hit sports pack during your next promotional campaign! Measuring 13"" x 16"" and available in several colors, this trendy bag is made of 80-gram non-woven, coated water-resistant polypropylene that will keep your belongings safe from the elements. It features a drawstring closure and reinforced eyelets, and it can be customized with a brand imprint for maximum brand exposure. Spot clean/air dry. Rush service is available at standard pricing.",,"http://media.asicdn.com/images/jpgb/24080000/24082507.jpg",,"BACKPACKS,Bags-Drawstring",,"Lime,Red,Royal Blue,Yellow","Non-Woven Polypropylene","Dimension","Length:13:in;Width:16:in","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Art Services (Art Charges will be assessed according to time,difficulty and amount of materials used. NOTE: All artwork received will be maxed out to our imprint area unless otherwise specified on your artwork and P.O.), Paper Proof (Paper Proofs will be Faxed unless otherwise noted on purchase order. Production begins after receipt of written proof approval. NO CREDIT WILL BE ISSUED FOR ANY ART ERRORS AFTER APPROVAL.), Virtual Proof, Product Proof (Product proof), Electronic Proofs - Electronic Proofs will be Emailed unless otherwise noted on purchase order. Production begins after receipt of written proof approval.","Athletic Gold, Black, Brown, Burgundy, Forest Green, Gold, Gray, Kelly Green, Light Blue, Lime Green, Maroon, Navy Blue, Orange, Pink, Process Blue, Purple, Red, Royal Blue, Silver, Tan, Teal, White, Yellow","Y","Y","8"" x 5""","",,,"Y",,"3,10","Y","",,"Bulk, Special  - When special packaging is specified, an additional charge will be levied.  Please identify your customs brokers.","100:per Box","19.00:in;15.00:in;12.00:in","14:lbs",,"","N","",,,,,,"Silk-Screen",,,"100","250","500","1000","2500",,,,,,"3.06","2.66","2.31","2.01","1.75",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List","Silkscreen, Unimprinted","IMMD:Silkscreen, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"Per Color, Per PieceYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
