XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
551001896,"Bullware Wood Coaster Set","",,,,,"Grabbing booze by the horns. This five piece coaster set includes set of 4 wood coasters with storage tin. Stir up the Bull. Shake up the night. Live classy.",,"http://media.asicdn.com/images/jpgb/23830000/23836740.jpg",,"HOUSE AMENITIES",,"Wood (WD)","Wood","Dimension","Length:2.5:in","",,,"CHINA",,,,,,,"Laser, Silkscreen, Unimprinted",,"","","Y","","2.5""H x 0""L, 3""H x 0""L","",,,"Y",,"","Y","",,"","48:per Case","20.28:in;15.35:in;12.8:in","",,"","N","",,,,,,"IMPRINTED",,,"60","150","300","450","600",,,,,,"10.07","9.67","9.27","8.87","7.98",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","Silkscreen, Laser, Unimprinted","IMMD:Silkscreen, Laser, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"95.00",,,,,,,,,,"Z",,,,,,,,,,"Per locationYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551001903,"Laguiole(R) Black Knife Set","",,,,,"Modern styling to a traditional favorite, this six-piece black knife set is sure to demand notice on any tabletop. The famous Laguiole(R) bee decorates each handle in honor of the centuries-old craftsmanship made famous by Laguiole(R) knife makers. Includes wood case convenient for presentation and storage.",,"http://media.asicdn.com/images/jpgb/23830000/23837663.jpg",,"HOUSE AMENITIES",,"Black (BK)","Wood","Dimension","Length:10.25:in;Width:1.25:in;Height:5.5:in","",,,"CHINA",,,,,,,"Deboss, Unimprinted",,"","","Y","","3""H x 6""L","",,,"Y",,"","Y","",,"","12:per Case","12.6:in;10.83:in;7.87:in","23.15:lbs",,"","N","",,,,,,"IMPRINTED",,,"6","20","40","60","100",,,,,,"66.77","64.12","61.47","58.82","52.98",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","Deboss, Unimprinted","IMMD:Deboss, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"75.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550523891,"Pedova(TM) Coaster Set","",,,,,"5-piece set includes caddy and four round coasters. Each coaster has fine detail stitching and velvet flocked bottom. Caddy keeps coasters neatly stacked and puts any logo prominently on display. Coasters are 4'' diameter and each is decorated.",,"http://media.asicdn.com/images/jpgb/22110000/22111433.jpg",,"HOUSE AMENITIES",,"Black (BK)","","","","",,,"CHINA",,,,,,,"Deboss, Unimprinted",,"","","Y","Y","2.25""H x 2.25""L","",,,"Y",,"5","Y","",,"","138:per Case","14.96:in;14.17:in;14.17:in","31.042:lbs",,"","N","",,,,,,"IMPRINTED",,,"36","100","150","250","400",,,,,,"12.58","12.08","11.58","11.08","9.98",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","Deboss, Unimprinted","IMMD:Deboss, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"75.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551001902,"Laguiole(R) Black Cheese & Serving Set","",,,,,"Slate serving board is accompanied by a set of three cheese knives. Each knife is accented with the Laguiole(R) bee, a symbol of superior quality in honor of the centuries-old tradition of craftsmanship made famous by Laguiole(R) knife makers. Includes wood case for convenient presentation and storage.",,"http://media.asicdn.com/images/jpgb/23830000/23837666.jpg",,"HOUSE AMENITIES",,"Black (BK)","Wood","Dimension","Length:10.63:in;Width:1.44:in;Height:6.75:in","",,,"CHINA",,,,,,,"Deboss, Unimprinted",,"","","Y","","4""H x 8""L","",,,"Y",,"","Y","",,"","12:per Case","12.01:in;16.34:in;9.45:in","33.07:lbs",,"","N","",,,,,,"IMPRINTED",,,"12","50","100","150","200",,,,,,"50.38","48.38","46.38","44.38","39.98",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","Deboss, Unimprinted","IMMD:Deboss, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"0.99",,,,,,,,,,"Z",,,,,,,,,,"Per locationYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551001909,"Dakota Coaster Set","",,,,,"Faux wood grain 5-piece set includes caddy and four round coasters. Each coaster has fine detail stitching and velvet flocked bottom. Caddy keeps coasters neatly stacked and puts any logo prominently on display.",,"http://media.asicdn.com/images/jpgb/23830000/23837680.jpg",,"HOUSE AMENITIES",,"Black (BK),Brown (BR)","UltraHyde","Dimension","Length:4:in","",,,"CHINA",,,,,,,"Deboss, Unimprinted",,"","","Y","","2.25""H x 2.25""L","",,,"Y",,"","Y","",,"","138:per Case","14.96:in;13.78:in;14.17:in","",,"","N","",,,,,,"IMPRINTED",,,"36","100","150","250","400",,,,,,"12.58","12.08","11.58","11.08","9.98",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","Deboss, Unimprinted","IMMD:Deboss, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"0.99",,,,,,,,,,"Z",,,,,,,,,,"Per locationYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551001894,"Bullware Bar Tool Set","",,,,,"Grabbing booze by the horns. This five piece bar tool set includes stainless steel jigger, bottle opener, strainer, and mixing spoon all conveniently packaged in a storage tin. Stir up the Bull. Shake up the night. Live classy.",,"http://media.asicdn.com/images/jpgb/24460000/24464273.jpg",,"HOUSE AMENITIES",,"Silver (SL)","Stainless Steel","Dimension","Length:8.97:in","",,,"CHINA",,,,,,,"Laser, Silkscreen, Unimprinted",,"","","Y","","2.5""H x 0""L, 3""H x 0""L","",,,"Y",,"","Y","",,"","16:per Case","20.08:in;20.08:in;10.43:in","",,"","N","",,,,,,"IMPRINTED",,,"24","100","150","250","400",,,,,,"25.18","24.18","23.18","22.18","19.98",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","Silkscreen, Laser, Unimprinted","IMMD:Silkscreen, Laser, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"55.00",,,,,,,,,,"Z",,,,,,,,,,"Per locationYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550523869,"Belgio Coasters and Wine Opener Set","",,,,,"Set includes four square coasters with fine detailed stitching around the edges and velvet flocked bottom and a stainless steel waiter corkscrew presented in a contemporary, retail-inspired wooden storage box.",,"http://media.asicdn.com/images/jpgb/22110000/22111447.jpg",,"HOUSE AMENITIES",,"Black (BK)","Wood","Dimension","Length:5.75:in;Width:1.25:in;Height:6:in","",,,"CHINA",,,,,,,"ColorPrint - 2, Laser, Unimprinted",,"","","Y","Y","0.5""H x 2.5""L","",,,"Y",,"5","Y","",,"","36:per Case","18.5:in;12.6:in;10.24:in","28.6:lbs",,"","N","",,,,,,"IMPRINTED",,,"36","100","150","250","400",,,,,,"17.62","16.92","16.22","15.52","13.98",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","ColorPrint - 2, Laser, Unimprinted","IMMD:ColorPrint - 2, Laser, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"0.99",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550523879,"Serenity Now Wine Tote Set","",,,,,"The Serenity Now WIne Tote is perfect for wine on the go. This insulated tote features a side pocket that includes a stainless steel waiter corkscrew and deep front pocket is designed to provide additional storage.",,"http://media.asicdn.com/images/jpgb/22110000/22111440.jpg",,"HOUSE AMENITIES",,"Black (BK)","Canvas","Dimension","Length:4.5:in;Width:15:in;Height:3.5:in","",,,"CHINA",,,,,,,"Deboss, PhotoGrafixx - 4, Transfer, Unimprinted",,"","","Y","Y","1.5""H x 2.5""L, 1.75""H x 1.75""L","",,,"Y",,"5","Y","",,"","50:per Case","18.11:in;17.72:in;18.9:in","36.53:lbs",,"","N","",,,,,,"IMPRINTED",,,"36","100","150","250","400",,,,,,"12.58","12.08","11.58","11.08","9.98",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","PhotoGrafixx - 4, Deboss, Transfer, Unimprinted","IMMD:PhotoGrafixx - 4, Deboss, Transfer, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"2.99",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551001895,"Bullware Six Pack Carrier","",,,,,"Grabbing booze by the horns. Take your six pack of beer or soda with you with this convenient wooden six pack carrier. Features include removable bottle dividers and bottle opener. Hop on the Bull. Craft up the night. Live classy.",,"http://media.asicdn.com/images/jpgb/23830000/23836741.jpg",,"HOUSE AMENITIES",,"Wood (WD)","Wood","Dimension","Length:6.3:in;Width:8.86:in;Height:10.15:in","",,,"CHINA",,,,,,,"Laser, Silkscreen, Unimprinted",,"","","Y","","0.5""H x 2.5""L, 4""H x 7""L","",,,"Y",,"","Y","",,"","8:per Case","21.46:in;13.58:in;19.29:in","",,"","N","",,,,,,"IMPRINTED",,,"24","100","150","250","400",,,,,,"37.78","36.28","34.78","33.28","29.98",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","Laser, Silkscreen, Unimprinted","IMMD:Laser, Silkscreen, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"0.99",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551001893,"Bullware Beer Flight","",,,,,"Grabbing booze by the horns. Hold your own beer tasting with this beer flight. Includes four 250ml glasses and wood serving paddle painted with chalkboard paint so you can easily identify which brew you are tasting. Hop on the Bull. Craft up the night. Live Classy.",,"http://media.asicdn.com/images/jpgb/23830000/23836743.jpg",,"HOUSE AMENITIES",,"Wood (WD)","Wood","Dimension","Length:3.54:in;Width:17.4:in;Height:0.59:in","",,,"CHINA",,,,,,,"Laser, Laser Names, Silkscreen, Unimprinted",,"","","Y","","0""H x 0""L, 1""H x 2.5""L","",,,"Y",,"","Y","",,"","6:per Case","12.6:in;12.01:in;18.5:in","",,"","N","",,,,,,"IMPRINTED",,,"24","100","150","250","400",,,,,,"31.48","30.23","28.98","27.73","24.98",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","Laser, Laser Names, Silkscreen, Unimprinted","IMMD:Laser, Laser Names, Silkscreen, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"55.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
