XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
6760187,"Kitchen Scrub Brush","",,,,,"This kitchen scrub brush is great for cleaning dirty dishes, pots, pans and more! Simply fill the soap reservoir and push the top button to release soap onto the brush. With an overall size of 3"" x 3 1/2"", you can customize this handy kitchen accessory with an imprint of your company name and logo for maximum brand visibility. It comes in your choice of white or royal blue. Select this handy scrub brush for your upcoming trade show or convention!",,"http://media.asicdn.com/images/jpgb/24030000/24038557.jpg",,"BRUSHES,CLEANERS,Tools-Kitchen-General",,"Royal Blue,White","","Dimension","Length:3:in;Width:3 1/2:in","",,,"CHINA",,,,,,,"Pad Print",,"Art Services (Art Charges will be assessed according to time, difficulty and amount of materials used. NOTE: All artwork received will be maxed out to our imprint area unless otherwise specified on your artwork and P.O.), Paper Proof (Paper Proofs will be Faxed unless otherwise noted on purchase order. Production begins after receipt of written proof approval. NO CREDIT WILL BE ISSUED FOR ANY ART ERRORS AFTER APPROVAL.), Virtual Proof, Product Proof, Electronic Proofs will be Emailed unless otherwise noted on purchase order. Production begins after receipt of written proof approval. NO CREDIT WILL BE ISSUED FOR ANY ART ERRORS AFTER APPROVAL.","Athletic Gold, Black, Brown, Burgundy, Forest Green, Gray, Kelly Green, Light Blue, Maroon, Navy Blue, Orange, Pink, Process Blue, Purple, Red, Royal Blue, Tan, Teal, White, Yellow","","Y","1""","",,,"Y",,"3,10","Y","",,"Poly Bag, Special  - When special packaging is specified, an additional charge will be levied.  Please identify your customs brokers.","100:per Box","16.00:in;15.00:in;12.00:in","16:lbs",,"","N","",,,,,,"",,,"96","144","288","576","1008",,,,,,"2.96","2.57","2.24","1.94","1.69",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List","Pad Print","IMMD:Pad Print",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"0.25",,,,,,,,,,"Z",,,,,,,,,,"Per Color(if applies), Per LocationYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6090896,"4-in-1 Kitchen Tool","",,,,,"Scoop up success with this universal kitchen too!  This tool features a spoon, slotted spoon, turner and serrated edge and is safe to put in the top rack of the dishwasher. The tool can be used any cook top, withstanding temperatures up to 375 degrees F. This tool is a great way to share ""what's cooking"" at your company, and fun item to use at barbecue competitions, outdoor cooking events or to promote your favorite restaurant or resort. Up to 4 assorted colors available at no additional charge.",,"http://media.asicdn.com/images/jpgb/22540000/22546913.jpg",,"Forks & Spoons-General,Tools-Kitchen-Spatulas/Spreaders",,"Blue,Red,Green,White,Salsa,Dark Blue,Light Gray,Black,Celery Green","","Dimension","Length:2 5/8:in;Width:10 7/8:in;Height:1:in","",,,"CHINA",,,,,,,"Pad Print, Unimprinted",,"Pre-production Proof (Ground freight included), Virtual Proof","Black, Brown, Burgundy, Dark Blue, Dark Green, Gold, Gray, Green, Ivory, Neon Pink, Orange, Pink, Process Blue, Purple, Red, Reflex Blue, Royal Blue, Silver, Teal, White, Yellow","Y","Y","1/2""H x 2""W, 3/4""H x 3""W","back, front (Front)",,,"Y",,"5","Y","",,"","400:per Carton","21:in;19:in;18:in","44.5:lbs",,"","N","",,,,,,"4-in-1 Kitchen Tool",,,"150","250","500","1000","2500",,,,,,"2.15","2.05","1.98","1.91","1.85",,,,,,"R","R","R","R","R",,,,,,,"1-color/1-position imprint",,"USD",,"List","Pad Print, Unimprinted (Sold Unimprinted)","IMMD:Pad Print, Unimprinted (Sold Unimprinted)",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"30.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6090896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Product Sample","SMPL:Product Sample",,"Sample Charge","Other","Optional","1",,,,,,,,,,"65.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6090896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pre-production Proof (Ground freight included), Virtual Proof","ARTW:Pre-production Proof (Ground freight included), Virtual Proof",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551081801,"Silicone 5 Piece Kitchen Set","",,,,,"This beautiful silicone and stainless steel kitchen set includes a ladle, spaghetti strainer, spatula, tongs and a slotted flipper in a metal bucket for easy storage.",,"http://media.asicdn.com/images/jpgb/24050000/24054412.jpg",,"Tools-Kitchen-Sets,Tools-Kitchen-Spaghetti Aids,Tools-Kitchen-Spatulas/Spreaders,Tools-Kitchen-Tongs,Tools-Kitchen-General",,"Unclassfied","","Dimension","Length:8.19:in;Width:4.69:in;Height:4.69:in","",,,"CHINA",,,,,,,"Laser, Unimprinted",,"","","Y","","2"" x 2""","",,,"Y",,"1,7","Y","1:	",,"","15:per Other","27:in;15:in;18:in","42:lbs",,"","N","",,,,,,"Laser",,,"10","25","50","100",,,,,,,"30.49","28.49","26.99","24.99",,,,,,,"R","R","R","R",,,,,,,,"N/A",,"USD",,"List","Laser, Unimprinted","IMMD:Laser, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550284100,"Quick Cut Ceramic Knife & Peeler Set","",,,,,"Go for the sustained sharpness of ceramic with this Quick Cut ceramic knife and peeler set. Each features a knife with protective sheath and blade measuring 9 3/4"" x 1 3/8"" x 11/16"" and a peeler measuring 6 3/4"" x 2 3/8"" x 13/16"". These exceptionally sharp ceramic blades rarely need sharpening and have comfortable easy grip contoured handles. Increase your cutting efficiency and overall kitchen safety with this set today!",,"http://media.asicdn.com/images/jpgb/23660000/23663793.jpg",,"Knives-Kitchen-General,Tools-Kitchen-Peelers,Tools-Kitchen-Sets",,"","Ceramic","","","",,,"CHINA",,,,,,,"Pad Print, Unimprinted",,"Art Services (Recreating Artwork), Pre-production Proof, Virtual Proof (Virtual/Mock-up Proof), Digital Proof, Artwork Proof, Artwork Edits","Black, blue, Brown, Burgundy, Cool Gray, Dark Green, Light Brown, Light Green, Metallic Gold, Metallic Silver, Navy, Orange, Pink, Process Blue, Purple, Red, Reflex Blue, Royal Blue, Teal, Violet, White, Yellow, Yellow Gold","Y","Y","1 1/2"" x 3/8""","",,,"Y",,"5","Y","1:,3:	",,"Black Two-Piece Gift Box","30:per Other (s)","14:in;14:in;9:in","16:lbs",,"Shipping is UPS, FedEx, or truck line by request. USPS is available for APO addresses only.","N","",,,,,,"Quick Cut Ceramic Knife & Peeler Set",,,"30","100","250","500","1000",,,,,,"11.20","10.80","10.50","10.20","9.90",,,,,,"R","R","R","R","R",,,,,,,"One color, one location imprint on each item.",,"USD",,"List","Pad Print, Unimprinted","IMMD:Pad Print, Unimprinted",,"Set-up Charge","Other","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"Per color/logo/plate.You may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550284100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art Services (Recreating Artwork), Pre-production Proof, Virtual Proof (Virtual/Mock-up Proof), Digital Proof, Artwork Proof, Artwork Edits","ARTW:Art Services (Recreating Artwork), Pre-production Proof, Virtual Proof (Virtual/Mock-up Proof), Digital Proof, Artwork Proof, Artwork Edits",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"Artwork edits, one edit to artwork provided at no charge, per additional edit.You may order less than the minimum quantity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550284100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 business days,3 business days","RUSH:1,3",,"Rush Service Charge","Other","Required","1",,,,,,,,,,"0.40",,,,,,,,,,"Z",,,,,,,,,,"Per imprint.Note different rushes on Non-stock items. Please Contact Customer Service for details.You may order less than the minimum quantity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550582574,"Top Choice Ceramic Knife & Peeler Set","",,,,,"No kitchen is complete without this Top Choice ceramic knife & peeler set with gunmetal blades! Finely crafted for sustained sharpness, this set contains the following: a 9 1/2"" knife with a 4 3/4"" ceramic blade and protective sheath, an 8 1/4"" knife with a 3 7/8"" ceramic blade and protective sheath and a 5 3/8"" peeler with a ceramic cutting blade. All the items are dishwasher safe, and their handles can be customized with an imprint of your company name and logo for maximum brand exposure. For a sharp gift or incentive, look no further!",,"http://media.asicdn.com/images/jpgb/22540000/22541636.jpg",,"Knives-Kitchen-General,Tools-Kitchen-Peelers,Tools-Kitchen-Sets",,"Gunmetal","Ceramic","","","",,,"CHINA",,,,,,,"Pad Print, Unimprinted",,"Art Services (Recreating Artwork), Pre-production Proof, Virtual Proof (Virtual/Mock-up Proof), Digital Proof, Artwork Proof, Artwork Edits","Black, blue, Brown, Burgundy, Cool Gray, Dark Green, Light Brown, Light Green, Metallic Gold, Metallic Silver, Navy, Orange, Pink, Process Blue, Purple, Red, Reflex Blue, Royal Blue, Teal, Violet, White, Yellow, Yellow Gold","Y","Y","2"" x 1/2""","Large knife/Small knife/Peeler - handles (Front; 4 color max)",,,"Y",,"5","Y","1:,3:	",,"White Gift Box with Window","","","",,"Shipping is UPS, FedEx, or truck line by request. USPS is available for APO addresses only.","N","",,,,,,"Top Choice Ceramic Knife & Peeler Set",,,"30","100","250","500","1000",,,,,,"14.70","14.30","13.90","13.50","13.10",,,,,,"R","R","R","R","R",,,,,,,"One color, one location imprint on one item.",,"USD",,"List","Pad Print, Unimprinted","IMMD:Pad Print, Unimprinted",,"Set-up Charge","Other","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"Per color/imprint after first imprint.You may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550582574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art Services (Recreating Artwork), Pre-production Proof, Virtual Proof (Virtual/Mock-up Proof), Digital Proof, Artwork Proof, Artwork Edits","ARTW:Art Services (Recreating Artwork), Pre-production Proof, Virtual Proof (Virtual/Mock-up Proof), Digital Proof, Artwork Proof, Artwork Edits",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"Artwork edits, one edit to artwork provided at no charge, per additional edit.You may order less than the minimum quantity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
