XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
550215389,"Monkey Face Erasers/24-Pc","",,,,,"Fix those pesky mistakes with this fun, monkey shaped eraser. Erasers are a fun addition to a goody bag or to hand out as a church or school carnival prize. US Toy has a large selection of stationery supplies for work, school, or home. From notebooks, pencils, erasers, and pencil sharpeners we have it all!Size 1 1/4 in Diam.Made of rubber24 piece bag",,"http://media.asicdn.com/images/jpgb/20850000/20857010.jpg",,"ERASERS",,"","","","","",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","Y","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"Monkey Face Erasers/24-Pc",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550114273,"17"" Hanging Plush Monkey","",,,,,"17"" Hanging Plush Monkey in assorted colors. Blank.",,"http://media.asicdn.com/images/jpgb/20750000/20754685.jpg",,"STUFFED ANIMALS & TOYS",,"Assorted","","Dimension","Length:17:in","Monkey",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"17"" Hanging Plush Monkey",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"blank",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4505101,"12"" Animal - Monkey","",,,,,"12"" monkey with shirt.  We have replaced the plastic eyes and noses of this classic product with embroidered eyes and noses.  The use of embroidered eyes and noses eliminate any safety concerns and are safe for use by children.  These child-friendly animals are especially great for hospitals, safety programs, schools, and the medical industries.",,"http://media.asicdn.com/images/jpgb/5220000/5226961.jpg",,"STUFFED ANIMALS & TOYS",,"","","Dimension","Length:12:in","Monkey",,,"CHINA",,,,,,,"Printed",,"Art Services (Typeset charge. ), Pre-production Proof, Art proof charge. (Art proof charge. )","Black, Green, navy blue, Other Colors, Red, ROYAL BLUE, White, Yellow","","Y","2.25"" W x 1.5"" H","",,,"Y",,"7,10","","",,"","","","",,"","N","",,,,,,"12"" Animal - Monkey",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List","Art Services (Typeset charge. ), Pre-production Proof, Art proof charge. (Art proof charge. )","ARTW:Art Services (Typeset charge. ), Pre-production Proof, Art proof charge. (Art proof charge. )",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"18.75",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6820317,"Seatbelt Pal - Monkey","",,,,,"Seatbelt Pal, monkey with shirt.  Cute seat-belt pals are a fun, safe way to remind kids to buckle up!",,"http://media.asicdn.com/images/jpgb/5220000/5227024.jpg",,"STUFFED ANIMALS & TOYS",,"Brown","","","","Monkey",,,"CHINA",,,,,,,"Printed",,"Art Services (Typeset charge.), Pre-production Proof, Art proof charge","Black, Green, Navy Blue, Other Colors, Red, Royal Blue, White, Yellow","","Y","1.75"" W x 1.25"" H","",,,"Y",,"7,10","","",,"","","","",,"","N","",,,,,,"",,,"48","200","500","800","1200",,,,,,"7.32","7.07","6.37","6.29","6.22",,,,,,"R","R","R","R","R",,,,,,,"one color imprint on the shirt.",,"USD",,"List","Art Services (Typeset charge.), Pre-production Proof, Art proof charge","ARTW:Art Services (Typeset charge.), Pre-production Proof, Art proof charge",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"18.75",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550114209,"12"" Comforting Monkey Plush","",,,,,"12"" Comforting Monkey Plush. Blank.",,"http://media.asicdn.com/images/jpgb/20750000/20754641.jpg",,"STUFFED ANIMALS & TOYS",,"","","Dimension","Length:12:in","Monkey",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"12"" Comforting Monkey Plush",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"blank",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
2816037,"Rubber Modest Monkey","",,,,,"Rubber modest monkey squeaky toy.",,"http://media.asicdn.com/images/jpgb/7250000/7257520.jpg",,"Toys-General",,"Brown","Rubber","Dimension","Length:2 1/2:in;Width:1 3/4:in;Height:3:in","Monkey",,,"CHINA",,,,,,,"Silkscreen",,"","","","","3/4"" x 3/8""","",,,"Y",,"9","Y","1:	",,"","","","",,"","N","",,,,,,"Rubber Modest Monkey",,,"50","100","300","600","1200",,,,,,"2.50","2.30","2.10","1.95","1.75",,,,,,"R","R","R","R","R",,,,,,,"one color, one location imprint.",,"USD",,"List","Silkscreen","IMMD:Silkscreen",,"Set-up Charge","Other","Required","1",,,,,,,,,,"46.00",,,,,,,,,,"Z",,,,,,,,,,"Screen",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5391892,"Monkey shaped stress reliever","",,,,,"Monkey shaped stress reliever.",,"http://media.asicdn.com/images/jpgb/5650000/5652177.jpg",,"Stress Relievers-General",,"Brown","","Dimension","Length:2:in;Width:3:in;Height:3 1/2:in","Monkey",,,"CHINA",,,,,,,"Pad Print, Unimprinted",,"","","Y","Y","1"" x 1/2""","",,,"Y",,"7","Y","",,"","","","",,"","N","",,,,,,"Monkey shaped stress reliever",,,"50","100","300","600","1200","2500",,,,,"2.58","2.28","1.98","1.88","1.78","1.68",,,,,"R","R","R","R","R","R",,,,,,"one color, one location imprint",,"USD",,"List","Pad Print, Unimprinted (Sold Unimprinted)","IMMD:Pad Print, Unimprinted (Sold Unimprinted)",,"Set-up Charge","Other","Required","1",,,,,,,,,,"38.75",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551224771,"Cute Monkey Keychain","",,,,,"This keychain is made of metal and evade glue. It has a monkey which looks very lovely. It is of high quality. You can hang your key in it. It is also a quite nice present for children. It is rather practical in your daily life. You can select colors you like.",,"http://media.asicdn.com/images/jpgb/24920000/24927390.jpg",,"Key Holders-Metal",,"Orange,White,Red","Blend:","Dimension","Length:1.8:in;Width:0.8:in;Height:2.4:in","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"","Black, Blue, White","Y","","0.5"" x 0.2""","",,,"Y",,"5","","",,"Individual Poly Bag","2000:per Case","49 cm:in;65 cm:in;32 cm:in","25:kg",,"","N","",,,,,,"Cute Monkey Keychain",,,"2000","5000","8000","10000","20000",,,,,,"0.686","0.643","0.629","0.586","0.529",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6752696,"Inflatable Monkey","",,,,,"Eighteen inch inflatable monkey.",,"http://media.asicdn.com/images/jpgb/7230000/7232251.jpg",,"INFLATABLES",,"","","Dimension","Length:18:in","Monkey",,,"CHINA",,,,,,,"Full Color Process, Printed, Unimprinted",,"","","Y","Y","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"Inflatable Monkey",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List","Printed, Full Color Process, Unimprinted","IMMD:Printed, Full Color Process, Unimprinted",,"Set-up Charge","Other","Required","1",,,,,,,,,,"56.25",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7167443,"Monkey Nail Dryer","",,,,,"Monkey nail dryer.",,"http://media.asicdn.com/images/jpgb/7740000/7741054.jpg",,"MANICURE TOOLS",,"","","","","Monkey",,,"CHINA",,,,,,,"Full Color Process, Printed, Unimprinted",,"","","Y","Y","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"Monkey Nail Dryer",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List","Printed, Full Color Process, Unimprinted","IMMD:Printed, Full Color Process, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"56.25",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
