XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
550298771,"Capitol Oak Flag Case","",,,,,"This handsome memorial case features oak material and includes a removable back panel with turn-button closures. Ideal for ensuring the protection and preservation of your most cherished flags. A complement to any display, it makes a great gift for those who serve in the military, those who serve in office and others who have honored our nation. This wall mountable memorial case is recommended for flags that measure 3' x 5' in dimension.",,"http://media.asicdn.com/images/jpgb/21090000/21090825.jpg",,"FLAG ACCESSORIES",,"","Oak","Dimension","Length:13 3/4:in;Width:6 3/4:in;Height:2 3/8:in","",,,"CHINA",,,,,,,"Engraving",,"","","","","","",,,"Y",,"3,5","","",,"","","","",,"","N","",,,,,,"Capitol Cherry Flag Case",,,"1",,,,,,,,,,"82.50",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List","Engraving","IMMD:Engraving",,"Imprint Method Charge","Other","Required","1",,,,,,,,,,"27.95",,,,,,,,,,"Z",,,,,,,,,,"Request product# ENGRAVING when completing order.",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550692384,"Arched White Oak Cutting Board","",,,,,"Measures 9"" x 12"" x 3/4"". Our personalized cutting boards are engraved with precision on a premium, top quality white oak wood. Our custom boards are the perfect gift for both family and friends. These personalized cutting boards are also excellent gifts for weddings, anniversaries, and housewarmings. Whether you're displaying this one-of-a-kind piece as art in your kitchen or prepping the family dinner, this wood cutting board provides a unique and personal touch. Great for culinary events, real estate gifts, home improvement gifts, and restaurants.",,"http://media.asicdn.com/images/jpgb/22740000/22749583.jpg",,"BAR ACCESSORIES,Boards-Carving & Chopping,Tools-Kitchen-General",,"White Oak","White Oak","Dimension","Length:9:in;Width:12:in;Height:3/4:in","Round Rectangle,Rounded Corner,Rectangle Shapes,Rectangle,Arch",,,"CHINA",,,,,,,"Laser Engraved, Unimprinted",,"Art Services, Virtual Proof, Pre-production Proof","","Y","Y","2"" x 2"", 5"" x 5""","",,,"Y",,"7,12","Y","",,"Individual Poly Bag","","","",,"","N","",,,,,,"2"" x 2""-Lower Right Or Lower Left Hand Corner - Front",,,"10","25","50","100","250","500","1000",,,,"32.00","31.50","31.00","30.25","29.75","29.25","28.95",,,,"R","R","R","R","R","R","R",,,,,"one location, one side imprint.",,"USD",,"List","Unimprinted, Laser Engraved","IMMD:Unimprinted, Laser Engraved",,"Imprint Method Charge","Per Order","Required","1",,,,,,,,,,"60.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550692276,"White Oak Cutting Board","",,,,,"Measures 14"" x 11"" x 3/4"". Our personalized cutting boards are engraved with precision on a premium, top quality white oak wood. Our custom boards are the perfect gift for both family and friends. These personalized cutting boards are also excellent gifts for weddings, anniversaries, and housewarmings. Whether you're displaying this one-of-a-kind piece as art in your kitchen or prepping the family dinner, this wood cutting board provides a unique and personal touch. Great for culinary events, real estate gifts, home improvement gifts, and restaurants.",,"http://media.asicdn.com/images/jpgb/22740000/22748443.jpg",,"BAR ACCESSORIES,Boards-Carving & Chopping,Tools-Kitchen-General",,"White Oak","White Oak","Dimension","Length:14:in;Width:11:in;Height:3/4:in","Round Rectangle,Rounded Corner,Rectangle Shapes,Rectangle",,,"CHINA",,,,,,,"Laser Engraved, Unimprinted",,"Art Services, Virtual Proof, Pre-production Proof","","Y","Y","2"" x 2"", 7"" x 7""","",,,"Y",,"7,12","Y","",,"Individual Poly Bag","","","",,"","N","",,,,,,"2"" x 2""-Lower Right Or Lower Left Hand Corner - Front",,,"10","25","50","100","250","500","1000",,,,"28.50","28.00","27.50","26.75","26.25","26.00","25.50",,,,"R","R","R","R","R","R","R",,,,,"one location, one side imprint.",,"USD",,"List","Unimprinted, Laser Engraved","IMMD:Unimprinted, Laser Engraved",,"Imprint Method Charge","Per Order","Required","1",,,,,,,,,,"60.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550672375,"Oak Plaque with Artist Series Plate","",,,,,"This plaque is made of particle wood with an Oak finish. Edges are beveled.  5/8"" thick.  Key holes on back edges for hanging horizontally or vertically. Plates are Blue, Red, Green or Black with gold highlights.  Plaque sizes available are:7"" x 9"", 8"" x 10"", and 9"" x 11"".  Plates engrave gold.",,"http://media.asicdn.com/images/jpgb/22700000/22701939.jpg",,"Plaques-Laser Engraved,Plaques-General",,"Oak","Oak","Dimension","Length:7:in;Width:9:in,Length:8:in;Width:10:in,Length:9:in;Width:12:in","",,,"CHINA",,,,,,,"Laser Engraving",,"","Brass","","Y","","",,,"Y",,"10","Y","",,"Bulk","","","",,"","N","",,,,,,"7"" x 9"" Plaque - Artist Series Plate",,,"1","3","6","12","24","48","100","250",,,"41.63","39.74","37.85","37.66","37.47","37.28","37.09","36.90",,,"R","R","R","R","R","R","R","R",,,,"laser engraved Artist Series Plate.",,"USD",,"List","Laser Engraving","IMMD:Laser Engraving",,"Set-up Charge","Other","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550673025,"Oak Plaque with Starburst Plate","",,,,,"This plaque is made of particle wood with an Oak finish. Edges are beveled.  5/8"" thick.  Key holes on back edges for hanging horizontally or vertically. Plates are Blue, Red, Green or Black with gold highlights.  Plaque sizes available are: 7"" x 9"", 8"" x 10"", and 9"" x 11"".  Plates engrave gold.",,"http://media.asicdn.com/images/jpgb/22700000/22704043.jpg",,"Plaques-Laser Engraved,Plaques-General",,"Oak","Oak","Dimension","Length:7:in;Width:9:in,Length:8:in;Width:10:in,Length:9:in;Width:12:in","",,,"CHINA",,,,,,,"Laser Engraving",,"","Brass","","Y","","",,,"Y",,"10","Y","",,"Bulk","","","",,"","N","",,,,,,"7"" x 9"" Plaque - Starburst Plate",,,"1","3","6","12","24","48","100","250",,,"41.63","39.74","37.85","37.66","37.47","37.28","37.09","36.90",,,"R","R","R","R","R","R","R","R",,,,"laser engraved Starburst Plate.",,"USD",,"List","Laser Engraving","IMMD:Laser Engraving",,"Set-up Charge","Other","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550672837,"Oak Plaque with Headline Plate","",,,,,"This plaque is made of particle wood with an Oak finish. Edges are beveled.  5/8"" thick.  Key holes on back edges for hanging horizontally or vertically. Plates are Blue, Red, Green or Black with gold highlights.  Plaque sizes available are: 7"" x 9"", 8"" x 10"", and 9"" x 12"".  Plates engrave gold.",,"http://media.asicdn.com/images/jpgb/22700000/22703726.jpg",,"Plaques-Laser Engraved,Plaques-General",,"Oak","Oak","Dimension","Length:7:in;Width:9:in,Length:8:in;Width:10:in,Length:9:in;Width:12:in","",,,"CHINA",,,,,,,"Laser Engraving",,"","Brass","","Y","","",,,"Y",,"10","Y","",,"Bulk","","","",,"","N","",,,,,,"7"" x 9"" Plaque - Headline Plate",,,"1","3","6","12","24","48","100","250",,,"41.63","39.74","37.85","37.66","37.47","37.28","37.09","36.90",,,"R","R","R","R","R","R","R","R",,,,"laser engraved Headline Plate.",,"USD",,"List","Laser Engraving","IMMD:Laser Engraving",,"Set-up Charge","Other","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550678382,"Oak Plaque with Tear Drop Plate","",,,,,"This plaque is made of particle wood with an Oak finish. Edges are beveled.  5/8"" thick.  Key holes on back edges for hanging horizontally or vertically. Plates are Black, Blue, and Red with Gold trim.  Plaque sizes available are:  5"" x 7"", 6"" x 8"", 7"" x 9"",  8"" x 10"" and 9"" x 12"".  Plates engrave gold.",,"http://media.asicdn.com/images/jpgb/22720000/22720263.jpg",,"Plaques-Laser Engraved,Plaques-General",,"Oak","Oak","Dimension","Length:5:in;Width:7:in,Length:6:in;Width:8:in,Length:7:in;Width:9:in,Length:8:in;Width:18:in,Length:9:in;Width:12:in,Length:10 1/2:in;Width:13:in","",,,"CHINA",,,,,,,"Laser Engraving",,"","Brass","","Y","","",,,"Y",,"10","Y","",,"Bulk","","","",,"","N","",,,,,,"5"" x 7"" Plaque - Tear Drop Plate",,,"1","3","6","12","24","48","100","250",,,"35.42","33.81","32.20","32.04","31.88","31.75","31.56","31.39",,,"R","R","R","R","R","R","R","R",,,,"laser engrave Tear Drop Plate.",,"USD",,"List","Laser Engraving","IMMD:Laser Engraving",,"Set-up Charge","Other","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550673161,"Oak Plaque with Hi-Relief Plate (Gold Trim)","",,,,,"This plaque is made of particle wood with an Oak finish. Edges are beveled.  5/8"" thick.  Key holes on back edges for hanging horizontally or vertically. Plates are Black with gold trim.  Plaque sizes available are: 6"" x 8"",  7"" x 9"",  8"" x 10"" and 9"" x 12"".  Plates engrave gold.",,"http://media.asicdn.com/images/jpgb/22700000/22709896.jpg",,"Plaques-Laser Engraved,Plaques-General",,"Oak","Oak","Dimension","Length:6:in;Width:8:in,Length:7:in;Width:9:in,Length:8:in;Width:10:in,Length:9:in;Width:12:in","",,,"CHINA",,,,,,,"Laser Engraving",,"","Brass","","Y","","",,,"Y",,"10","Y","",,"Bulk","","","",,"","N","",,,,,,"6"" x 8"" Plaque - Hi-Relief Plate",,,"1","3","6","12","24","48","100","250",,,"33.34","31.82","30.31","30.15","30.00","29.85","29.70","29.55",,,"R","R","R","R","R","R","R","R",,,,"laser engrave Hi-Relief Plate.",,"USD",,"List","Laser Engraving","IMMD:Laser Engraving",,"Set-up Charge","Other","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550672119,"Oak Plaque with Majestic Plate","",,,,,"This plaque is made of particle wood with an Oak finish. Edges are beveled.  5/8"" thick.  Key holes on back edges for hanging horizontally or vertically. Plates are Blue, Red, Green or Black with gold highlights and plaques are available in 3 sizes: 7"" x 9"", 8"" x 10"", and 9""x 12"".  Engraves gold.",,"http://media.asicdn.com/images/jpgb/22690000/22691503.jpg",,"Plaques-Laser Engraved,Plaques-General",,"Oak","Oak","Dimension","Length:7:in;Width:9:in,Length:8:in;Width:10:in,Length:9:in;Width:12:in","",,,"CHINA",,,,,,,"Laser Engraving, Unimprinted",,"","Brass","Y","Y","","",,,"Y",,"10","Y","",,"Bulk","","","",,"","N","",,,,,,"7"" x 9"" Plaque - Majestic Plate",,,"1","3","6","12","24","48","100","250",,,"41.63","39.74","37.85","37.66","37.47","37.28","37.09","36.90",,,"R","R","R","R","R","R","R","R",,,,"laser engraved Majestic Plate.",,"USD",,"List","Laser Engraving, Unimprinted","IMMD:Laser Engraving, Unimprinted",,"Set-up Charge","Other","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550673133,"Oak Plaque with Patina Marble Plate","",,,,,"This plaque is made of particle wood with an Oak finish. Edges are beveled.  5/8"" thick.  Key holes on back edges for hanging horizontally or vertically. Plates are Blue, Red, Green or Black with gold highlights.  Plaque sizes available are: 7"" x 9"", 8"" x 10"", and 9"" x 12"".  Plates engrave gold.",,"http://media.asicdn.com/images/jpgb/22700000/22704569.jpg",,"Plaques-Laser Engraved,Plaques-General",,"Oak","Oak","Dimension","Length:7:in;Width:9:in,Length:8:in;Width:10:in,Length:9:in;Width:12:in","",,,"CHINA",,,,,,,"Laser Engraving",,"","Brass","","Y","","",,,"Y",,"10","Y","",,"Bulk","","","",,"","N","",,,,,,"7"" x 9"" Plaque - Patina Marble Plate",,,"1","3","6","12","24","48","100","250",,,"41.63","39.74","37.85","37.66","37.47","37.28","37.09","36.90",,,"R","R","R","R","R","R","R","R",,,,"laser engraved Patina Marble Plate.",,"USD",,"List","Laser Engraving","IMMD:Laser Engraving",,"Set-up Charge","Other","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550673148,"Oak Plaque with Marble Mist Plate","",,,,,"This plaque is made of particle wood with an Oak finish. Edges are beveled.  5/8"" thick.  Key holes on back edges for hanging horizontally or vertically. Plates are Blue, Red, or Green with gold highlights.  Plaque sizes available are: 7"" x 9"", 8"" x 10"", and 9"" x 12"".  Plates engrave gold.",,"http://media.asicdn.com/images/jpgb/22700000/22704728.jpg",,"Plaques-Laser Engraved,Plaques-General",,"Oak","Oak","Dimension","Length:7:in;Width:9:in,Length:8:in;Width:10:in,Length:9:in;Width:12:in","",,,"CHINA",,,,,,,"Laser Engraving",,"","Brass","","Y","","",,,"Y",,"10","Y","",,"Bulk","","","",,"","N","",,,,,,"7"" x 9"" Plaque - Marble Mist Plate",,,"1","3","6","12","24","48","100","250",,,"41.63","39.74","37.85","37.66","37.47","37.28","37.09","36.90",,,"R","R","R","R","R","R","R","R",,,,"laser engraved Marble Mist Plate.",,"USD",,"List","Laser Engraving","IMMD:Laser Engraving",,"Set-up Charge","Other","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
