XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
6817093,"5"" Animal - Panda Bear","",,,,,"5"" panda with shirt.  We have replaced the plastic eyes and noses of this classic product with embroidered eyes and noses.  The use of embroidered eyes and noses eliminate any safety concerns and are safe for use by children.  These child-friendly animals are especially great for hospitals, safety programs, schools, and the medical industries.",,"http://media.asicdn.com/images/jpgb/5220000/5226879.jpg",,"STUFFED ANIMALS & TOYS",,"White-Black","","Dimension","Length:5:in","Panda Bear",,,"CHINA",,,,,,,"Printed",,"Art Services (Typeset charge.), Pre-production Proof, Art proof charge","Black, Green, Navy Blue, Other Colors, Red, Royal Blue, White, Yellow","","Y","1.75"" w x 1.25"" h","",,,"Y",,"7,10","","",,"","","","",,"","N","",,,,,,"",,,"48","200","500","800","1200",,,,,,"6.82","6.57","5.91","5.83","5.75",,,,,,"R","R","R","R","R",,,,,,,"one color imprint on the shirt.",,"USD",,"List","Art Services (Typeset charge.), Pre-production Proof, Art proof charge","ARTW:Art Services (Typeset charge.), Pre-production Proof, Art proof charge",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"18.75",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551097584,"2"" PANDA LIP GLOSS","",,,,,"2"" PANDA LIP GLOSS",,"http://media.asicdn.com/images/jpgb/24110000/24110597.jpg",,"LIPSTICKS & LIPSTICK HOLDERS,MAKE-UP/COSMETICS",,"Pink Bow,Purple Bow,Red Bow","","Dimension","Length:2:in","Panda Bear",,,"CHINA",,,,,,,"Pad Print, Silkscreen, Sublimation",,"Proof Charge (Proof charge), Art Services","standard primary colors","","","","",,,"Y",,"10,15","Y","3:	",,"","","","",,"","N","",,,,,,"",,,"25","50","75","100","150","250","500",,,,"4.25","3.85","3.75","3.65","3.55","3.45","3.35",,,,"R","R","R","R","R","R","R",,,,,"1 location, 1 color imprint.",,"USD",,"List","Sublimation, Silkscreen, Pad Print","IMMD:Sublimation, Silkscreen, Pad Print",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"40.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551097584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proof Charge (Proof charge), Art Services","ARTW:Proof Charge (Proof charge), Art Services",,"Artwork Charge","Other","Optional","",,,,,,,,,,"QUR",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551097584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 business days","RUSH:3",,"Rush Service Charge","Other","Required","",,,,,,,,,,"QUR",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550843904,"23 3 Assorted Neon Cuddle Pandas - Pink","",,,,,"23 3 Assorted Neon Cuddle Pandas - PinkSize 23 inchesAges 3 years Material Polyester Fiberfill",,"http://media.asicdn.com/images/jpgb/24350000/24352737.jpg",,"STUFFED ANIMALS & TOYS",,"","","","","",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","","","",,,"Y",,"","","",,"","","","",,"We provide free shipping to all ASI members with in the 48 contiguous states with no minimum purchase required.","N","",,,,,,"",,,"12",,,,,,,,,,"16.855",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550525324,"Pandas Journal","",,,,,"Mid-Size Pandas Journal. Gloss highlights, embossed. 160 lined pages. 6 1/4"" wide x8 1/4"" high. Bookbound hardcover. Elastic band place holder. Inside back cover pocket. Acid-free, archival paper.",,"http://media.asicdn.com/images/jpgb/22110000/22112890.jpg",,"JOURNALS",,"","","Dimension","Length:6 1/4:in;Width:8 1/4:in","",,,"CHINA",,,,,,,"4 Color, Foil Stamping, Unimprinted",,"Paper Proof","","Y","","","",,,"Y",,"10,120","","",,"","","","",,"","N","",,,,,,"Pandas Journal",,,"100","500","1000","3000","10000",,,,,,"8.79","7.47","6.59","5.28","4.40",,,,,,"R","R","R","R","R",,,,,,,"4 color custom designed cover on 3,000 pieces and above.",,"USD",,"List","4 Color, Foil Stamping, Unimprinted","IMMD:4 Color, Foil Stamping, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"13.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550525324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Product Sample","SMPL:Product Sample",,"Sample Charge","Other","Optional","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"plus set up.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551143731,"Panda wall charger","",,,,,"This wall charger is the perfect promotional canvas for your marketing promotion. Simply plug in the wall charger and use with your own smart phone or wireless accessory cables to charge. 2.1 A AND 1 A (For customize color have to be bulk order).",,"http://media.asicdn.com/images/jpgb/24270000/24271426.jpg",,"BATTERY RECHARGERS & ADAPTORS-GENERAL,PHONE ACCESSORIES",,"Red,Yellow,Orange,Purple,Blue,Black","Polypropylene","Dimension","Length:2 1/2:in;Width:1 3/4:in","",,,"CHINA",,,,,,,"Pad Print",,"","Assorted, Black, blue, Green, Orange, Purple, Red, White, Yellow","","","7/8"" L x 3/8"" W","1 color, 1 side, 1 location imprint.",,,"Y",,"15","Y","8:	",,"Individual Poly Bag","300:per Case","15.75:in;11.81:in;7.87:in","19.84:lbs",,"","N","",,,,,,"",,,"500","1000","3000","5000","10000",,,,,,"4.26","3.98","3.86","3.55","3.22",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550531018,"GOgroove Portable Stereo Speaker-Panda Animal Design","",,,,,"Rich, Hi-Def Sound. Featuring stereo drivers and a passive woofer, the Groove Pal can deliver powerful audio for any listening experience. This cute, user-friendly speaker loves to share its sound with kids and adults alike. Simply grab the built-in retractable 3.5mm cord from its back, plug it into your favorite media device's headphone port & you're ready to play crisp, clear music! Long-Lasting Battery. Built with a rechargeable battery the Groove Pal will last up to 6 hours on a single charge. Fully recharge the speaker in 2-3 hours with the included Micro-USB cable. Makes a perfect back to school gift for students and teachers. Kid-Friendly Design. The Groove Pal animal speaker features - movable arms, a glowing LED indicator, volume switch, an ON/OFF switch.",,"http://media.asicdn.com/images/jpgb/22130000/22138441.jpg",,"COMPUTER ACCESSORIES,Mobile Accessories-General,Speakers-General",,"Black-White","","","","Panda Bear",,,"CHINA",,,,,,,"Full Color Process, Unimprinted",,"","","Y","","1.5""W x 1""H","FRONT",,,"Y",,"7","","",,"","","","",,"","N","",,,,,,"GOgroove Portable Stereo Speaker-Panda Animal Design",,,"1",,,,,,,,,,"39.95",,,,,,,,,,"R",,,,,,,,,,,"1 color 1 location imprint",,"USD",,"List","Full Color Process, Unimprinted","IMMD:Full Color Process, Unimprinted",,"Imprint Method Charge","Per Order","Required","1",,,,,,,,,,"62.50",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550039205,"GOgroove Groove Pal KDZ Panda Over-Ear Headphones","",,,,,"DescriptionSpecial volume-limiting drivers keep audio at a decibel level thats safe for developing ears (85dB). Fun, super-cute animal designs look adorable on and off your head. Soft and comfy plush design - soft fur feels great on ears.",,"http://media.asicdn.com/images/jpgb/20300000/20303190.jpg",,"COMPUTER ACCESSORIES,Headphones-General",,"Multi color","","","","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"GOgroove Groove Pal KDZ Panda Over-Ear Headphones",,,"1",,,,,,,,,,"19.95",,,,,,,,,,"R",,,,,,,,,,,"Blank Goods",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
