XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
551166567,"Falcon Buckle Compu-Messenger","",,,,,"Bike messenger styling with professional function, including a checkpoint-friendly feature. The open main compartment has a protective flap that both buckles and has heavy-duty Velcro closures to keep your belongings secure. Zippered front pocket for additional storage. Deluxe organization and a nylex-lined iPad/Tablet pocket. TSA-friendly laptop sleeve is padded and removable holding most 17"" computers. Padded single strap has a quick-release seat belt buckle closure. The strap is made of high-quality nylon seat belt webbing and is adjustable by the use of a metal ratchet which also doubles as a bottle opener. Falcon Weather Guard materials used on the interior of the bag protects your belongings; reflective tape used on the exterior of the bag for night visibility. Rear trolley pass-t...",,"http://media.asicdn.com/images/jpgb/24510000/24512442.jpg",,"MESSENGER BAGS",,"Black (BK)","600d PolyCanvas and Tarpaulin","Dimension","Length:21:in;Width:15:in;Height:7.5:in","",,,"CHINA",,,,,,,"Embroidery, Silkscreen, Transfer, Unimprinted",,"","","Y","","3""H x 6""L, 3.5""H x 8""L","",,,"Y",,"","Y","",,"","12:per Case","19.49:in;16.93:in;18.11:in","35.92:lbs",,"","N","",,,,,,"IMPRINTED",,,"12",,,,,,,,,,"19.98",,,,,,,,,,"R",,,,,,,,,,,"Blank Product Only",,"USD",,"List","Transfer, Silkscreen, Embroidery, Unimprinted","IMMD:Transfer, Silkscreen, Embroidery, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"95.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550232922,"Hipster Deluxe Fanny Pack","",,,,,"Zippered main compartment. Zippered front pocket. Hidden zippered pocket on rear. Adjustable waist strap with buckle for putting on.",,"http://media.asicdn.com/images/jpgb/20920000/20926193.jpg",,"Bags-Fanny/Hip/Waist",,"Black,Royal Blue","210D Polyester","Dimension","Length:6:in;Width:16:in","",,,"CHINA",,,,,,,"ColorPrint, Unimprinted",,"Virtual Proof (Customer proof. Electronic paper proofs and item proofs are available upon request. Allow 1 additional day for processing.), Paper Proof (First paper proof is free)","","Y","","2""H x 4""L","",,,"Y",,"","","",,"Bulk","100:per Case","14:in;12:in;14  (none):in","20:lbs",,"","N","",,,,,,"IMPRINTED",,,"100","300","500","750","1000",,,,,,"4.94","4.58","4.22","3.85","3.49",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","ColorPrint, Unimprinted","IMMD:ColorPrint, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"per color/location at all quantitiesYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4867819,"Wenger(R) Leather Double Compartment Attache","",,,,,"Includes two main zippered compartments. Two front zippered pockets and organizer. Internal laptop sleeve, with Velcro strap for security, holds laptops up to 15"". Zippered rear pocket. 1.5"" expandable zippered compartment. Detachable, adjustable shoulder strap with leather accents. Signature Wenger(R) hardware and lining.",,"http://media.asicdn.com/images/jpgb/21340000/21340315.jpg",,"Bags-Leather,BRIEFCASES,LAPTOP SLEEVES/CASES",,"Black (BK)","Leather","Dimension","Length:16.88:in;Width:12:in;Height:6:in","",,,"CHINA",,,,,,,"Deboss, Deboss Initials, Unimprinted",,"","","Y","Y","0""H x 0""L, 1""H x 6""L, 2""H x 2""L","",,,"Y",,"5","Y","",,"Poly Bag, Bulk","6:per Case","25.97:in;18.11:in;14.17:in","40.16:lbs",,"Standard Master Carton Depth: 14.17","N","",,,,,,"UNIMPRINTED",,,"1","6","40","60","100",,,,,,"154.98","152.90","152.07","151.23","150.40",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","Deboss Initials, Deboss, Unimprinted","IMMD:Deboss Initials, Deboss, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"5.00",,,,,,,,,,"Z",,,,,,,,,,"Per locationYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4888040,"Deluxe Fanny Pack","",,,,,"Handing out this deluxe fanny pack during your next promotional campaign certainly won't be a ""waist"" of time! Measuring 12"" x 6"" and available in black and royal blue, this handy bag is made of 420-denier coated nylon and features three zippered pockets (main, front and rear). The waist strap is adjustable to a maximum size of 44"" to fit most body types. Customize with an imprint of your company name and logo to create a unique and memorable giveaway.",,"http://media.asicdn.com/images/jpgb/24080000/24081451.jpg",,"Bags-Fanny/Hip/Waist",,"BLACK,ROYAL BLUE","","Dimension","Length:12:in;Width:6:in","",,,"CHINA",,,,,,,"SILKSCREEN",,"Art Services (Art Charges will be assessed according to time, difficulty and amount of materials used. NOTE: All artwork received will be maxed out to our imprint area unless otherwise specified on your artwork and P.O.), Paper Proof (Paper Proofs will be Faxed unless otherwise noted on purchase order. Production begins after receipt of written proof approval.), Virtual Proof, Product Proof, Electronic Proofs will be Emailed unless otherwise noted on purchase order. Production begins after receipt of written proof approval.","Athletic Gold, Black, Brown, Burgundy, Forest Green, Gold, Gray, Kelly Green, Light Blue, Lime Green, Maroon, Navy Blue, Orange, Pink, Process Blue, Purple, Red, Royal Blue, Silver, Tan, Teal, White, Yellow","","Y","3 1/4"" x 1 1/2""","",,,"Y",,"3,10","Y","",,"Bulk, Special  - When special packaging is specified, an additional charge will be levied.  Please identify your customs brokers.","75:per Box","19.00:in;15.00:in;12.00:in","15:lbs",,"","N","",,,,,,"",,,"100","250","500","1000","2500",,,,,,"6.28","5.46","4.75","4.13","3.59",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List","SILKSCREEN","IMMD:SILKSCREEN",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"Per Color(if applies), Per LocationYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4950262,"Crunch Brief","",,,,,"Zippered main compartment and Velcro front pocket. Front mesh and USB pockets. Pen loops integrated in front carry handle. Adjustable shoulder strap. Rear ID window. Exclusive Leed's design.",,"http://media.asicdn.com/images/jpgb/20880000/20887288.jpg",,"BRIEFCASES",,"Black (BK),Royal (RYL)","600 Denier Polycanvas","Dimension","Length:16:in;Width:12:in;Height:3:in","",,,"CHINA",,,,,,,"PhotoGrafixx - 4, Silkscreen, Transfer, Unimprinted",,"","","Y","Y","5""H x 6""L","",,,"Y",,"5","Y","",,"Bulk","50:per Case","12.99:in;18.89:in;18.89:in","32.62:lbs",,"Standard Master Carton Depth: 18.89","N","",,,,,,"IMPRINTED",,,"48","150","300","450","600",,,,,,"8.80","8.45","8.10","7.75","6.98",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","Silkscreen, Transfer, PhotoGrafixx - 4, Unimprinted","IMMD:Silkscreen, Transfer, PhotoGrafixx - 4, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"95.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550366417,"Thermos(R)  Double Wall Hydration Bottle - 18 Oz","",,,,,"Meet your customers in their comfort zone and bring the 18 oz. Thermos (R) Double Wall hydration Bottle with you! It's BPA free, impact resistant and dishwasher durable. The double wall construction provides insulation while the silicone spout makes for comfortable drinking. The sweat proof design features an integrated carrying loop and a hygienic, rear push button, flip top lid with one-handed operation and locking switch. Bring stress free relief to your clients!",,"http://media.asicdn.com/images/jpgb/21420000/21426329.jpg",,"Bottles-Insulated,ENVIRONMENTALLY FRIENDLY PRODUCTS,TRAVEL MUGS/CUPS",,"Smoke","OTHER","","","",,,"CHINA",,,,,,,"Print",,"","","","Y","1.25W x 3H, 1.5W x 1.5H","Back Panel Center (Horizontal), Front Panel Center (Horizontal), Front Panel Center (Vertical)",,,"Y",,"","Y","1:	",,"","20:per Carton","24:in;16:in;11:in","15:lbs",,"","N","",,,,,,"Smoke",,,"24","48","96","300",,,,,,,"22.48","19.25","15.48","14.98",,,,,,,"R","R","R","R",,,,,,,,"1 color/1 location imprint",,"USD",,"List","Print","IMMD:Print",,"Set-up Charge","Per Order","Required","24",,,,,,,,,,"60.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
4867185,"Precision Deluxe Brief","",,,,,"Zippered main compartment. Zippered front pocket with full organization panel. Two side accessory pockets. Rear velcro pocket. Rear ID window. Haul handles. Detachable, adjustable shoulder strap.",,"http://media.asicdn.com/images/jpgb/20880000/20887501.jpg",,"BRIEFCASES",,"Black (BK)","600 Denier Polycanvas","Dimension","Length:18:in;Width:13.5:in;Height:4:in","",,,"CHINA",,,,,,,"Embroidery, PhotoGrafixx - 4, Silkscreen, Unimprinted",,"","","Y","Y","3""H x 6""L","",,,"Y",,"5","Y","",,"Bulk","24:per Case","18.5:in;12.99:in;11.81:in","26.1:lbs",,"Standard Master Carton Depth: 11.81","N","",,,,,,"IMPRINTED",,,"48","150","300","450","600",,,,,,"15.10","14.50","13.90","13.30","11.98",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","PhotoGrafixx - 4, Silkscreen, Embroidery, Unimprinted","IMMD:PhotoGrafixx - 4, Silkscreen, Embroidery, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"2.99",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7127343,"Zoom(R) Power2Go TSA 15"" Computer Backpack","",,,,,"The Zoom(R) Power2Go checkpoint-friendly backpack is the solution to traveling with all of your mobile tech. The main compartment features a dedicated neoprene pocket for mobile power that will fit all of our Zoom(TM) Power devices as well as most aftermarket power solutions (not included). The smart organization inside the bag allows you to power the devices while they're in the bag by providing ports inside the bag to the front organizer pocket as well as the side pocket. Also allows you to charge your power block without having to remove it from the bag. Neoprene keyboard pocket included (fits Apple wireless keyboard) in the main compartment. Front organizer pocket has spots for your full size iPad/tablet as well as iPad Mini and smartphone. Rear adjustable straps and padded trolley ...",,"http://media.asicdn.com/images/jpgb/20860000/20866981.jpg",,"BACKPACKS,LAPTOP SLEEVES/CASES",,"Black (BK)","420 Denier Poly","Dimension","Length:13.5:in;Width:19.5:in;Height:8:in","",,,"CHINA",,,,,,,"Embroidery, PhotoGrafixx - 4, Transfer, Unimprinted",,"","","Y","","4.5""H x 4.5""L, 6""H x 7""L","",,,"Y",,"5","Y","",,"Bulk","12:per Case","20.08:in;14.96:in;23.03:in","41.68:lbs",,"Standard Master Carton Depth: 14.96063","N","",,,,,,"IMPRINTED",,,"6","20","40","60","100",,,,,,"84.40","81.05","77.70","74.35","66.98",,,,,,"R","R","R","R","R",,,,,,,"Blank Product Only",,"USD",,"List","PhotoGrafixx - 4, Transfer, Embroidery, Unimprinted","IMMD:PhotoGrafixx - 4, Transfer, Embroidery, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"2.99",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6293990,"Aluminum Flashlight / 6 LED's","",,,,,"Aluminum flashlight with 6 white LED bulbs. Includes rear ON/OFF button. Includes button cell batteries.",,"http://media.asicdn.com/images/jpgb/7430000/7435559.jpg",,"Flashlights-Miniature-2-1/2"" or Less,LED PRODUCTS",,"Black,Blue,Red,Silver","Aluminum","Dimension","Length:1 3/4:in;Width:1 1/4:in","",,,"CHINA",,,,,,,"Laser Engraving, Unimprinted",,"","Black, Blue, Brown, Burgundy, Gold, Gray-Cool Gray, Green, Magenta, Navy blue, Orange, Process Blue, Purple, Red, Reflex Blue, Silver, Teal, White, Yellow","Y","Y","3/4"" x 1/2""","",,,"Y",,"10","Y","4:	",,"Factory  Gift Box (Black).","","","",,"","N","",,,,,,"Aluminum Flashlight / 6 LED's",,,"50","100","150","250","500",,,,,,"4.48","4.27","4.09","3.94","3.81",,,,,,"R","R","R","R","R",,,,,,,"1 location laser engraving.",,"USD",,"List","Laser Engraving, Unimprinted (Sold Unimprinted)","IMMD:Laser Engraving, Unimprinted (Sold Unimprinted)",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"60.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550074882,"New Balance(R) 574 Classic 15"" Computer Backpack","",,,,,"Icons never go out of style. The 574 collection fuses classic styling with modern needs. This computer backpack fits up to a 16"" laptop along with your iPad or tablet with its multi-compartment design. Rear tablet pocket gives you quick access without having to unzip the main compartment. Additional large zippered compartment fits all of your folders, binders, or clothes. Two pop-out pockets on the front, including the bottom flap with magnetic closure, fit your accessories like cords, pens, flash drives, and iPhone or any other smartphone. One side zippered pocket and one side slash pocket to give you additional packing options. Adjustable padded backpack straps along with the 18oz cotton construction make this the most comfortable bag you will ever own. New Balance(R) branding, custom...",,"http://media.asicdn.com/images/jpgb/20890000/20892344.jpg",,"BACKPACKS,LAPTOP SLEEVES/CASES",,"Navy (NY)","Cotton Canvas","Dimension","Length:11.75:in;Width:17.25:in;Height:6.75:in","",,,"CHINA",,,,,,,"Embroidery, Embroidery Initials, Embroidery Name, Unimprinted",,"","","Y","","0""H x 0""L, 3""H x 3""L","",,,"Y",,"5","Y","",,"Bulk","10:per Case","18.11:in;14.96:in;18.9:in","30.84:lbs",,"Standard Master Carton Depth: 18.89764","N","",,,,,,"IMPRINTED",,,"12",,,,,,,,,,"44.98",,,,,,,,,,"R",,,,,,,,,,,"Blank Product Only",,"USD",,"List","Embroidery Initials, Embroidery, Embroidery Name, Unimprinted","IMMD:Embroidery Initials, Embroidery, Embroidery Name, Unimprinted",,"Imprint Method Charge","Per Order","Required","1",,,,,,,,,,"5.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
