XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
5645186,"11 oz aluminum sports bottle","",,,,,"Sprint to a triumphant promotional finish line with this sleek Sport Bottle! This 11 oz. bottle is just the item to attract some positive attention for your business. Make this a smart business investment by adding on a personal message or your company name or logo for some brand awareness. Please be advised the item is not dishwasher safe and not made to be microwaved. Your brand will look sharp on this bottle!",,"http://media.asicdn.com/images/jpgb/6220000/6223013.jpg",,"Bottles-Sport Type",,"Blue,Pink","Aluminum","Volume/Weight","11:oz","",,,"CHINA",,,,,,,"Printed",,"","","","","","",,,"Y",,"7","","",,"","","","36 pieces / 14:lbs",,".","N","",,,,,,"11 oz aluminum sports bottle",,,"72","144","288","576","1008",,,,,,"2.79","2.79","2.79","2.79","2.79",,,,,,"R","R","R","R","R",,,,,,,"1 color, 1 location imprint.",,"USD",,"List","Printed","IMMD:Printed",,"Set-up Charge","Other","Required","1",,,,,,,,,,"45.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7045150,"Executive Pen Collection Twist Action Pen","",,,,,"Draw some positive attention to your marketing campaign with the Executive Pen Collection Twist Action Pen! This sleek and stylish pen includes long-lasting ink and a free blue ink refill for added convenience. An ideal promotional gift or giveaway for banks, insurance companies, fundraisers and much more, don't forget to have your company name or logo imprinted on the surface of this promotional pen for some added brand awareness.",,"http://media.asicdn.com/images/jpgb/6220000/6222168.jpg",,"Pens-Ballpoint-Twist Action",,"","","Dimension","Length:5.25:in;Width:0.5:in","",,,"CHINA",,,,,,,"Printed, Unimprinted",,"","","Y","","1.25"" X 0.25""","",,,"Y",,"10","Y","",,"","","","7:lbs",,"per 100","N","",,,,,,"Executive Pen Collection Twist Action Pen",,,"100","250","500","1000",,,,,,,"7.25","6.90","6.70","6.50",,,,,,,"R","R","R","R",,,,,,,,"pen with printed logo in one location comes with long-lasting ink",,"USD",,"List","Printed, Unimprinted (Sold Unimprinted)","IMMD:Printed, Unimprinted (Sold Unimprinted)",,"Set-up Charge","Other","Required","1",,,,,,,,,,"30.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint chargeYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5136089,"Men's Gold Ring, 14K","",,,,,"Nothing says style and class quite like this Men's Gold Ring that will have your customers clamoring! This eye-catching stock shape gold ring comes in a variety of karat options to choose from. Make this a smart business investment by adding on a personal message or your company name or logo for some brand awareness. You are sure to turn some heads with this ring around your finger! A special gift for anniversaries or fraternal members!",,"http://media.asicdn.com/images/jpgb/21370000/21373827.jpg",,"Jewelry-Mens,RINGS",,"","Gold","","","",,,"CHINA",,,,,,,"Printed",,"Art Services","","","","","",,,"Y",,"15","Y","",,"Gift Boxes","","","",,"","N","",,,,,,"Men's Gold Ring, 14K",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List","Art Services","ARTW:Art Services",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"30.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5645157,"16 oz stainless steel travel mug","",,,,,"Looking for a gift that's bound to attract some attention? Then you should consider this Travel Mug! This mug measures 16 oz. and is equipped with a stainless steel liner that will keep your liquids at the perfect temperature. Make this a smart business investment by adding on a personal message or your company name or logo for some brand awareness. Please be advised the item is not dishwasher safe and not made to be microwaved.",,"http://media.asicdn.com/images/jpgb/6220000/6223009.jpg",,"TRAVEL MUGS/CUPS",,"","Stainless Steel","Volume/Weight","16:oz","",,,"CHINA",,,,,,,"Printed",,"","","","","","",,,"Y",,"7","","",,"","","","36 pieces / 27:lbs",,".","N","",,,,,,"16 oz stainless steel travel mug",,,"72","144","288","576","1008",,,,,,"5.99","5.79","5.69","5.59","5.49",,,,,,"R","R","R","R","R",,,,,,,"1 color, 1 location imprint.",,"USD",,"List","Printed","IMMD:Printed",,"Set-up Charge","Other","Required","1",,,,,,,,,,"45.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6062122,"Clapping Hands Noise Maker","",,,,,"Give your company a hand with these clapping hands noise makers.They make a great party favors and are some of the funniest novelty items at sporting events; or anywhere you want to make some noise! Shake back and forth for a clapping noise.Products are not intended for use by children or pets",,"http://media.asicdn.com/images/jpgb/7140000/7149464.jpg",,"Cheering Accessories-General,NOISEMAKERS",,"White","","Dimension","Length:7.5:in;Width:3.25:in","Hand",,,"CHINA",,,,,,,"Pad Print, Unimprinted",,"","Black, Brown, Gray, Green, Magenta, Metallic Gold, Metallic Silver, Orange, Purple, Red, Reflex Blue, Ultramarine Blue, White, Yellow","Y","Y","1"" x 1""","",,,"Y",,"4,5","Y","1:,2:	",,"","","","",,"","N","",,,,,,"Clapping Hands Noise Maker",,,"150","250","500","1000","2500",,,,,,"0.70","0.62","0.58","0.53","0.51",,,,,,"R","R","R","R","R",,,,,,,"Running charge for the first color/location imprint",,"USD",,"List","Pad Print, Unimprinted","IMMD:Pad Print, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"40.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6062122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 business days,2 business days","RUSH:1,2",,"Rush Service Charge","Other","Required","150",,,,,,,,,,"QUR",,,,,,,,,,"Z",,,,,,,,,,"Plus 30% of original cost of product. 2500 pieces maximum.You may order less than the minimum quantity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5136078,"Ladies Gold Ring","",,,,,"Is there anything a woman loves more than a ring? Please all of your female customers with the Ladies Gold Ring! This gold ring comes in a variety of karat options to choose from. Make this a smart business investment by adding on a personal message or your company name or logo for some brand awareness. You are sure to turn some heads with this ring around your finger! One finger size per order please.",,"http://media.asicdn.com/images/jpgb/23910000/23914227.jpg",,"Jewelry-General,RINGS",,"","Gold","","","",,,"CHINA",,,,,,,"Printed",,"Art Services (Artwork change will be charged at a flat fee. For each modification, add fee.)","","","","","",,,"Y",,"15","Y","",,"Gift Boxes","25:per Case","","2:lbs",,"","N","",,,,,,"Ladies Gold Ring",,,"",,,,,,,,,,"QUR",,,,,,,,,,"R",,,,,,,,,,,"Prices subject to fluctuations in the precious metals market. Please contact our factory for quote.",,"USD",,"List","Printed","IMMD:Printed",,"Imprint Method Charge","Per Order","Required","1",,,,,,,,,,"350.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5136078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art Services (Artwork change will be charged at a flat fee. For each modification, add fee.)","ARTW:Art Services (Artwork change will be charged at a flat fee. For each modification, add fee.)",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"30.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550845892,"Black Headband with Assorted Feathers","",,,,,"Black headband with some plain and some polka dotted feathers hanging from a straight chain in assorted colors. Chain hangs about 12 inches from bottom of the headband.36 Pieces per packageIndividually packagedFeather themed accessories",,"http://media.asicdn.com/images/jpgb/24350000/24354752.jpg",,"HEADBANDS",,"","","","","",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","","","",,,"Y",,"","","",,"","","","",,"We provide free shipping to all ASI members with in the 48 contiguous states with no minimum purchase required.","N","",,,,,,"",,,"36",,,,,,,,,,"3.182",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550735834,"Delta Sobo Glue 4 oz. Bottle","",,,,,"Delta Sobo Glue- Size 4 oz. bottleSobo Glue is a superior all-purpose white glue that has good tack and is ideal for crafting with paper some fabrics and most other porous craft materials.The special non-yellowing formula dries clear and flexible Will not bleed through or stain paper or craft fabrics Use on porous and semi-porous surfaces like paper wood chenille leather yarn and some non-washable fabrics like felt Can also be used to make papier mache",,"http://media.asicdn.com/images/jpgb/24390000/24398297.jpg",,"GLUE",,"","","","","",,,"CHINA",,,,,,,"Unimprinted",,"","","Y","","","",,,"Y",,"","","",,"","","","",,"We provide free shipping to all ASI members with in the 48 contiguous states with no minimum purchase required.","N","",,,,,,"",,,"3",,,,,,,,,,"5.40",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
