XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
550199472,"Large Format Expandable Display Wall (4 ft x 8 ft SS)","",,,,,"Expandable event wall display is an interesting and dynamic way to show your brand off at any event, whether that be a trade show or a red carpet event where a step-and-repeat is needed. Adjustable model has walls that feature lightweight commercial-grade aluminum frames that are simple to assemble. Single sided full color digital graphics on polyester fabric. Warranty: 1 year hardware/30 days fabric. Includes 48""x96"" full color polyester banner, black powder-coated frame and carry bag.",,,,"SIGN & DISPLAY ACCESSORIES,Signs & Displays-Exhibit Booths,Signs & Displays-Point of Purchase/Sale,Signs & Displays-General,TRADE SHOW DISPLAYS",,"","Polyester-Aluminum","","","",,,"CHINA",,,,,,,"sublimation",,"","","","","","",,,"Y",,"20","Y","10:	",,"","1:per Case","4 ':in;1 ':in;8 ':in","",,"","N","",,,,,,"Banner Stand 4x8 Single Sided",,,"1","5","10","20","50",,,,,,"369.00","339.00","299.00","269.00","239.00",,,,,,"R","R","R","R","R",,,,,,,"Black adjustable aluminum banner stand with a single sided full color polyester banner.",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
200201362,"Large Format Expandable Display Wall (8 ft x 8 ft SS)","",,,,,"Expandable event wall display is an interesting and dynamic way to show your brand off at any event, whether that be a trade show or a red carpet event where a step-and-repeat is needed. Adjustable model has walls that feature lightweight commercial-grade aluminum frames that assemble via simple push-button snaps. Single sided full color digital graphics on polyester fabric. Warranty: 1 year hardware/30 days fabric. Includes 96""x96"" banner and black powder-coated frame.",,,,"Signs & Displays-Exhibit Booths,Signs & Displays-Point of Purchase/Sale,Signs & Displays-General,TRADE SHOW DISPLAYS",,"","Polyester-Aluminum","Dimension","Length:96:in;Width:96:in","",,,"CHINA",,,,,,,"Dye Sublimation, Full Color Process",,"","","","","48"" - 96""","",,,"Y",,"20","Y","",,"","","8 ':in;1 ':in;8 ':in","",,"","N","",,,,,,"Banner Stand 8x8 Single Sided",,,"1","5","10","50","100",,,,,,"579.00","519.00","459.00","419.00","379.00",,,,,,"R","R","R","R","R",,,,,,,"Black adjustable aluminum banner stand with a single sided full color polyester banner.",,"USD",,"List","Dye Sublimation, Full Color Process","IMMD:Dye Sublimation, Full Color Process",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"100.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge                                                                            Imprint Size : 48"" - 96""",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6654257,"36 Can Snap Down Tote Marine Ultra SS","",,,,,"36 Can Snap Down Tote Marine Ultra Softside Cooler. Heavy duty, easy clean, anti-mildew exterior with added UV protection. Corrosion-resistant hardware to survive marine conditions. Ultra thick insulation: 1.1"" thick extruded closed cell foam. Comfort wrap handle and removable shoulder strap. Leak resistant, easy to clean, antimicrobial liner. front and side pockets for extra storage. Clip down ends for added cold retention. 17"" L x 16.73"" W x 12.6"" H.",,,,"ANTIMICROBIAL ENHANCED PRODUCTS,COOLERS,Holders-Beverage Container-General,Tote Bags-General",,"White-Black","","Dimension","Length:17:in;Width:11:in;Height:16:in","Rectangle",,,"CHINA",,,,,,,"4/C Color Heat Transfer",,"","","","Y","7"" W x 2.25"" H","Front panel (W x H)",,,"Y",,"5","Y","1:,3:	",,"Bulk","2:per Box","19.69:in;16.73:in;12.6:in","6.17:lbs",,"30 Boxes/Pallet 262.12 lbs 50"" L x 40""W x 81.546"" H","N","",,,,,,"36 Can Snap Down Tote Marine Ultra SS (R)",,,"1","12","25","50","100","500",,,,,"74.60","56.23","54.89","51.96","50.76","48.73",,,,,"R","R","R","R","R","R",,,,,,"36 Can Snap Down Tote Marine Ultra SS with 4/C Color Heat Transfer (R)",,"USD",,"List","4/C Color Heat Transfer","IMMD:4/C Color Heat Transfer",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"35.00",,,,,,,,,,"Z",,,,,,,,,,"1 Time Setup (R)",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6654257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 business days,3 business days","RUSH:1,3",,"Rush Service Charge","Other","Required","",,,,,,,,,,"QUR",,,,,,,,,,"Z",,,,,,,,,,"Minimum Rush Charge (R)                                                                            Product Option(Rush service up-charge.  Please contact factory for current availability at the time of order.) : 2 day rush add 30% additional charge to entire order., 3 day rush add 25% additional charge to entire order., 1 day rush add 40% additional charge to entire order.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550465833,"SS-02 Selfie Stick","",,,,,"FREE LASER ENGRAVINGS AND SHIPPING. Wired Selfie Stick. Plug in your smart phone and take photos with the built in button. Works with most smart phones.",,,,"Mobile Accessories-Selfie Sticks,PHONE ACCESSORIES",,"Black,Blue,Yellow,Pink","","","","",,,"CHINA",,,,,,,"Laser Engraved",,"","","","","","",,,"Y",,"10","Y","6:,9:	",,"","","","",,"","N","",,,,,,"SS-01 Selfie Stick",,,"50","100","250","500","1000","2500",,,,,"8.36","6.96","6.20","5.87","5.60","5.16",,,,,"R","R","R","R","R","R",,,,,,"N/A",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550673181,"MUG Party Cup SS","",,,,,"16 oz. brushed stainless steel party cup. Just like your favorite beer pong cup  . . . but way better. 1 color, one or two location imprint included. 6 day production time. 4.75""h x 3.75""w. One color imprint only.",,,,"Cups-General,Mugs & Steins-Metal,Mugs & Steins-General,STADIUM CUPS,TRAVEL MUGS/CUPS",,"Stainless","Stainless Steel","Volume/Weight","16:oz","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Paper Proof (Free with one free revision)","012, 021, 032, 072, 111, 123, 131, 132, 142, 151, 167, 186, 187, 197, 202, 217, 2563, 261, 2627, 2756, 2915, 315, 322, 327, 3375, 340, 350, 356, 369, 385, 483, 7401, 7506, 7546, Black, Cool Gray 4 Cool Gray 8, Matte Gold, Matte Silver, Process Blue, Reflex Blue, Warm Grey 6, Warm Grey 9, White","Y","Y","1.75""H x 2.5""h","one or two sides (One color/one location)",,,"Y",,"6","","",,"Bulk","50:per Case","","27:lbs",,"50 pcs = 27 lbs","N","",,,,,,"MUG Party Cup SS",,,"100","250","500","1000",,,,,,,"5.00","4.45","4.20","4.05",,,,,,,"R","R","R","R",,,,,,,,"One color, one location",,"USD",,"List","Silkscreen, Unimprinted (Sold Unimprinted)","IMMD:Silkscreen, Unimprinted (Sold Unimprinted)",,"Set-up Charge","Other","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge one color one side onlyYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550750712,"CAN HOLDER SS","",,,,,"Stainless steel can holder with 3/8"" thick removable black foam interior insert and non slip foam bottom. 4"" tall x 3.375"" wide.. Available in brushed stainless. One color/one or two location imprint included. 6 day production.",,,,"BEVERAGES,Holders-Beverage Container-Wrap Around,Holders-Beverage Container-General,Holders-General",,"Silver","Stainless Steel","Volume/Weight","12:oz","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Paper Proof (Free with one free revision)","012, 021, 032, 072, 111, 123, 131, 132, 142, 151, 167, 186, 187, 197, 202, 217, 2563, 261, 2627, 2756, 2915, 315, 322, 327, 3375, 340, 350, 356, 369, 385, 483, 7401, 7506, 7546, Black, Cool Gray 4 Cool Gray 8, Matte Gold, Matte Silver, Process Blue, Reflex Blue, Warm Grey 6, Warm Grey 9, White","Y","Y","1.75"" high x 3"" wide","each side (H x W)",,,"Y",,"6","","",,"Bulk","50:per Case","","20:lbs",,"100 pcs = 40 lbs","N","",,,,,,"Stainless steel can holder",,,"100","250","500","1000",,,,,,,"5.00","4.39","4.19","4.05",,,,,,,"R","R","R","R",,,,,,,,"One color, one or two location imprint",,"USD",,"List","Silkscreen, Unimprinted (Sold Unimprinted)","IMMD:Silkscreen, Unimprinted (Sold Unimprinted)",,"Set-up Charge","Other","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint chargeYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551043523,"MASON JAR-H SS","",,,,,"22 oz. single wall stainless steel mason jar with handle and screw on stainless steel lid and clear straw. 5.5"" tall.  One color maximum, one or two location imprint. 6 day production.",,,,"BAR ACCESSORIES,Mugs & Steins-Insulated,Mugs & Steins-Metal,Mugs & Steins-General,TRAVEL MUGS/CUPS",,"Silver","Stainless Steel","Volume/Weight","22:oz","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Paper Proof (Free with one free revision)","012, 021, 032, 072, 111, 123, 131, 132, 142, 151, 167, 186, 187, 197, 202, 217, 2563, 261, 2627, 2756, 2915, 315, 322, 327, 3375, 340, 350, 356, 369, 385, 483, 7401, 7506, 7546, Black, Cool Gray 4 Cool Gray 8, Matte Gold, Matte Silver, Process Blue, Reflex Blue, Warm Grey 6, Warm Grey 9, White","Y","Y","2.25"" x 2.25""w","",,,"Y",,"6","","",,"Bulk","25:per Case","","11:lbs",,"100 pcs = 44 lbs","N","",,,,,,"MASON JAR-H SS",,,"100","250","500","1000",,,,,,,"7.30","6.65","6.40","6.20",,,,,,,"R","R","R","R",,,,,,,,"One color, one or two sides. One color imprint maximum.",,"USD",,"List","Silkscreen, Unimprinted (Sold Unimprinted)","IMMD:Silkscreen, Unimprinted (Sold Unimprinted)",,"Set-up Charge","Other","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge one color one side onlyYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
551043960,"MASON JAR SS-P","",,,,,"22 oz. DOUBLE wall stainless steel mason jar with screw on clear plastic lid and straw. 5.5"" tall.  One color maximum, one or two location imprint. 6 day production.",,,,"BAR ACCESSORIES,Mugs & Steins-Insulated,Mugs & Steins-Metal,Mugs & Steins-General,TRAVEL MUGS/CUPS",,"Stainless","Plastic,Stainless Steel","Volume/Weight","22:oz","",,,"CHINA",,,,,,,"Silkscreen, Unimprinted",,"Paper Proof (Free with one free revision)","012, 021, 032, 072, 111, 123, 131, 132, 142, 151, 167, 186, 187, 197, 202, 217, 2563, 261, 2627, 2756, 2915, 315, 322, 327, 3375, 340, 350, 356, 369, 385, 483, 7401, 7506, 7546, Black, Cool Gray 4 Cool Gray 8, Matte Gold, Matte Silver, Process Blue, Reflex Blue, Warm Grey 6, Warm Grey 9, White","Y","Y","1.5"" h x 2.5""W","",,,"Y",,"6","","",,"Bulk","25:per Case","","16.5:lbs",,"100 pcs = 44 lbs","N","",,,,,,"MASON JAR SS-P",,,"100","250","500","1000",,,,,,,"7.75","7.10","6.75","6.60",,,,,,,"R","R","R","R",,,,,,,,"One color, one or two sides. One color imprint maximum.",,"USD",,"List","Silkscreen, Unimprinted (Sold Unimprinted)","IMMD:Silkscreen, Unimprinted (Sold Unimprinted)",,"Set-up Charge","Other","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge one color one side onlyYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550807325,"1/24 Scale 7"" Remote Control Car 2016 Chevrolet Camaro SS","",,,,,"1/24 Scale 7"" Remote Control Car 2016 Chevrolet Camaro SS. Pistol Grip Hand Controller. Featuring rims by premiere wheel makers. Optional 2 AA batteries or vehicle and 2 AAA Batteries for controller are optional.",,,,"MINIATURES & REPLICAS",,"Red","","","","",,,"CHINA",,,,,,,"Full Color, Unimprinted",,"Art Services","","Y","","","",,,"Y",,"10,14","Y","5:,7:	",,"Gift Boxes, Case","","","",,"","N","",,,,,,"1/24 Scale 7"" Remote Control Car 2016 Chevrolet Camaro SS",,,"24","48","96","144","288",,,,,,"27.50","27.00","26.50","26.00","25.50",,,,,,"R","R","R","R","R",,,,,,,"4 color process; 2 sides;1 location  Setup: $125.00(V)",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
