XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
6569875,"Orb Art Glass Award","",,,,,"Artistry, color and design collide to make this award stunning backdrop for your recognition statement.  All Art Glass Awards Available with This colorful orb art glass award is a stunning backdrop for your recognition statement! At an overall size of 3 1/4"" diameter, this ball-shaped keepsake is the perfect centerpiece at employee or sports awards banquets. Disclaimer: Due to the individual hand crafting of each art glass award, no two pieces will be identical. Reasonable variations in size, weight, shape and color will occur. Bubbles and flow marks are not considered defects.Clear (Base AC) or Black (Base AB) acrylic bases, at an additional cost.",,,,"Awards-Glass",,"","Glass","Dimension","Length:3 1/4:in;Width:3 1/4:in;Height:3 1/4:in","Flame",,,"CHINA",,,,,,,"Sand Etch, Screen Printed, Unimprinted",,"Art Services, Paper Proof, Other (PreProduction Proof), Virtual Proof","Black, Cool Grey 2, Fire Red, Frost, Pink, Purple, stock brown, Stock Burgundy, Stock Green, Stock Metallic Gold, Stock Metallic Silver, Stock Navy Blue, Stock Orange, Stock Pantone Green, Stock Pantone Process Blue, Stock Pantone Reflex Blue, Stock Pantone Yellow, Stock Red, Stock Teal, White","Y","Y","2"" Dia","",,,"Y",,"7,10","Y","",,"Gift Boxes","1:per Case","12:in;12:in;8:in","1.5:lbs",,". (1 pcs)","N","",,,,,,"Orb Art Glass Award",,,"6","12","25","50","100",,,,,,"22.50","15.50","14.50","13.50","12.50",,,,,,"R","R","R","R","R",,,,,,,"one color, one position silkscreen imprint, 2"" dia.",,"USD",,"List","Screen Printed, Sand Etch, Unimprinted","IMMD:Screen Printed, Sand Etch, Unimprinted",,"Set-up Charge","Other","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6569875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art Services, Paper Proof, Other (PreProduction Proof), Virtual Proof","ARTW:Art Services, Paper Proof, Other (PreProduction Proof), Virtual Proof",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5925569,"Sevilla Art Glass Awards","",,,,,"Give the ""royal"" treatment to your worthy recipients! Royal purple teardrops are layered in this Sevilla art glass award and surrounded by crystal-clear glass commemorating significant achievement or recognition. Disclaimer: Due to the individual hand crafting of each art glass award, no two pieces will be identical in size, weight, shape or color as variations will occur. Bubbles and flow marks are not considered defects.",,,,"Awards-Glass",,"","Glass","Dimension","Length:3 1/2:in;Width:3 1/2:in;Height:6 1/2:in","Teardrop",,,"CHINA",,,,,,,"Sand Etch, Screen Printed, Unimprinted",,"Art Services, Paper Proof, Other (PreProduction Proof), Virtual Proof","Frost, Metallic Silver, White","Y","Y","2 1/4"" x 2 1/4""","",,,"Y",,"7,10","Y","",,"Gift Boxes","1:per Case","12:in;8:in;8:in","2.75:lbs",,". (1 pcs)","N","",,,,,,"Sevilla Art Glass Awards",,,"6","10","25","50",,,,,,,"26.99","21.99","20.99","19.99",,,,,,,"R","R","R","R",,,,,,,,"one color, one position silkscreen imprint, 2 1/4"" x 2 1/4"".",,"USD",,"List","Screen Printed, Sand Etch, Unimprinted","IMMD:Screen Printed, Sand Etch, Unimprinted",,"Set-up Charge","Other","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5925569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art Services, Paper Proof, Other (PreProduction Proof), Virtual Proof","ARTW:Art Services, Paper Proof, Other (PreProduction Proof), Virtual Proof",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5048177,"Clear 13 oz arc nordic glass coffee mug","",,,,,"This 13 oz. clear glass coffee mug with handle features a smooth rim and thick base. Measuring 3.25"" W x 3.75"" H,  this elegant glass mug is perfect for trade shows, gift shops, corporate incentives and more. It will make a wonderful addition to any kitchen or office setting. Have your company name or logo imprinted on the surface for a customized gift or accessory. Your customers can use this mug every day for their favorite beverage of choice!",,,,"Mugs & Steins-Glass",,"Clear","Glass","Volume/Weight","13:oz","",,,"CHINA",,,,,,,"Decal, Silkscreen, Unimprinted",,"","","Y","","2.25"" x 1.5""","",,,"Y",,"10","Y","2:,3:	",,"Gift Box
                                        




                                                         : Gift Box
                                                    



                                                                            Imprint Charges :  Charge (Imprint Charge)
                                                                            

Charge Type:  Charge   
    (Other)   





Quantity
            
1




Price
$0.39





Price Includes: N/A","","","",,"Shipped separately. Item will not be packaged in a gift box. 24 per box.","N","",,,,,,"Clear 13 oz arc nordic glass coffee mug",,,"36","72","144","288","576","1008",,,,,"5.40","3.94","3.12","3.00","3.00","3.00",,,,,"R","R","R","R","R","R",,,,,,"one color, one or two location imprint.",,"USD",,"List","Silkscreen, Decal, Unimprinted (Sold Unimprinted)","IMMD:Silkscreen, Decal, Unimprinted (Sold Unimprinted)",,"Imprint Method Charge","Other","Required","1",,,,,,,,,,"49.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5048155,"Clear 10 oz Arc handy glass coffee mug","",,,,,"This clear 10 oz. glass coffee mug features a protruding base, thick handle and a smooth rim. With an overall size of 3.1"" W x 3.5"" H, this elegant glass mug is great for trade shows, gift shops, corporate incentives and cafes. It will make a wonderful addition to any kitchen or office setting. Have your company name or logo imprinted on the surface for a customized executive gift or accessory. Your customers can use this mug every day for their favorite beverage of choice!",,,,"Mugs & Steins-Glass",,"Clear","Glass","Volume/Weight","10:oz","",,,"CHINA",,,,,,,"Decal, Silkscreen, Unimprinted",,"","","Y","","2.25"" x 1.5""","",,,"Y",,"10","Y","2:,3:	",,"Gift Box
                                        




                                                         : Gift Box
                                                    



                                                                            Imprint Charges :  Charge (Imprint Charge)
                                                                            

Charge Type:  Charge   
    (Other)   





Quantity
            
1




Price
$0.39





Price Includes: N/A","","","",,"Shipped separately. Item will not be packaged in a gift box. 12 per box.","N","",,,,,,"Clear 10 oz Arc handy glass coffee mug",,,"36","72","144","288","576","1008",,,,,"4.82","3.15","2.43","2.32","2.32","2.32",,,,,"R","R","R","R","R","R",,,,,,"one color, one or two location imprint.",,"USD",,"List","Silkscreen, Decal, Unimprinted (Sold Unimprinted)","IMMD:Silkscreen, Decal, Unimprinted (Sold Unimprinted)",,"Imprint Method Charge","Other","Required","1",,,,,,,,,,"49.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550924976,"16 Oz. Classic Ale Pint Glass","",,,,,"Say cheers to a successful ad campaign when you include this 16 oz. Classic Ale Pint Glass to your promotional package! It's a great glass for gatherings with friends, whether you're celebrating with a party, just hanging out at the bar or getting together for a work function with coworkers. The 5 3/4"" H glass item can be customized with your company's name, logo or advertising message to spread your branding message near and far as everyone enjoys the occasion!",,,,"Glasses-Drinking-Beer Jars,Glasses-Drinking-Pilsner,Mugs & Steins-Glass",,"Clear","Glass","Volume/Weight","16:oz","",,,"CHINA",,,,,,,"Pad Print, Silkscreen",,"","Athletic Gold, Brown, Dark Blue, Dark Green, Forest Green, Gray, Green/Kelly Green, Light Blue, Lime Green, Maroon, Metallic Gold, Metallic Silver, navy blue, Orange, Process Blue, Purple, Red, Royal Blue, Tan, Teal, Yellow","","","2 1/2"" x 2 1/2"", 5"" x 2 1/2""","SIDE1(SIDE1), SIDE2(SIDE2), WRAP IMPRINT(WRAP)",,,"Y",,"3,10","","",,"","24:per Box","18.00:in;14.00:in;13.00:in","23:lbs",,"24 per carton. (Mugs must be ordered in full carton quantities).","N","",,,,,,"",,,"144","288","576","1008","2016",,,,,,"2.61","2.27","1.97","1.71","1.49",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List","Pad Print, Silkscreen","IMMD:Pad Print, Silkscreen",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"Per Color(if applies), Per Location",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6563884,"Barcelona Art Glass Award","",,,,,"Bestow an exotic European touch at your next awards banquet! Royal purple teardrops are layered in this Barcelona art glass award and surrounded by crystal-clear glass commemorating significant achievement or recognition. Disclaimer: Due to the individual hand crafting of each art glass award, no two pieces will be identical in size, weight, shape or color as variations will occur. Bubbles and flow marks are not considered defects.",,,,"Awards-Glass",,"","Glass","Dimension","Length:3 1/2:in;Width:3 1/2:in;Height:6 1/2:in","Teardrop",,,"CHINA",,,,,,,"Sand Etch, Screen Printed, Unimprinted",,"Art Services, Paper Proof, Other (PreProduction Proof), Virtual Proof","Frost, Metallic Silver, White","Y","Y","2 1/4"" x 2 1/4""","",,,"Y",,"7,10","Y","",,"Gift Boxes","1:per Case","12:in;8:in;8:in","2.75:lbs",,". (1 pcs)","N","",,,,,,"Barcelona Art Glass Award",,,"6","10","25","50",,,,,,,"28.50","23.50","22.50","21.50",,,,,,,"R","R","R","R",,,,,,,,"one color, one position silkscreen imprint, 2 1/4"" x 2 1/4"".",,"USD",,"List","Screen Printed, Sand Etch, Unimprinted","IMMD:Screen Printed, Sand Etch, Unimprinted",,"Set-up Charge","Other","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6563884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art Services, Paper Proof, Other (PreProduction Proof), Virtual Proof","ARTW:Art Services, Paper Proof, Other (PreProduction Proof), Virtual Proof",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550603961,"Orb Art Glass Award","",,,,,"Artistry, color and design collide to make this award a stunning backdrop for your recognition statement. The Orb Art Glass Award is a great way to ensure that the most talented, dedicated and effective members of your organization get the recognition they deserve. Foster an atmosphere of hard work with the right awards program for corporate institutions, athletic clubs and so much more. No matter how you put it to work for you, the Orb Glass Award is sure to please.",,,,"Awards-Glass,Awards-Sculptures & Figurines",,"Clear-Blue-Purple","Glass","Dimension","Length:3 1/4:in;Width:3 1/4:in;Height:3 1/4:in","Orb",,,"CHINA",,,,,,,"Sand Etch, Silkscreen, Unimprinted",,"Art Services (Typesetting: Add 2 days to production time.  ), Pre-production Proof (Add 2-3 days to production time.  ), Virtual Proof, Artwork Cleanup: first half hour is free of charge. (Artwork Cleanup: first half hour is free of charge.  ), Virtual Samples: free. 24-48 hours production time.","Frost, Metallic Silver, White","Y","Y","2"" Dia","",,,"Y",,"7","Y","",,"Gift Boxes","","","",,"","N","",,,,,,"",,,"6","12","25","50","100",,,,,,"23.95","16.50","15.50","14.50","13.50",,,,,,"R","R","R","R","R",,,,,,,"one color, one position imprint.",,"USD",,"List","Silkscreen, Unimprinted, Sand Etch","IMMD:Silkscreen, Unimprinted, Sand Etch",,"Set-up Charge","Other","Required","1",,,,,,,,,,"40.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
