XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
7430427,"Personalized Customized Label Promotional Bottled Water","",,,,,"Premium drinking crisp clear fresh tasting water, this bottle is 100% recyclable. Personalized custom private label bottled water. Customized bottles with company logo or your own personalize promotional stickers. Plastic drinking bottle with custom printing sticker or labels. Customized & promotional water bottle design items. Labeled and custom your own bottling water.",,,,"BEVERAGES,WATER",,"","Plastic","Volume/Weight","16.9:oz","",,,"CHINA",,,,,,,"Label",,"","","","","2"" x 8""","",,,"Y",,"10","","",,"","","","",,"","N","",,,,,,"Personalized Customized Label Promotional Bottled Water",,,"144","288","480","960","1728","4800","7200","15000",,,"1.24","1.04","0.96","0.86","0.79","0.74","0.72","0.62",,,"R","R","R","R","R","R","R","R",,,,"3 colors",,"USD",,"List","Label","IMMD:Label",,"Set-up Charge","Other","Required","1",,,,,,,,,,"99.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7430426,"Personalized Customized Label Promotional Bottled Water","",,,,,"Premium drinking crisp clear fresh tasting water, this bottle is 100% recyclable. Personalized custom private label bottled water. Customized bottles with company logo or your own personalize promotional stickers. Plastic drinking bottle with custom printing sticker or labels. Customized & promotional water bottle design items. Labeled and custom your own bottling water.",,,,"BEVERAGES,WATER",,"","Plastic","Volume/Weight","16.9:oz","",,,"CHINA",,,,,,,"Label",,"","","","","2"" x 8""","",,,"Y",,"10","","",,"","","","",,"","N","",,,,,,"Personalized Customized Label Promotional Bottled Water",,,"144","288","480","960","1728","4800","7200","15000",,,"1.24","1.04","0.96","0.86","0.79","0.74","0.72","0.62",,,"R","R","R","R","R","R","R","R",,,,"2 colors",,"USD",,"List","Label","IMMD:Label",,"Set-up Charge","Other","Required","1",,,,,,,,,,"99.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7430423,"Personalized Customized Label Promotional Bottled Water","",,,,,"Premium drinking crisp clear fresh tasting water, this bottle is 100% recyclable. Personalized custom private label bottled water. Customized bottles with company logo or your own personalize promotional stickers. Plastic drinking bottle with custom printing sticker or labels. Customized & promotional water bottle design items. Labeled and custom your own bottling water.",,,,"BEVERAGES,WATER",,"","Plastic","Volume/Weight","12:oz","",,,"CHINA",,,,,,,"Label",,"","","","","2"" x 8""","",,,"Y",,"10","","",,"","","","",,"","N","",,,,,,"Personalized Customized Label Promotional Bottled Water",,,"144","288","480","960","1728","4800","7200","15000",,,"1.20","1.01","0.93","0.83","0.76","0.72","0.70","0.59",,,"R","R","R","R","R","R","R","R",,,,"3 colors",,"USD",,"List","Label","IMMD:Label",,"Set-up Charge","Other","Required","1",,,,,,,,,,"99.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7430424,"Personalized Customized Label Promotional Bottled Water","",,,,,"Premium drinking crisp clear fresh tasting water, this bottle is 100% recyclable. Personalized custom private label bottled water. Customized bottles with company logo or your own personalize promotional stickers. Plastic drinking bottle with custom printing sticker or labels. Customized & promotional water bottle design items. Labeled and custom your own bottling water.",,,,"BEVERAGES,WATER",,"","Plastic","Volume/Weight","12:oz","",,,"CHINA",,,,,,,"Full Color Process, Label",,"","","","","2"" x 8""","",,,"Y",,"10","","",,"","","","",,"","N","",,,,,,"Personalized Customized Label Promotional Bottled Water",,,"144","288","480","960","1728","4800","7200","15000",,,"1.20","1.01","0.93","0.83","0.76","0.72","0.70","0.59",,,"R","R","R","R","R","R","R","R",,,,"Full Digital",,"USD",,"List","Label, Full Color Process","IMMD:Label, Full Color Process",,"Set-up Charge","Other","Required","1",,,,,,,,,,"99.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7430425,"Personalized Customized Label Promotional Bottled Water","",,,,,"Premium drinking crisp clear fresh tasting water, this bottle is 100% recyclable. Personalized custom private label bottled water. Customized bottles with company logo or your own personalize promotional stickers. Plastic drinking bottle with custom printing sticker or labels. Customized & promotional water bottle design items. Labeled and custom your own bottling water.",,,,"BEVERAGES,WATER",,"","Plastic","Volume/Weight","16.9:oz","",,,"CHINA",,,,,,,"Label",,"","","","","2"" x 8""","",,,"Y",,"10","","",,"","","","",,"","N","",,,,,,"Personalized Customized Label Promotional Bottled Water",,,"144","288","480","960","1728","4800","7200","15000",,,"1.24","1.04","0.96","0.86","0.79","0.74","0.72","0.62",,,"R","R","R","R","R","R","R","R",,,,"1 color",,"USD",,"List","Label","IMMD:Label",,"Set-up Charge","Other","Required","1",,,,,,,,,,"99.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7430428,"Personalized Customized Label Promotional Bottled Water","",,,,,"Premium drinking crisp clear fresh tasting water, this bottle is 100% recyclable. Personalized custom private label bottled water. Customized bottles with company logo or your own personalize promotional stickers. Plastic drinking bottle with custom printing sticker or labels. Customized & promotional water bottle design items. Labeled and custom your own bottling water.",,,,"BEVERAGES,WATER",,"","Plastic","Volume/Weight","16.9:oz","",,,"CHINA",,,,,,,"Full Color Process, Label",,"","","","","2"" x 8""","",,,"Y",,"10","","",,"","","","",,"","N","",,,,,,"Personalized Customized Label Promotional Bottled Water",,,"144","288","480","960","1728","4800","7200","15000",,,"1.24","1.04","0.96","0.86","0.79","0.74","0.72","0.62",,,"R","R","R","R","R","R","R","R",,,,"Full Digital",,"USD",,"List","Label, Full Color Process","IMMD:Label, Full Color Process",,"Set-up Charge","Other","Required","1",,,,,,,,,,"99.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7430422,"Personalized Customized Label Promotional Bottled Water","",,,,,"Premium drinking crisp clear fresh tasting water, this bottle is 100% recyclable. Personalized custom private label bottled water. Customized bottles with company logo or your own personalize promotional stickers. Plastic drinking bottle with custom printing sticker or labels. Customized & promotional water bottle design items. Labeled and custom your own bottling water.",,,,"BEVERAGES,WATER",,"","Plastic","Volume/Weight","12:oz","",,,"CHINA",,,,,,,"Label",,"","","","","2"" x 8""","",,,"Y",,"10","","",,"","","","",,"","N","",,,,,,"Personalized Customized Label Promotional Bottled Water",,,"144","288","480","960","1728","4800","7200","15000",,,"1.20","1.01","0.93","0.83","0.76","0.72","0.70","0.59",,,"R","R","R","R","R","R","R","R",,,,"2 colors",,"USD",,"List","Label","IMMD:Label",,"Set-up Charge","Other","Required","1",,,,,,,,,,"99.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7430325,"Personalized Customized Label Promotional Bottled Water","",,,,,"Premium drinking crisp clear fresh tasting water, this bottle is 100% recyclable. Personalized custom private label bottled water. Customized bottles with company logo or your own personalize promotional stickers. Plastic drinking bottle with custom printing sticker or labels. Labeled and custom your own bottling water.",,,,"BEVERAGES,WATER",,"Clear","","Volume/Weight","8:oz","",,,"CHINA",,,,,,,"Label",,"","","","","2"" x 8""","",,,"Y",,"20","","",,"","","","",,"","N","",,,,,,"Personalized Customized Label Promotional Bottled Water",,,"144","288","480","960","1728","4800","7200","15000",,,"1.18","0.98","0.90","0.80","0.73","0.69","0.67","0.56",,,"R","R","R","R","R","R","R","R",,,,"1 color",,"USD",,"List","Label","IMMD:Label",,"Set-up Charge","Other","Required","1",,,,,,,,,,"99.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7430327,"Personalized Customized Label Promotional Bottled Water","",,,,,"Premium drinking crisp clear fresh tasting water, this bottle is 100% recyclable. Personalized custom private label bottled water. Customized bottles with company logo or your own personalize promotional stickers. Plastic drinking bottle with custom printing sticker or labels.",,,,"BEVERAGES,WATER",,"Clear","","Volume/Weight","8:oz","",,,"CHINA",,,,,,,"Label",,"","","","","2"" x 8""","",,,"Y",,"20","","",,"","","","",,"","N","",,,,,,"Personalized Customized Label Promotional Bottled Water",,,"144","288","480","960","1728","4800","7200","15000",,,"1.18","0.98","0.90","0.80","0.73","0.69","0.67","0.56",,,"R","R","R","R","R","R","R","R",,,,"3 colors",,"USD",,"List","Label","IMMD:Label",,"Set-up Charge","Other","Required","1",,,,,,,,,,"99.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
7430326,"Personalized Customized Label Promotional Bottled Water","",,,,,"Premium drinking crisp clear fresh tasting water, this bottle is 100% recyclable. Personalized custom private label bottled water. Customized bottles with company logo or your own personalize promotional stickers. Plastic drinking bottle with custom printing sticker or labels.",,,,"BEVERAGES,WATER",,"Clear","","Volume/Weight","8:oz","",,,"CHINA",,,,,,,"Label",,"","","","","2"" x 8""","",,,"Y",,"20","","",,"","","","",,"","N","",,,,,,"Personalized Customized Label Promotional Bottled Water",,,"144","288","480","960","1728","4800","7200","15000",,,"1.18","0.98","0.90","0.80","0.73","0.69","0.67","0.56",,,"R","R","R","R","R","R","R","R",,,,"2 colors",,"USD",,"List","Label","IMMD:Label",,"Set-up Charge","Other","Required","1",,,,,,,,,,"99.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
