XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
5847147,"Coloring Book: What Will I Be When I Grow Up?","",,,,,"The coloring book includes what every child wants to know, What Will I Be When I Grow Up? A fun look at many different career options for kids when they wonder what they will be when they grow up! The product is CPSIA compliant and has 16 pages of a complete story line. These creative characters teach valuable lessons. Don't forget to imprint a message or logo to the cover. A perfect addition for preschools and after school programs!",,"http://media.asicdn.com/images/jpgb/20080000/20087117.jpg",,"COLORING BOOKS",,"White","Paper","Dimension","Length:8:in;Width:10 1/2:in","",,,"CHINA",,,,,,,"Offset",,"Email/Fax Proof, Product Proof","Athletic Gold, Black, Brown, Burgundy, Charcoal Gray, Cream, Dark Teal, Forest Green, Green, Lemon, Magenta, Maroon, Metallic Copper, Metallic Gold, Metallic Silver, Navy blue, Orange, Pink, Process Blue, Purple, Red, Reflex Blue, Royal Blue, Teal, White","","","5"" x 1 1/2""","",,,"Y",,"7","","",,"Book shipped Bulk; Optional crayon packs ship Bulk, seperate","350:per Carton","","25:lbs",,". per 350 pieces.; 25 lbs","N","",,,,,,"Coloring Book: What Will I Be When I Grow Up?",,,"500","1000","2500","5000",,,,,,,"0.98","0.91","0.79","0.67",,,,,,,"R","R","R","R",,,,,,,,"2 color imprint, 1 location.",,"USD",,"List","Offset","IMMD:Offset",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint chargeYou may order less than the minimum quantity",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6563967,"What I Need 4-in-1 Pocket Tool","",,,,,"This marketing tool is just what your company needs! Select the What I Need 4-in-1 Pocket Tool as a terrific giveaway during promotional events. A tool you can put in your pocket, it comes with a pocket clip, one large and one small flathead screwdriver, as well as one large and one small Phillips screwdriver. Plus, it is made of durable ABS plastic. Available in bright colors, all this item is missing is your logo! You can have it all!",,"http://media.asicdn.com/images/jpgb/7100000/7106608.jpg",,"Tools-Hardware-Screwdrivers-Miniature,Tools-Hardware-Screwdrivers-Pocket",,"Blue,Green,Orange,Red","ABS Plastic","Dimension","Length:3/4:in;Width:5:in","",,,"CHINA",,,,,,,"Printed, Unimprinted",,"","","Y","Y","","",,,"Y",,"7,10","","",,"","","","26:lbs",,"per box of 200 pieces.","N","",,,,,,"What I Need 4-in-1 Pocket Tool",,,"200","500","1000","2500",,,,,,,"1.64","1.59","1.54","1.49",,,,,,,"R","R","R","R",,,,,,,,"1 color, 1 location decoration",,"USD",,"List","Printed, Unimprinted","IMMD:Printed, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"39.99",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
200279492,"Cooking Fire Safety:Watch What You Heat DVD","",,,,,"Cooking Fire Safety:Watch What You Heat DVD-13 minutes w/guide. The video examines the common causes of cooking fires by giving real life examples and techniques of what to do in the event of a fire. Learn two simple steps to stop a microwave fire from becoming a disaster, what to do if you suddenly have a fire on the stove top, or what not to do when your oven is in flames.",,"http://media.asicdn.com/images/jpgb/7540000/7542378.jpg",,"COMPACT DISCS/DVDS",,"Multi color","","","","",,,"CHINA",,,,,,,"Digital, Unimprinted",,"","","Y","Y","","",,,"Y",,"10","","",,"","","",".75:lbs",,".","N","",,,,,,"Cooking Fire Safety:Watch What You Heat DVD",,,"1",,,,,,,,,,"115.00",,,,,,,,,,"R",,,,,,,,,,,"N/A",,"USD",,"List","Digital, Unimprinted","IMMD:Digital, Unimprinted",,"Imprint Method Charge","Other","Required","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6429473,"At Risk Sexting, What a Parent Should Know Pamphlet","",,,,,"InFocus:At Risk Sexting, What a Parent Should Know Pamphlet. Quad folded. The InFocus:Sexting - What a Parent Should Know pamphlet takes a hard look at the problem of sexting and what parents can do to protect their children.  Includes information and statistics on the problem of sexting, the legal consequences, reasons why teens sext, and outlines strategies for parents to talk to their children about sexting.  Includes resources for further information.",,"http://media.asicdn.com/images/jpgb/24580000/24583830.jpg",,"PAMPHLETS",,"Multi color","","Dimension","Length:9.25:in;Width:3.66:in","",,,"CHINA",,,,,,,"Offset",,"","","","","2.75"" x 4.5""","",,,"Y",,"10","","",,"Shrink-wrapped in packages of 100.","2000:per Carton","18:in;12:in;7:in",".025:lbs",,".","N","",,,,,,"InFocus:At Risk Sexting, What a Parent Should Know",,,"100","500","1000","2500","5000","10000",,,,,"0.33","0.27","0.24","0.22","0.20","0.19",,,,,"R","R","R","R","R","R",,,,,,"black only imprint in one location.",,"USD",,"List","Offset","IMMD:Offset",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550959866,"So What are Drugs Anyway? Mini-Mag","",,,,,"This mini-magazine is designed to teach lyounger children about the dangers of alcohol, tobacco and other drugs. It begins with a definition of what drugs are and what they do to the body. The effects of alcohol are explored along with the long-term side effects on the body. A section on tobacco explains nicotine and addiction, what other chemicals are in tobacco, as well as some of the nasty effects using tobacco has on health and appearance. A section on medicines stresses that young children should never put anything into their bodies unless a parent or a health care providers says it's okay. The publication ends with a section on refusal skills to give young readers strategies and tips on staying safe and saying no.",,"http://media.asicdn.com/images/jpgb/24450000/24452107.jpg",,"Books-General",,"Multi color","","Dimension","Length:8.5:in;Width:5.5:in","",,,"CHINA",,,,,,,"Offset",,"","","","","4.5"" x 3.25""","",,,"Y",,"10","","",,"Shrink-wrapped in packages of 50.","1400:per Carton","18:in;12:in;7:in",".03:lbs",,".","N","",,,,,,"So What are Drugs Anyway? Mini-Mag",,,"100","500","1000","2500","5000",,,,,,"0.55","0.50","0.47","0.43","0.39",,,,,,"R","R","R","R","R",,,,,,,"N/A",,"USD",,"List","Offset","IMMD:Offset",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"Imprint charge",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550662490,"Pocket Slider (TM) - Street Drugs: What you need to know","",,,,,"Take a serious promotional approach to your next campaign with the Pocket Slider (TM) - Street Drugs: What you need to know! Do you know the signs of street drug abuse? With this guide, learn what effects these drugs can have on your body and where to get help if you or someone you love is using them. Printed on quality card stock, this sliding card is a great handout at schools, community centers and waiting rooms. Don't forget to place a custom imprint of your logo or organization's name on the front. Help your brand make a lasting impact with this informative product!",,"http://media.asicdn.com/images/jpgb/23250000/23258393.jpg",,"DIALS & SLIDE CHARTS",,"Multi color","","Dimension","Length:3 3/4:in;Width:8 1/2:in","",,,"CHINA",,,,,,,"Printed, Unimprinted",,"Art Services (Art Alterations), Paper Proof, Pre-production Proof, Virtual Proof, Random Sample - Available at no charge up to $10 (C).","Black, Blue, Burgundy, dark green, Gold, Green, Navy Blue, Orange, Pink, Purple, Red, Teal","Y","","2 1/4"" x 1 1/8""","",,,"Y",,"5,7","Y","4:	",,"","500:per Carton","17:in;9:in;8:in","21:lbs",,"","N","",,,,,,"",,,"300","500","1000","2500",,,,,,,"0.69","0.66","0.62","0.55",,,,,,,"R","R","R","R",,,,,,,,"one color imprint.",,"USD",,"List","Unimprinted (Sold Unimprinted), Printed","IMMD:Unimprinted (Sold Unimprinted), Printed",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"20.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550662490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art Services (Art Alterations), Paper Proof, Pre-production Proof, Virtual Proof, Random Sample - Available at no charge up to $10 (C).","ARTW:Art Services (Art Alterations), Paper Proof, Pre-production Proof, Virtual Proof, Random Sample - Available at no charge up to $10 (C).",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"40.00",,,,,,,,,,"Z",,,,,,,,,,"No chrg for revisions recd w/in 48 hrs of receipt of request. Revisions over 15 mins may incur fee.You may order less than the minimum quantity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550662490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 business days","RUSH:4",,"Rush Service Charge","Other","Required","",,,,,,,,,,"QUR",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550672799,"Pocket Slider (TM) - Street Drugs: What you need to know","",,,,,"Pocket Slider (TM) - Street Drugs: What you need to know. Do you know the signs of street drug abuse? Learn what effects the most popular street drugs can have on the body. Find out where to get help if you or someone you love is using these dangerous drugs.",,"http://media.asicdn.com/images/jpgb/23070000/23076498.jpg",,"DIALS & SLIDE CHARTS,EDUCATION PROGRAMS,PAMPHLETS",,"Multi color","","Dimension","Length:3 3/4:in;Width:8 1/2:in","",,,"CHINA",,,,,,,"Printed, Unimprinted",,"Art Services, Pre-production Proof, Paper Proof (First proof available at no charge. Each Revision incurs charge), Virtual Proof (No charge for revisions received within 48 hours of receipt of request. Revisions over 15 minutes or re-creation of art may incur an art charge.)","Black, Blue, Burgundy, dark green, Gold, Green, Navy blue, Orange, Pink, Purple, Red, Teal","Y","","2 1/4"" x 1 1/8""","",,,"Y",,"5,7","Y","4:	",,"Various packaging options are available. Please contact factory for details.","500:per Carton","16 1/4:in;9:in;8:in","21:lbs",,"","N","",,,,,,"Pocket Slider (TM) - Street Drugs: What you need to know",,,"300","500","1000","2500",,,,,,,"0.67","0.64","0.60","0.55",,,,,,,"R","R","R","R",,,,,,,,"one color imprint.",,"USD",,"List","Printed, Unimprinted","IMMD:Printed, Unimprinted",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"35.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
550672799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art Services, Pre-production Proof, Paper Proof (First proof available at no charge. Each Revision incurs charge), Virtual Proof (No charge for revisions received within 48 hours of receipt of request. Revisions over 15 minutes or re-creation of art may incur an art charge.)","ARTW:Art Services, Pre-production Proof, Paper Proof (First proof available at no charge. Each Revision incurs charge), Virtual Proof (No charge for revisions received within 48 hours of receipt of request. Revisions over 15 minutes or re-creation of art may incur an art charge.)",,"Artwork Charge","Other","Optional","1",,,,,,,,,,"40.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
